"Table 1 
National Health Expenditures; Aggregate and Per Capita Amounts, Annual Percent Change and Percent Distribution: Selected Calendar Years 1960-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,1960 ,1970 ,1980 ,1990 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures ,$27.2,$74.6,$255.3,$721.4,"$1,369.2","$1,486.2","$1,628.7","$1,767.6","$1,895.8","$2,023.8","$2,156.2","$2,294.4","$2,397.1","$2,491.8","$2,593.2","$2,682.6","$2,791.1","$2,875.0","$3,025.4","$3,199.6","$3,347.4","$3,487.3","$3,649.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Health Consumption Expenditures,24.7,67.0,235.5,674.1,"1,285.9","1,398.8","1,531.9","1,663.9","1,784.4","1,904.1","2,031.0","2,156.0","2,249.0","2,352.8","2,450.5","2,533.4","2,637.7","2,720.9","2,875.6","3,045.5","3,190.7","3,319.0","3,475.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Personal Health Care,23.3,63.1,217.0,615.3,"1,161.5","1,261.4","1,367.1","1,477.2","1,587.5","1,695.7","1,804.3","1,917.6","2,008.8","2,111.4","2,191.4","2,267.3","2,361.1","2,431.2","2,556.0","2,710.2","2,838.3","2,954.5","3,075.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Administration and Net Cost of Health Insurance,1.1,2.6,12.1,38.7,81.3,90.6,112.6,132.5,142.0,151.1,165.9,172.4,168.7,167.3,183.4,191.7,199.4,210.7,237.5,249.4,263.7,273.2,306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Government Public Health Activities,0.4,1.4,6.4,20.0,43.0,46.8,52.2,54.2,54.9,57.3,60.9,66.0,71.6,74.2,75.7,74.4,77.2,79.0,82.0,85.8,88.7,91.4,93.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Investment,2.5,7.5,19.9,47.3,83.3,87.4,96.8,103.7,111.4,119.7,125.2,138.4,148.0,138.9,142.7,149.2,153.3,154.1,149.8,154.1,156.7,168.3,174.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Population1,186 ,210 ,230 ,254 ,282 ,285 ,288 ,290 ,293 ,295 ,298 ,301 ,304 ,306 ,309 ,311 ,313 ,316 ,318 ,320 ,323 ,325 ,327 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
