"  Table 2 
National Health Expenditures; Aggregate, Annual Percent Change, Percent Distribution and Per Capita Amounts, by Type of Expenditure: Selected Calendar Years 1960-2018 ",,,,,,,,,,,,,,,,,,,,,,,
Type of Expenditure,1960 ,1970 ,1980 ,1990 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 
,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures,$27.2 ,$74.6 ,$255.3 ,$721.4 ,"$1,369.2 ","$1,486.2 ","$1,628.7 ","$1,767.6 ","$1,895.8 ","$2,023.8 ","$2,156.2 ","$2,294.4 ","$2,397.1 ","$2,491.8 ","$2,593.2 ","$2,682.6 ","$2,791.1 ","$2,875.0 ","$3,025.4 ","$3,199.6 ","$3,347.4 ","$3,487.3 ","$3,649.4 "
     Health Consumption Expenditures,24.7 ,67.0 ,235.5 ,674.1 ,"1,285.9 ","1,398.8 ","1,531.9 ","1,663.9 ","1,784.4 ","1,904.1 ","2,031.0 ","2,156.0 ","2,249.0 ","2,352.8 ","2,450.5 ","2,533.4 ","2,637.7 ","2,720.9 ","2,875.6 ","3,045.5 ","3,190.7 ","3,319.0 ","3,475.0 "
          Personal Health Care,23.3 ,63.1 ,217.0 ,615.3 ,"1,161.5 ","1,261.4 ","1,367.1 ","1,477.2 ","1,587.5 ","1,695.7 ","1,804.3 ","1,917.6 ","2,008.8 ","2,111.4 ","2,191.4 ","2,267.3 ","2,361.1 ","2,431.2 ","2,556.0 ","2,710.2 ","2,838.3 ","2,954.5 ","3,075.5 "
               Hospital Care,9.0 ,27.2 ,100.5 ,250.4 ,415.5 ,449.4 ,486.5 ,525.9 ,565.3 ,608.6 ,651.2 ,691.9 ,725.6 ,779.6 ,822.3 ,851.9 ,902.5 ,937.6 ,978.2 ,"1,034.6 ","1,089.5 ","1,140.6 ","1,191.8 "
               Professional Services,7.9 ,19.8 ,64.5 ,207.3 ,387.0 ,420.7 ,454.6 ,487.1 ,521.8 ,553.0 ,581.8 ,615.3 ,649.1 ,667.8 ,688.3 ,716.6 ,743.2 ,759.6 ,792.5 ,837.9 ,883.2 ,924.0 ,965.1 
                    Physician and Clinical Services,5.6 ,14.3 ,47.7 ,158.4 ,288.2 ,312.7 ,337.7 ,364.3 ,389.4 ,413.0 ,434.7 ,457.5 ,481.9 ,497.7 ,512.6 ,535.9 ,557.1 ,569.6 ,595.7 ,631.2 ,665.6 ,696.9 ,725.6 
                    Other Professional Services,0.4 ,0.7 ,3.5 ,17.3 ,36.6 ,40.3 ,43.3 ,46.5 ,50.2 ,52.8 ,55.3 ,60.1 ,64.5 ,67.0 ,69.9 ,72.8 ,76.4 ,78.7 ,83.0 ,87.8 ,92.7 ,97.5 ,103.9 
                    Dental Services,2.0 ,4.7 ,13.3 ,31.6 ,62.1 ,67.7 ,73.6 ,76.3 ,82.2 ,87.2 ,91.8 ,97.7 ,102.7 ,103.1 ,105.9 ,108.0 ,109.7 ,111.2 ,113.8 ,118.8 ,124.9 ,129.6 ,135.6 
"                 Other Health, Residential, and Personal Care1",0.4 ,1.3 ,8.4 ,23.8 ,63.9 ,70.0 ,76.7 ,82.5 ,89.3 ,95.0 ,101.1 ,108.3 ,114.5 ,123.4 ,129.1 ,131.7 ,139.1 ,144.3 ,151.5 ,164.5 ,173.6 ,183.2 ,191.6 
               Home Health Care2,0.1 ,0.2 ,2.4 ,12.5 ,32.3 ,34.3 ,36.5 ,40.2 ,44.6 ,49.3 ,52.1 ,57.5 ,62.3 ,67.7 ,71.6 ,74.6 ,78.3 ,81.4 ,84.8 ,89.2 ,93.0 ,97.1 ,102.2 
"               Nursing Care Facilities and Continuing Care Retirement Communities2, 3 ",0.8 ,4.0 ,15.3 ,44.7 ,85.0 ,90.8 ,94.5 ,100.1 ,105.1 ,111.4 ,115.9 ,124.9 ,130.5 ,135.2 ,140.5 ,145.4 ,147.4 ,149.0 ,152.4 ,158.1 ,163.0 ,166.2 ,168.5 
               Retail Outlet Sales of Medical Products,5.0 ,10.6 ,25.9 ,76.5 ,177.8 ,196.4 ,218.3 ,241.4 ,261.3 ,278.3 ,302.3 ,319.7 ,326.8 ,337.7 ,339.6 ,347.1 ,350.6 ,359.3 ,396.6 ,425.9 ,436.0 ,443.2 ,456.3 
                    Prescription Drugs,2.7 ,5.5 ,12.0 ,40.3 ,121.0 ,139.0 ,157.9 ,176.7 ,192.8 ,205.2 ,224.1 ,234.9 ,239.6 ,249.5 ,248.4 ,251.9 ,253.0 ,258.2 ,292.4 ,317.1 ,322.3 ,326.8 ,335.0 
