"Table 3 
National Health Expenditures; Levels and Annual Percent Change, by Source of Funds: Selected Calendar Years 1960-2018",,,,,,,,,,,,,,,,,,,,,,,
Item,1960,1970 ,1980,1990,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures  ,$27.2,$74.6,$255.3,$721.4,"$1,369.2","$1,486.2","$1,628.7","$1,767.6","$1,895.8","$2,023.8","$2,156.2","$2,294.4","$2,397.1","$2,491.8","$2,593.2","$2,682.6","$2,791.1","$2,875.0","$3,025.4","$3,199.6","$3,347.4","$3,487.3","$3,649.4"
    Health Consumption Expenditures, 24.7 ,67.0,235.5,674.1,"1,285.9","1,398.8","1,531.9","1,663.9","1,784.4","1,904.1","2,031.0","2,156.0","2,249.0","2,352.8","2,450.5","2,533.4","2,637.7","2,720.9","2,875.6","3,045.5","3,190.7","3,319.0","3,475.0"
         Out of pocket, 12.9 ,25.0,58.1,137.9,198.9,206.2,219.3,235.6,248.5,263.8,273.6,290.4,295.6,294.2,300.2,310.4,319.2,326.9,331.8,341.7,357.2,365.2,375.6
         Health Insurance, 7.5 ,31.8,142.3,439.1,919.0,"1,014.4","1,121.6","1,221.8","1,320.1","1,414.0","1,517.0","1,607.9","1,693.5","1,792.3","1,871.2","1,942.1","2,015.8","2,079.2","2,223.0","2,373.4","2,487.5","2,592.3","2,729.0"
                 Private Health Insurance, 5.8 ,15.5,69.2,233.9,458.0,501.9,561.0,615.1,658.2,701.1,736.7,774.7,800.2,828.5,858.5,890.5,922.0,939.1,994.1,"1,060.9","1,119.9","1,175.0","1,243.0"
                 Medicare, -   ,7.7,37.4,110.2,224.8,247.7,265.4,282.7,311.1,339.8,403.7,432.8,467.0,498.9,519.8,544.8,568.5,588.9,618.5,648.8,676.8,705.1,750.2
                 Medicaid, -   ,5.3,26.0,73.7,200.4,224.1,248.1,269.0,290.7,309.4,306.7,325.9,344.4,374.7,397.4,406.7,422.9,445.2,497.8,542.6,565.4,580.1,597.4
                          Federal , -   ,2.8,14.5,42.6,116.8,132.2,145.3,160.8,172.3,177.5,173.9,185.6,203.2,247.5,266.5,247.3,243.4,256.9,305.7,342.6,358.1,359.3,370.9
                          State and Local, -   ,2.4,11.5,31.1,83.5,91.9,102.8,108.2,118.4,131.8,132.7,140.3,141.2,127.2,130.9,159.5,179.5,188.4,192.1,200.1,207.2,220.8,226.5
                Other Health Insurance Programs1, 1.7 ,3.3,9.7,21.4,35.8,40.7,47.1,55.0,60.0,63.9,70.0,74.6,81.9,90.2,95.6,100.1,102.4,105.9,112.6,121.1,125.4,132.1,138.3
         Other Third Party Payers and Programs and Public Health Activity2, 4.3 ,10.3,35.0,97.1,168.0,178.2,191.1,206.5,215.8,226.2,240.4,257.7,260.0,266.3,279.0,280.9,302.7,314.9,320.8,330.4,346.0,361.5,370.5
    Investment, 2.5 ,7.5,19.9,47.3,83.3,87.4,96.8,103.7,111.4,119.7,125.2,138.4,148.0,138.9,142.7,149.2,153.3,154.1,149.8,154.1,156.7,168.3,174.4
,Average Annual Percent Change from Previous Year Shown,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures, ,10.6%,13.1%,10.9%,6.6%,8.5%,9.6%,8.5%,7.2%,6.8%,6.5%,6.4%,4.5%,4.0%,4.1%,3.4%,4.0%,3.0%,5.2%,5.8%,4.6%,4.2%,4.6%
    Health Consumption Expenditures, ,10.5 ,13.4 ,11.1 ,6.7 ,8.8 ,9.5 ,8.6 ,7.2 ,6.7 ,6.7 ,6.2 ,4.3 ,4.6 ,4.2 ,3.4 ,4.1 ,3.2 ,5.7 ,5.9 ,4.8 ,4.0 ,4.7 
         Out of pocket, ,6.8 ,8.8 ,9.0 ,3.7 ,3.7 ,6.3 ,7.5 ,5.5 ,6.2 ,3.7 ,6.1 ,1.8 ,-0.5 ,2.1 ,3.4 ,2.8 ,2.4 ,1.5 ,3.0 ,4.5 ,2.2 ,2.8 
         Health Insurance, ,15.5 ,16.2 ,11.9 ,7.7 ,10.4 ,10.6 ,8.9 ,8.0 ,7.1 ,7.3 ,6.0 ,5.3 ,5.8 ,4.4 ,3.8 ,3.8 ,3.1 ,6.9 ,6.8 ,4.8 ,4.2 ,5.3 
                 Private Health Insurance, ,10.3 ,16.1 ,12.9 ,7.0 ,9.6 ,11.8 ,9.7 ,7.0 ,6.5 ,5.1 ,5.2 ,3.3 ,3.5 ,3.6 ,3.7 ,3.5 ,1.9 ,5.9 ,6.7 ,5.6 ,4.9 ,5.8 
                 Medicare, ,—,17.2 ,11.4 ,7.4 ,10.2 ,7.1 ,6.5 ,10.1 ,9.2 ,18.8 ,7.2 ,7.9 ,6.8 ,4.2 ,4.8 ,4.3 ,3.6 ,5.0 ,4.9 ,4.3 ,4.2 ,6.4 
                 Medicaid , ,—,17.3 ,11.0 ,10.5 ,11.9 ,10.7 ,8.4 ,8.1 ,6.4 ,-0.9 ,6.3 ,5.7 ,8.8 ,6.1 ,2.3 ,4.0 ,5.3 ,11.8 ,9.0 ,4.2 ,2.6 ,3.0 
