" Table 20
Private Health Insurance Benefits and Net Cost; Levels, Annual Percent Change and Percent Distribution, Selected Calendar Years 1960-2018 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960 ,1970 ,1980 ,1990 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Health Insurance,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Health Consumption Expenditures,$5.8,$15.5,$69.2,$233.9,$458.0,$501.9,$561.0,$615.1,$658.2,$701.1,$736.7,$774.7,$800.2,$828.5,$858.5,$890.5,$922.0,$939.1,$994.1,"$1,060.9","$1,119.9","$1,175.0","$1,243.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Health Insurance Benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Personal Health Care,5.0,14.1,61.5,204.8,405.6,444.8,487.7,526.7,564.5,604.3,635.5,670.2,698.5,730.8,750.8,780.0,809.8,824.2,869.5,936.5,989.7,1032.4,1078.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Hospital ,3.2,8.8,36.8,96.5,141.0,153.4,169.2,184.3,199.5,215.9,235.6,250.5,264.8,285.5,300.6,316.7,338.5,349.9,366.2,400.5,431.0,454.1,481.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Physician and Clinical Services,1.6,4.2,16.6,66.6,135.4,148.3,162.2,176.2,185.8,197.9,206.1,215.7,224.3,228.6,231.1,241.6,249.1,249.6,257.4,271.6,287.0,300.2,311.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Dental Services,0.0,0.2,3.8,15.1,31.3,34.3,36.5,37.4,40.5,42.8,45.0,47.5,48.9,49.6,50.4,50.9,51.6,52.4,53.5,53.5,56.3,58.9,62.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Other Professional Services,0.0,0.0,0.9,6.8,14.1,15.5,16.9,18.5,19.8,20.4,21.2,23.1,24.4,24.5,25.4,26.6,27.9,28.2,28.8,30.2,32.2,33.4,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Other Health, Residential, and Personal Care ",0.0,0.2,0.6,1.7,3.9,4.0,4.5,5.0,5.9,6.3,6.7,7.2,7.8,8.4,9.1,10.3,10.5,10.4,11.0,12.7,13.3,13.8,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Home Health Care,0.0,0.0,0.3,2.9,7.8,6.8,6.5,6.7,6.5,6.6,5.5,5.3,5.2,5.1,5.3,5.8,6.9,8.2,9.2,9.7,10.5,11.4,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
