"Table 6 
Personal Health Care Expenditures1; Levels, Percent Change, and Percent Distribution, 
by Source of Funds: Selected Calendar Years 1970-2018",,,,,,,,,,,
 , , ,,Health Insurance2,,,,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4,,,
,Amount in Billions,,,,,,,,,,
1970,$63.1 ,$25.0 ,$29.6 ,$14.1 ,$7.3 ,$5.0 ,$3.3 ,$8.5 ,,,
1980,217.0 ,58.1 ,132.1 ,61.5 ,36.3 ,24.7 ,9.6 ,26.7 ,,,
1990,615.3 ,137.9 ,402.9 ,204.8 ,107.3 ,69.7 ,21.2 ,74.5 ,,,
2000,"1,161.5 ",198.9 ,843.8 ,405.6 ,216.3 ,186.9 ,34.9 ,118.9 ,,,
2001,"1,261.4 ",206.2 ,931.7 ,444.8 ,239.1 ,208.4 ,39.4 ,123.5 ,,,
2002,"1,367.1 ",219.3 ,"1,019.5 ",487.7 ,256.6 ,230.1 ,45.2 ,128.3 ,,,
2003,"1,477.2 ",235.6 ,"1,102.8 ",526.7 ,274.0 ,249.4 ,52.7 ,138.8 ,,,
2004,"1,587.5 ",248.5 ,"1,192.6 ",564.5 ,300.1 ,270.7 ,57.2 ,146.4 ,,,
2005,"1,695.7 ",263.8 ,"1,278.7 ",604.3 ,326.3 ,287.6 ,60.5 ,153.3 ,,,
2006,"1,804.3 ",273.6 ,"1,367.3 ",635.5 ,382.3 ,283.3 ,66.2 ,163.4 ,,,
2007,"1,917.6 ",290.4 ,"1,450.5 ",670.2 ,408.7 ,301.1 ,70.5 ,176.8 ,,,
2008,"2,008.8 ",295.6 ,"1,536.1 ",698.5 ,442.0 ,317.9 ,77.7 ,177.1 ,,,
2009,"2,111.4 ",294.2 ,"1,633.2 ",730.8 ,470.3 ,346.4 ,85.7 ,184.0 ,,,
2010,"2,191.4 ",300.2 ,"1,695.8 ",750.8 ,489.1 ,365.8 ,90.3 ,195.3 ,,,
2011,"2,267.3 ",310.4 ,"1,760.4 ",780.0 ,512.0 ,373.7 ,94.6 ,196.5 ,,,
2012,"2,361.1 ",319.2 ,"1,829.3 ",809.8 ,533.8 ,388.4 ,97.3 ,212.6 ,,,
2013,"2,431.2 ",326.9 ,"1,884.6 ",824.2 ,553.6 ,405.9 ,100.8 ,219.8 ,,,
2014,"2,556.0 ",331.8 ,"2,003.7 ",869.5 ,580.5 ,446.6 ,107.1 ,220.6 ,,,
2015,"2,710.2 ",341.7 ,"2,142.9 ",936.5 ,607.1 ,484.1 ,115.2 ,225.6 ,,,
2016,"2,838.3 ",357.2 ,"2,242.6 ",989.7 ,629.9 ,504.0 ,119.0 ,238.5 ,,,
2017,"2,954.5 ",365.2 ,"2,337.0 ","1,032.4 ",659.4 ,519.6 ,125.5 ,252.3 ,,,
2018,"3,075.5 ",375.6 ,"2,440.6 ","1,078.7 ",697.2 ,532.8 ,131.9 ,259.3 ,,,
,Average Annual Percent Change from Previous Year Shown,,,,,,,,,,
19705,10.5%,6.8%,16.2%,11.0%,—     ,—     ,6.9%,8.7%,,,
1980,13.2 ,8.8 ,16.1 ,15.9 ,17.4 ,17.2 ,11.4 ,12.2 ,,,
1990,11.0 ,9.0 ,11.8 ,12.8 ,11.5 ,10.9 ,8.2 ,10.8 ,,,
2000,6.6 ,3.7 ,7.7 ,7.1 ,7.3 ,10.4 ,5.1 ,4.8 ,,,
2001,8.6 ,3.7 ,10.4 ,9.7 ,10.5 ,11.5 ,12.9 ,3.9 ,,,
2002,8.4 ,6.3 ,9.4 ,9.6 ,7.3 ,10.4 ,14.9 ,3.9 ,,,
2003,8.1 ,7.5 ,8.2 ,8.0 ,6.8 ,8.4 ,16.5 ,8.1 ,,,
2004,7.5 ,5.5 ,8.1 ,7.2 ,9.5 ,8.5 ,8.5 ,5.5 ,,,
2005,6.8 ,6.2 ,7.2 ,7.0 ,8.7 ,6.2 ,5.8 ,4.7 ,,,
2006,6.4 ,3.7 ,6.9 ,5.2 ,17.2 ,-1.5 ,9.5 ,6.6 ,,,
2007,6.3 ,6.1 ,6.1 ,5.5 ,6.9 ,6.3 ,6.4 ,8.2 ,,,
2008,4.8 ,1.8 ,5.9 ,4.2 ,8.1 ,5.6 ,10.2 ,0.2 ,,,
2009,5.1 ,-0.5 ,6.3 ,4.6 ,6.4 ,9.0 ,10.3 ,3.9 ,,,
2010,3.8 ,2.1 ,3.8 ,2.7 ,4.0 ,5.6 ,5.3 ,6.2 ,,,
2011,3.5 ,3.4 ,3.8 ,3.9 ,4.7 ,2.2 ,4.8 ,0.6 ,,,
2012,4.1 ,2.8 ,3.9 ,3.8 ,4.2 ,3.9 ,2.8 ,8.2 ,,,
2013,3.0 ,2.4 ,3.0 ,1.8 ,3.7 ,4.5 ,3.6 ,3.4 ,,,
2014,5.1 ,1.5 ,6.3 ,5.5 ,4.9 ,10.0 ,6.2 ,0.4 ,,,
2015,6.0 ,3.0 ,7.0 ,7.7 ,4.6 ,8.4 ,7.5 ,2.3 ,,,
2016,4.7 ,4.5 ,4.7 ,5.7 ,3.8 ,4.1 ,3.3 ,5.7 ,,,
2017,4.1 ,2.2 ,4.2 ,4.3 ,4.7 ,3.1 ,5.5 ,5.8 ,,,
2018,4.1 ,2.8 ,4.4 ,4.5 ,5.7 ,2.5 ,5.1 ,2.8 ,,,
,Percent Distribution,,,,,,,,,,
1970,100.0%,39.6%,47.0%,22.3%,11.5%,8.0%,5.2%,13.4%,,,
1980,100.0 ,26.8 ,60.9 ,28.4 ,16.7 ,11.4 ,4.4 ,12.3 ,,,
1990,100.0 ,22.4 ,65.5 ,33.3 ,17.4 ,11.3 ,3.4 ,12.1 ,,,
2000,100.0 ,17.1 ,72.6 ,34.9 ,18.6 ,16.1 ,3.0 ,10.2 ,,,
2001,100.0 ,16.3 ,73.9 ,35.3 ,19.0 ,16.5 ,3.1 ,9.8 ,,,
2002,100.0 ,16.0 ,74.6 ,35.7 ,18.8 ,16.8 ,3.3 ,9.4 ,,,
2003,100.0 ,16.0 ,74.7 ,35.7 ,18.5 ,16.9 ,3.6 ,9.4 ,,,
2004,100.0 ,15.7 ,75.1 ,35.6 ,18.9 ,17.1 ,3.6 ,9.2 ,,,
2005,100.0 ,15.6 ,75.4 ,35.6 ,19.2 ,17.0 ,3.6 ,9.0 ,,,
2006,100.0 ,15.2 ,75.8 ,35.2 ,21.2 ,15.7 ,3.7 ,9.1 ,,,
2007,100.0 ,15.1 ,75.6 ,34.9 ,21.3 ,15.7 ,3.7 ,9.2 ,,,
2008,100.0 ,14.7 ,76.5 ,34.8 ,22.0 ,15.8 ,3.9 ,8.8 ,,,
2009,100.0 ,13.9 ,77.4 ,34.6 ,22.3 ,16.4 ,4.1 ,8.7 ,,,
2010,100.0 ,13.7 ,77.4 ,34.3 ,22.3 ,16.7 ,4.1 ,8.9 ,,,
2011,100.0 ,13.7 ,77.6 ,34.4 ,22.6 ,16.5 ,4.2 ,8.7 ,,,
2012,100.0 ,13.5 ,77.5 ,34.3 ,22.6 ,16.5 ,4.1 ,9.0 ,,,
2013,100.0 ,13.4 ,77.5 ,33.9 ,22.8 ,16.7 ,4.1 ,9.0 ,,,
2014,100.0 ,13.0 ,78.4 ,34.0 ,22.7 ,17.5 ,4.2 ,8.6 ,,,
2015,100.0 ,12.6 ,79.1 ,34.6 ,22.4 ,17.9 ,4.2 ,8.3 ,,,
2016,100.0 ,12.6 ,79.0 ,34.9 ,22.2 ,17.8 ,4.2 ,8.4 ,,,
2017,100.0 ,12.4 ,79.1 ,34.9 ,22.3 ,17.6 ,4.2 ,8.5 ,,,
2018,100.0 ,12.2 ,79.4 ,35.1 ,22.7 ,17.3 ,4.3 ,8.4 ,,,
"1 Personal health care expenditures are comprised of all of the spending for medical goods and services that are rendered to treat, or prevent, a specific disease or condition for a specific person, and include expenditures for hospital care, professional services, other health, residential, and personal care, home health care, nursing care facilities and continuing care retirement communities, prescription drugs, durable medical equipment, and other non-durable medical equipment.  Total expenditures are equal to the sum of out of pocket, health insurance, and other third party payers.",,,,,,,,,,,
"2 Includes Private Health Insurance, Medicare, Medicaid, Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,,,,
"3 Other health insurance programs include Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,,,,
"4 Other third party payers include worksite health care, other private revenues, Indian Health Service, workers’ compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health.",,,,,,,,,,,
5 Average annual growth from 1960-1970.,,,,,,,,,,,
"NOTE: Numbers and percents may not add to totals due to rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable; Medicare and Medicaid became effective July 1966.  The Children's Health Insurance Program became effective in 1998.",,,,,,,,,,,
"SOURCE: Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
