"Table 7 
Hospital Care Expenditures; Levels, Percent Change, and Percent Distribution, 
by Source of Funds: Selected Calendar Years 1970-2018",,,,,,,,,,,
 , , ,,Health Insurance2,,,,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4,,,
,Amount in Billions,,,,,,,,,,
1970,$27.2 ,$2.4 ,$19.4 ,$8.8 ,$5.4 ,$2.6 ,$2.6 ,$5.3 ,,,
1980,100.5 ,5.4 ,80.1 ,36.8 ,26.3 ,9.2 ,7.8 ,15.0 ,,,
1990,250.4 ,11.2 ,206.9 ,96.5 ,67.4 ,26.7 ,16.3 ,32.4 ,,,
2000,415.5 ,13.4 ,358.2 ,141.0 ,123.4 ,70.9 ,22.9 ,43.9 ,,,
2001,449.4 ,13.8 ,390.7 ,153.4 ,135.0 ,77.4 ,24.9 ,44.8 ,,,
2002,486.5 ,15.3 ,424.4 ,169.2 ,143.5 ,84.4 ,27.3 ,46.7 ,,,
2003,525.9 ,17.0 ,456.7 ,184.3 ,150.9 ,90.3 ,31.3 ,52.1 ,,,
2004,565.3 ,18.3 ,492.6 ,199.5 ,162.7 ,96.8 ,33.6 ,54.4 ,,,
2005,608.6 ,19.7 ,531.6 ,215.9 ,176.4 ,103.8 ,35.5 ,57.3 ,,,
2006,651.2 ,21.1 ,566.9 ,235.6 ,184.7 ,108.8 ,37.8 ,63.2 ,,,
2007,691.9 ,22.8 ,599.8 ,250.5 ,193.1 ,117.2 ,39.1 ,69.3 ,,,
2008,725.6 ,23.6 ,636.3 ,264.8 ,205.5 ,122.7 ,43.3 ,65.8 ,,,
2009,779.6 ,25.7 ,681.6 ,285.5 ,214.4 ,133.6 ,48.1 ,72.3 ,,,
2010,822.3 ,27.8 ,714.0 ,300.6 ,220.3 ,141.8 ,51.4 ,80.5 ,,,
2011,851.9 ,29.3 ,740.8 ,316.7 ,227.1 ,143.7 ,53.3 ,81.7 ,,,
2012,902.5 ,31.9 ,779.9 ,338.5 ,237.0 ,150.0 ,54.4 ,90.7 ,,,
2013,937.6 ,33.9 ,807.8 ,349.9 ,245.0 ,156.1 ,56.8 ,95.9 ,,,
2014,978.2 ,32.8 ,849.4 ,366.2 ,252.7 ,169.8 ,60.7 ,95.9 ,,,
2015,"1,034.6 ",31.2 ,908.9 ,400.5 ,260.5 ,183.9 ,63.9 ,94.5 ,,,
2016,"1,089.5 ",32.1 ,959.0 ,431.0 ,272.4 ,189.2 ,66.4 ,98.5 ,,,
2017,"1,140.6 ",34.3 ,"1,000.7 ",454.1 ,284.0 ,192.7 ,69.7 ,105.7 ,,,
2018,"1,191.8 ",34.8 ,"1,046.9 ",481.1 ,297.0 ,196.6 ,72.2 ,110.1 ,,,
,Average Annual Percent Change from Previous Year Shown,,,,,,,,,,
19705,11.7%,2.8%,15.6%,10.7%,—     ,—     ,6.7%,7.5%,,,
1980,14.0 ,8.2 ,15.2 ,15.4 ,17.2 ,13.3 ,11.6 ,11.0 ,,,
1990,9.6 ,7.6 ,10.0 ,10.1 ,9.9 ,11.2 ,7.6 ,8.0 ,,,
2000,5.2 ,1.9 ,5.6 ,3.9 ,6.2 ,10.3 ,3.4 ,3.1 ,,,
2001,8.1 ,2.6 ,9.1 ,8.8 ,9.5 ,9.1 ,9.1 ,2.2 ,,,
2002,8.3 ,11.1 ,8.6 ,10.3 ,6.3 ,9.1 ,9.3 ,4.3 ,,,
2003,8.1 ,11.1 ,7.6 ,8.9 ,5.1 ,6.9 ,14.8 ,11.5 ,,,
2004,7.5 ,7.6 ,7.9 ,8.3 ,7.8 ,7.2 ,7.4 ,4.3 ,,,
2005,7.7 ,7.6 ,7.9 ,8.2 ,8.4 ,7.3 ,5.7 ,5.3 ,,,
2006,7.0 ,7.0 ,6.6 ,9.1 ,4.7 ,4.9 ,6.4 ,10.4 ,,,
2007,6.2 ,8.0 ,5.8 ,6.3 ,4.6 ,7.7 ,3.3 ,9.6 ,,,
2008,4.9 ,3.6 ,6.1 ,5.7 ,6.4 ,4.7 ,10.9 ,-5.1 ,,,
2009,7.4 ,8.7 ,7.1 ,7.8 ,4.4 ,8.9 ,11.2 ,10.0 ,,,
2010,5.5 ,8.2 ,4.8 ,5.3 ,2.7 ,6.1 ,6.7 ,11.3 ,,,
2011,3.6 ,5.5 ,3.8 ,5.4 ,3.1 ,1.4 ,3.9 ,1.5 ,,,
2012,6.0 ,8.9 ,5.3 ,6.9 ,4.4 ,4.4 ,1.9 ,11.1 ,,,
2013,3.9 ,6.2 ,3.6 ,3.4 ,3.4 ,4.1 ,4.6 ,5.7 ,,,
2014,4.3 ,-3.0 ,5.1 ,4.7 ,3.1 ,8.8 ,6.8 ,0.0 ,,,
2015,5.8 ,-5.0 ,7.0 ,9.4 ,3.1 ,8.3 ,5.3 ,-1.5 ,,,
2016,5.3 ,2.8 ,5.5 ,7.6 ,4.6 ,2.9 ,3.8 ,4.2 ,,,
2017,4.7 ,6.8 ,4.3 ,5.4 ,4.3 ,1.9 ,5.1 ,7.3 ,,,
2018,4.5 ,1.6 ,4.6 ,5.9 ,4.6 ,2.0 ,3.5 ,4.2 ,,,
,Percent Distribution,,,,,,,,,,
1970,100.0%,9.0%,71.5%,32.5%,19.7%,9.7%,9.6%,19.5%,,,
1980,100.0 ,5.4 ,79.7 ,36.6 ,26.1 ,9.2 ,7.8 ,15.0 ,,,
1990,100.0 ,4.5 ,82.6 ,38.5 ,26.9 ,10.6 ,6.5 ,12.9 ,,,
2000,100.0 ,3.2 ,86.2 ,33.9 ,29.7 ,17.1 ,5.5 ,10.6 ,,,
2001,100.0 ,3.1 ,87.0 ,34.1 ,30.1 ,17.2 ,5.6 ,10.0 ,,,
2002,100.0 ,3.1 ,87.2 ,34.8 ,29.5 ,17.4 ,5.6 ,9.6 ,,,
2003,100.0 ,3.2 ,86.9 ,35.0 ,28.7 ,17.2 ,5.9 ,9.9 ,,,
2004,100.0 ,3.2 ,87.1 ,35.3 ,28.8 ,17.1 ,5.9 ,9.6 ,,,
2005,100.0 ,3.2 ,87.4 ,35.5 ,29.0 ,17.1 ,5.8 ,9.4 ,,,
2006,100.0 ,3.2 ,87.1 ,36.2 ,28.4 ,16.7 ,5.8 ,9.7 ,,,
2007,100.0 ,3.3 ,86.7 ,36.2 ,27.9 ,16.9 ,5.6 ,10.0 ,,,
2008,100.0 ,3.3 ,87.7 ,36.5 ,28.3 ,16.9 ,6.0 ,9.1 ,,,
2009,100.0 ,3.3 ,87.4 ,36.6 ,27.5 ,17.1 ,6.2 ,9.3 ,,,
2010,100.0 ,3.4 ,86.8 ,36.6 ,26.8 ,17.2 ,6.2 ,9.8 ,,,
2011,100.0 ,3.4 ,87.0 ,37.2 ,26.7 ,16.9 ,6.3 ,9.6 ,,,
2012,100.0 ,3.5 ,86.4 ,37.5 ,26.3 ,16.6 ,6.0 ,10.1 ,,,
2013,100.0 ,3.6 ,86.2 ,37.3 ,26.1 ,16.7 ,6.1 ,10.2 ,,,
2014,100.0 ,3.4 ,86.8 ,37.4 ,25.8 ,17.4 ,6.2 ,9.8 ,,,
2015,100.0 ,3.0 ,87.8 ,38.7 ,25.2 ,17.8 ,6.2 ,9.1 ,,,
2016,100.0 ,2.9 ,88.0 ,39.6 ,25.0 ,17.4 ,6.1 ,9.0 ,,,
2017,100.0 ,3.0 ,87.7 ,39.8 ,24.9 ,16.9 ,6.1 ,9.3 ,,,
2018,100.0 ,2.9 ,87.8 ,40.4 ,24.9 ,16.5 ,6.1 ,9.2 ,,,
"1 Total expenditures equals the sum of out of pocket, health insurance, and other third party payers. ",,,,,,,,,,,
"2 Includes Private Health Insurance, Medicare, Medicaid and other health insurance programs. ",,,,,,,,,,,
"3 Other health insurance programs may include Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,,,,
"4 Other third party payers may include worksite health care, other private revenues, Indian Health Service, workers’ compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health.",,,,,,,,,,,
5 Average annual growth from 1960-1970.,,,,,,,,,,,
"NOTE: Numbers and percents may not add to totals due to rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable; Medicare and Medicaid became effective July 1966.  The Children's Health Insurance Program became effective in 1998.",,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
