"Table 8 
Physician and Clinical Services Expenditures; Levels, Percent Change, and Percent Distribution, 
by Source of Funds: Selected Calendar Years 1970-2018",,,,,,,,,,,
 , , ,,Health Insurance2,,,,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4,,,
,Amount in Billions,,,,,,,,,,
1970,$14.3 ,$6.5 ,$7.0 ,$4.2 ,$1.6 ,$0.6 ,$0.5 ,$0.9 ,,,
1980,47.7 ,14.2 ,28.5 ,16.6 ,8.3 ,2.4 ,1.1 ,5.0 ,,,
1990,158.4 ,29.9 ,107.4 ,66.6 ,30.5 ,7.0 ,3.3 ,21.1 ,,,
2000,288.2 ,31.9 ,220.1 ,135.4 ,58.7 ,19.3 ,6.7 ,36.1 ,,,
2001,312.7 ,33.4 ,241.4 ,148.3 ,63.7 ,21.4 ,7.9 ,37.9 ,,,
2002,337.7 ,35.1 ,263.8 ,162.2 ,68.0 ,24.0 ,9.6 ,38.8 ,,,
2003,364.3 ,37.2 ,285.7 ,176.2 ,73.5 ,25.2 ,10.8 ,41.4 ,,,
2004,389.4 ,38.9 ,306.1 ,185.8 ,80.6 ,28.0 ,11.7 ,44.4 ,,,
2005,413.0 ,41.7 ,325.6 ,197.9 ,85.6 ,30.1 ,12.0 ,45.7 ,,,
2006,434.7 ,43.4 ,343.4 ,206.1 ,91.3 ,31.8 ,14.2 ,47.9 ,,,
2007,457.5 ,45.4 ,361.2 ,215.7 ,96.0 ,33.5 ,16.0 ,50.9 ,,,
2008,481.9 ,46.8 ,382.3 ,224.3 ,103.8 ,35.9 ,18.2 ,52.8 ,,,
2009,497.7 ,45.4 ,400.9 ,228.6 ,112.0 ,40.2 ,20.1 ,51.4 ,,,
2010,512.6 ,48.7 ,411.1 ,231.1 ,115.8 ,43.3 ,21.0 ,52.7 ,,,
2011,535.9 ,51.6 ,431.5 ,241.6 ,122.2 ,45.2 ,22.5 ,52.7 ,,,
2012,557.1 ,52.0 ,447.8 ,249.1 ,128.2 ,47.0 ,23.5 ,57.4 ,,,
2013,569.6 ,53.4 ,457.7 ,249.6 ,132.1 ,51.5 ,24.5 ,58.5 ,,,
2014,595.7 ,54.4 ,484.3 ,257.4 ,137.9 ,63.4 ,25.4 ,57.0 ,,,
2015,631.2 ,56.5 ,513.4 ,271.6 ,144.4 ,69.1 ,28.3 ,61.3 ,,,
2016,665.6 ,58.8 ,538.5 ,287.0 ,149.2 ,72.2 ,30.1 ,68.2 ,,,
2017,696.9 ,60.1 ,565.3 ,300.2 ,157.9 ,75.2 ,31.9 ,71.6 ,,,
2018,725.6 ,61.2 ,594.0 ,311.8 ,170.2 ,77.4 ,34.6 ,70.4 ,,,
,Average Annual Percent Change from Previous Year Shown,,,,,,,,,,
19705,9.9%,6.9%,14.3%,10.2%,—,—,7.2%,7.9%,,,
1980,12.8 ,8.2 ,15.1 ,14.7 ,17.6 ,14.1 ,8.9 ,18.9 ,,,
1990,12.7 ,7.7 ,14.2 ,14.9 ,13.9 ,11.2 ,11.2 ,15.5 ,,,
2000,6.2 ,0.6 ,7.4 ,7.4 ,6.8 ,10.6 ,7.3 ,5.5 ,,,
2001,8.5 ,4.7 ,9.7 ,9.5 ,8.5 ,11.1 ,18.1 ,4.9 ,,,
2002,8.0 ,5.0 ,9.3 ,9.4 ,6.8 ,12.1 ,21.0 ,2.3 ,,,
2003,7.9 ,6.1 ,8.3 ,8.6 ,8.1 ,4.8 ,12.7 ,6.8 ,,,
2004,6.9 ,4.6 ,7.1 ,5.5 ,9.5 ,11.1 ,8.2 ,7.3 ,,,
2005,6.1 ,7.1 ,6.4 ,6.5 ,6.3 ,7.5 ,2.7 ,3.0 ,,,
2006,5.3 ,4.0 ,5.5 ,4.2 ,6.7 ,5.7 ,18.0 ,4.8 ,,,
2007,5.2 ,4.7 ,5.2 ,4.6 ,5.1 ,5.5 ,13.1 ,6.1 ,,,
2008,5.3 ,3.1 ,5.8 ,4.0 ,8.2 ,7.1 ,13.6 ,3.8 ,,,
2009,3.3 ,-3.0 ,4.9 ,1.9 ,7.9 ,11.8 ,10.3 ,-2.7 ,,,
2010,3.0 ,7.3 ,2.5 ,1.1 ,3.4 ,7.7 ,4.3 ,2.7 ,,,
2011,4.5 ,6.0 ,5.0 ,4.6 ,5.6 ,4.5 ,7.2 ,-0.1 ,,,
2012,4.0 ,0.6 ,3.8 ,3.1 ,4.9 ,4.0 ,4.5 ,8.9 ,,,
2013,2.2 ,2.8 ,2.2 ,0.2 ,3.0 ,9.7 ,4.2 ,1.9 ,,,
2014,4.6 ,1.9 ,5.8 ,3.1 ,4.5 ,23.2 ,3.9 ,-2.5 ,,,
2015,6.0 ,3.8 ,6.0 ,5.5 ,4.7 ,8.9 ,11.1 ,7.5 ,,,
2016,5.4 ,4.2 ,4.9 ,5.7 ,3.3 ,4.5 ,6.4 ,11.3 ,,,
2017,4.7 ,2.1 ,5.0 ,4.6 ,5.9 ,4.2 ,6.1 ,4.9 ,,,
2018,4.1 ,1.8 ,5.1 ,3.9 ,7.8 ,2.9 ,8.5 ,-1.7 ,,,
,Percent Distribution,,,,,,,,,,
1970,100.0%,45.1%,48.8%,29.4%,11.5%,4.5%,3.4%,6.1%,,,
1980,100.0 ,29.8 ,59.8 ,34.8 ,17.4 ,5.1 ,2.4 ,10.4 ,,,
1990,100.0 ,18.9 ,67.8 ,42.1 ,19.2 ,4.4 ,2.1 ,13.3 ,,,
2000,100.0 ,11.1 ,76.4 ,47.0 ,20.4 ,6.7 ,2.3 ,12.5 ,,,
2001,100.0 ,10.7 ,77.2 ,47.4 ,20.4 ,6.9 ,2.5 ,12.1 ,,,
2002,100.0 ,10.4 ,78.1 ,48.0 ,20.2 ,7.1 ,2.8 ,11.5 ,,,
2003,100.0 ,10.2 ,78.4 ,48.4 ,20.2 ,6.9 ,3.0 ,11.4 ,,,
2004,100.0 ,10.0 ,78.6 ,47.7 ,20.7 ,7.2 ,3.0 ,11.4 ,,,
2005,100.0 ,10.1 ,78.8 ,47.9 ,20.7 ,7.3 ,2.9 ,11.1 ,,,
2006,100.0 ,10.0 ,79.0 ,47.4 ,21.0 ,7.3 ,3.3 ,11.0 ,,,
2007,100.0 ,9.9 ,79.0 ,47.1 ,21.0 ,7.3 ,3.5 ,11.1 ,,,
2008,100.0 ,9.7 ,79.3 ,46.5 ,21.5 ,7.5 ,3.8 ,11.0 ,,,
2009,100.0 ,9.1 ,80.5 ,45.9 ,22.5 ,8.1 ,4.0 ,10.3 ,,,
2010,100.0 ,9.5 ,80.2 ,45.1 ,22.6 ,8.4 ,4.1 ,10.3 ,,,
2011,100.0 ,9.6 ,80.5 ,45.1 ,22.8 ,8.4 ,4.2 ,9.8 ,,,
2012,100.0 ,9.3 ,80.4 ,44.7 ,23.0 ,8.4 ,4.2 ,10.3 ,,,
2013,100.0 ,9.4 ,80.4 ,43.8 ,23.2 ,9.0 ,4.3 ,10.3 ,,,
2014,100.0 ,9.1 ,81.3 ,43.2 ,23.2 ,10.6 ,4.3 ,9.6 ,,,
2015,100.0 ,8.9 ,81.3 ,43.0 ,22.9 ,10.9 ,4.5 ,9.7 ,,,
2016,100.0 ,8.8 ,80.9 ,43.1 ,22.4 ,10.8 ,4.5 ,10.2 ,,,
2017,100.0 ,8.6 ,81.1 ,43.1 ,22.7 ,10.8 ,4.6 ,10.3 ,,,
2018,100.0 ,8.4 ,81.9 ,43.0 ,23.5 ,10.7 ,4.8 ,9.7 ,,,
"1 Total expenditures equals the sum of out of pocket, health insurance, and other third party payers. ",,,,,,,,,,,
"2 Includes Private Health Insurance, Medicare, Medicaid and other health insurance programs. ",,,,,,,,,,,
"3 Other health insurance programs may include Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,,,,
"4 Other third party payers may include worksite health care, other private revenues, Indian Health Service, workers’ compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health.",,,,,,,,,,,
5 Average annual growth from 1960-1970.,,,,,,,,,,,
"NOTE: Numbers and percents may not add to totals due to rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable; Medicare and Medicaid became effective July 1966.  The Children's Health Insurance Program became effective in 1998.",,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
