"Table 11 
Other Professional Services Expenditures; Levels, Percent Change, and Percent Distribution, by Source of Funds: Selected Calendar Years 1970-2018",,,,,,,,,,,
 , , ,,Health Insurance2,,,,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4,,,
,Amount in Billions,,,,,,,,,,
1970,$0.7 ,$0.3 ,$0.1 ,$0.0 ,$0.0 ,$0.0 ,—     ,$0.3 ,,,
1980,3.5 ,1.7 ,1.2 ,0.9 ,0.2 ,0.2 ,—     ,0.6 ,,,
1990,17.3 ,6.1 ,8.3 ,6.8 ,1.1 ,0.4 ,—     ,2.8 ,,,
2000,36.6 ,10.9 ,21.1 ,14.1 ,5.4 ,1.6 ,0.1 ,4.6 ,,,
2001,40.3 ,11.6 ,23.9 ,15.5 ,6.5 ,1.8 ,0.1 ,4.7 ,,,
2002,43.3 ,12.4 ,26.0 ,16.9 ,6.7 ,2.3 ,0.1 ,5.0 ,,,
2003,46.5 ,13.1 ,28.5 ,18.5 ,7.5 ,2.4 ,0.1 ,4.9 ,,,
2004,50.2 ,13.8 ,31.1 ,19.8 ,8.3 ,2.9 ,0.1 ,5.3 ,,,
2005,52.8 ,14.2 ,33.2 ,20.4 ,9.4 ,3.2 ,0.1 ,5.4 ,,,
2006,55.3 ,14.8 ,34.9 ,21.2 ,10.2 ,3.3 ,0.2 ,5.6 ,,,
2007,60.1 ,16.2 ,37.8 ,23.1 ,11.0 ,3.5 ,0.2 ,6.1 ,,,
2008,64.5 ,17.2 ,40.9 ,24.4 ,12.4 ,4.0 ,0.2 ,6.4 ,,,
2009,67.0 ,17.3 ,43.4 ,24.5 ,13.8 ,4.9 ,0.2 ,6.4 ,,,
2010,69.9 ,18.0 ,45.3 ,25.4 ,14.5 ,5.2 ,0.2 ,6.6 ,,,
2011,72.8 ,18.6 ,47.4 ,26.6 ,15.7 ,5.0 ,0.2 ,6.7 ,,,
2012,76.4 ,19.4 ,50.0 ,27.9 ,16.9 ,5.0 ,0.2 ,7.0 ,,,
2013,78.7 ,19.8 ,52.0 ,28.2 ,18.2 ,5.4 ,0.3 ,6.9 ,,,
2014,83.0 ,21.0 ,54.9 ,28.8 ,19.6 ,6.3 ,0.3 ,7.1 ,,,
2015,87.8 ,22.0 ,58.7 ,30.2 ,21.3 ,6.9 ,0.3 ,7.1 ,,,
2016,92.7 ,23.1 ,62.2 ,32.2 ,22.4 ,7.2 ,0.3 ,7.4 ,,,
2017,97.5 ,24.4 ,65.9 ,33.4 ,24.6 ,7.5 ,0.4 ,7.3 ,,,
2018,103.9 ,26.1 ,70.4 ,35.1 ,27.2 ,7.7 ,0.4 ,7.4 ,,,
,Average Annual Percent Change from Previous Year Shown,,,,,,,,,,
19705,6.3%,-0.5%,28.2%,17.7%,—     ,—     ,—     ,21.6%,,,
1980,17.0 ,18.0 ,28.2 ,35.0 ,25.0 ,16.4 ,—     ,6.6 ,,,
1990,17.4 ,13.7 ,21.3 ,22.9 ,21.1 ,9.4 ,—     ,17.2 ,,,
2000,7.8 ,5.9 ,9.7 ,7.6 ,16.9 ,13.5 ,—     ,5.0 ,,,
2001,9.9 ,6.4 ,13.0 ,10.2 ,19.5 ,15.4 ,31.3 ,3.6 ,,,
2002,7.6 ,6.2 ,9.0 ,8.9 ,4.4 ,24.0 ,62.6 ,4.5 ,,,
2003,7.3 ,5.7 ,9.6 ,9.6 ,10.8 ,7.7 ,-6.0 ,-0.6 ,,,
2004,7.9 ,5.9 ,9.1 ,6.9 ,11.0 ,20.2 ,-6.3 ,6.6 ,,,
2005,5.1 ,2.6 ,6.6 ,2.9 ,14.0 ,10.0 ,14.7 ,3.4 ,,,
2006,4.7 ,4.4 ,5.1 ,4.1 ,8.1 ,2.0 ,42.2 ,2.4 ,,,
2007,8.7 ,9.2 ,8.3 ,9.1 ,7.3 ,6.9 ,-11.5 ,9.5 ,,,
2008,7.4 ,6.1 ,8.2 ,5.4 ,13.0 ,12.1 ,6.9 ,5.4 ,,,
2009,4.0 ,0.6 ,6.0 ,0.6 ,11.1 ,23.3 ,7.3 ,-0.5 ,,,
2010,4.3 ,3.9 ,4.4 ,3.6 ,5.6 ,5.9 ,-4.1 ,3.9 ,,,
2011,4.2 ,3.6 ,4.7 ,4.5 ,7.8 ,-3.2 ,22.1 ,1.5 ,,,
2012,5.0 ,4.3 ,5.4 ,5.0 ,7.8 ,-0.1 ,10.5 ,4.1 ,,,
2013,3.0 ,2.0 ,4.0 ,1.1 ,7.8 ,7.4 ,11.8 ,-1.3 ,,,
2014,5.4 ,5.8 ,5.7 ,2.3 ,7.7 ,16.9 ,-0.5 ,1.9 ,,,
2015,5.9 ,5.0 ,6.9 ,4.8 ,8.5 ,10.9 ,15.4 ,0.9 ,,,
2016,5.5 ,4.9 ,5.9 ,6.4 ,5.5 ,4.3 ,13.5 ,4.1 ,,,
2017,5.2 ,5.6 ,5.9 ,3.7 ,9.6 ,3.7 ,15.2 ,-1.7 ,,,
2018,6.5 ,7.2 ,6.9 ,5.3 ,10.5 ,2.5 ,4.8 ,0.9 ,,,
,Percent Distribution,,,,,,,,,,
1970,100.0%,44.7%,13.8%,5.9%,2.5%,5.5%,—     ,41.5%,,,
1980,100.0 ,48.8 ,34.7 ,24.7 ,4.8 ,5.2 ,—     ,16.5 ,,,
1990,100.0 ,35.5 ,48.3 ,39.1 ,6.6 ,2.6 ,—     ,16.2 ,,,
2000,100.0 ,29.8 ,57.7 ,38.4 ,14.8 ,4.3 ,0.2 ,12.5 ,,,
2001,100.0 ,28.9 ,59.3 ,38.5 ,16.0 ,4.5 ,0.2 ,11.8 ,,,
2002,100.0 ,28.5 ,60.1 ,39.0 ,15.6 ,5.2 ,0.3 ,11.4 ,,,
2003,100.0 ,28.1 ,61.3 ,39.8 ,16.1 ,5.2 ,0.2 ,10.6 ,,,
2004,100.0 ,27.6 ,62.0 ,39.4 ,16.5 ,5.8 ,0.2 ,10.5 ,,,
2005,100.0 ,26.9 ,62.8 ,38.6 ,17.9 ,6.1 ,0.2 ,10.3 ,,,
2006,100.0 ,26.8 ,63.1 ,38.4 ,18.5 ,6.0 ,0.3 ,10.1 ,,,
2007,100.0 ,27.0 ,62.9 ,38.5 ,18.2 ,5.9 ,0.3 ,10.1 ,,,
2008,100.0 ,26.6 ,63.4 ,37.8 ,19.2 ,6.1 ,0.3 ,10.0 ,,,
2009,100.0 ,25.8 ,64.7 ,36.6 ,20.5 ,7.3 ,0.3 ,9.5 ,,,
2010,100.0 ,25.7 ,64.8 ,36.4 ,20.8 ,7.4 ,0.2 ,9.5 ,,,
2011,100.0 ,25.6 ,65.2 ,36.5 ,21.5 ,6.9 ,0.3 ,9.3 ,,,
2012,100.0 ,25.4 ,65.4 ,36.5 ,22.1 ,6.5 ,0.3 ,9.2 ,,,
2013,100.0 ,25.2 ,66.0 ,35.8 ,23.1 ,6.8 ,0.3 ,8.8 ,,,
