"Table 12 
Dental Services Expenditures; Levels, Percent Change, and Percent Distribution, 
by Source of Funds: Selected Calendar Years 1970-2018",,,,,,,,,,,
 , , ,,Health Insurance2,,,,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4,,,
,Amount in Billions,,,,,,,,,,
1970,$4.7 ,$4.2 ,$0.4 ,$0.2 ,—     ,$0.2 ,$0.1 ,$0.0 ,,,
1980,13.3 ,8.8 ,4.4 ,3.8 ,—     ,0.5 ,0.2 ,0.1 ,,,
1990,31.6 ,15.3 ,16.2 ,15.1 ,0.0 ,0.8 ,0.3 ,0.2 ,,,
2000,62.1 ,27.4 ,34.3 ,31.3 ,0.1 ,2.4 ,0.6 ,0.3 ,,,
2001,67.7 ,29.1 ,38.3 ,34.3 ,0.1 ,3.1 ,0.7 ,0.3 ,,,
2002,73.6 ,32.0 ,41.3 ,36.5 ,0.1 ,3.7 ,1.0 ,0.3 ,,,
2003,76.3 ,33.5 ,42.6 ,37.4 ,0.1 ,4.0 ,1.1 ,0.3 ,,,
2004,82.2 ,35.8 ,46.1 ,40.5 ,0.1 ,4.3 ,1.3 ,0.3 ,,,
2005,87.2 ,37.9 ,49.0 ,42.8 ,0.1 ,4.6 ,1.5 ,0.3 ,,,
2006,91.8 ,39.8 ,51.6 ,45.0 ,0.1 ,4.8 ,1.7 ,0.4 ,,,
2007,97.7 ,42.5 ,54.8 ,47.5 ,0.2 ,5.2 ,1.9 ,0.4 ,,,
2008,102.7 ,44.9 ,57.4 ,48.9 ,0.2 ,6.2 ,2.0 ,0.4 ,,,
2009,103.1 ,42.8 ,59.8 ,49.6 ,0.3 ,7.6 ,2.2 ,0.5 ,,,
2010,105.9 ,43.7 ,61.7 ,50.4 ,0.2 ,8.4 ,2.6 ,0.5 ,,,
2011,108.0 ,45.0 ,62.4 ,50.9 ,0.3 ,8.5 ,2.8 ,0.5 ,,,
2012,109.7 ,45.7 ,63.5 ,51.6 ,0.4 ,8.6 ,3.0 ,0.5 ,,,
2013,111.2 ,46.0 ,64.8 ,52.4 ,0.5 ,8.8 ,3.1 ,0.5 ,,,
2014,113.8 ,46.3 ,67.0 ,53.5 ,0.4 ,9.9 ,3.2 ,0.5 ,,,
2015,118.8 ,49.4 ,69.0 ,53.5 ,0.5 ,11.5 ,3.5 ,0.5 ,,,
2016,124.9 ,51.9 ,72.5 ,56.3 ,0.5 ,12.1 ,3.6 ,0.5 ,,,
2017,129.6 ,53.0 ,76.1 ,58.9 ,0.9 ,12.5 ,3.8 ,0.5 ,,,
2018,135.6 ,54.9 ,80.2 ,62.2 ,1.2 ,12.8 ,4.0 ,0.6 ,,,
,Average Annual Percent Change from Previous Year Shown,,,,,,,,,,
19705,9.0%,8.3%,21.5%,18.7%,—     ,—     ,11.3%,2.5%,,,
1980,11.0 ,7.5 ,25.8 ,33.4 ,—     ,12.0 ,7.7 ,18.6 ,,,
1990,9.0 ,5.7 ,13.8 ,14.9 ,—     ,4.2 ,5.5 ,4.8 ,,,
2000,7.0 ,6.0 ,7.8 ,7.5 ,44.0 ,12.2 ,8.1 ,6.7 ,,,
2001,9.0 ,6.1 ,11.4 ,9.8 ,5.8 ,28.7 ,27.0 ,-3.8 ,,,
2002,8.8 ,10.0 ,7.9 ,6.3 ,-8.3 ,20.0 ,33.0 ,-4.9 ,,,
2003,3.6 ,4.5 ,3.1 ,2.3 ,-11.1 ,8.8 ,11.0 ,-9.9 ,,,
2004,7.7 ,6.9 ,8.3 ,8.4 ,1.3 ,5.7 ,17.4 ,10.0 ,,,
2005,6.1 ,6.1 ,6.1 ,5.8 ,21.3 ,7.2 ,12.6 ,4.9 ,,,
2006,5.2 ,5.0 ,5.4 ,5.2 ,20.0 ,4.6 ,13.8 ,6.5 ,,,
2007,6.5 ,6.8 ,6.2 ,5.4 ,59.1 ,9.0 ,17.3 ,9.0 ,,,
2008,5.1 ,5.6 ,4.7 ,2.9 ,34.7 ,19.5 ,4.9 ,10.4 ,,,
2009,0.4 ,-4.7 ,4.2 ,1.6 ,34.0 ,22.6 ,8.7 ,15.5 ,,,
2010,2.7 ,2.0 ,3.1 ,1.6 ,-18.4 ,10.0 ,17.0 ,9.8 ,,,
2011,2.0 ,3.2 ,1.2 ,0.9 ,21.6 ,0.7 ,8.3 ,-5.4 ,,,
2012,1.6 ,1.4 ,1.7 ,1.4 ,25.0 ,1.4 ,6.0 ,3.0 ,,,
2013,1.4 ,0.7 ,2.0 ,1.5 ,30.1 ,2.7 ,4.6 ,-7.9 ,,,
2014,2.3 ,0.8 ,3.5 ,2.1 ,-14.7 ,12.7 ,3.6 ,-3.0 ,,,
2015,4.4 ,6.6 ,2.9 ,0.1 ,12.4 ,15.5 ,9.1 ,-1.3 ,,,
2016,5.1 ,5.1 ,5.2 ,5.2 ,11.9 ,5.3 ,3.0 ,0.8 ,,,
2017,3.8 ,2.1 ,4.9 ,4.6 ,68.6 ,3.5 ,5.7 ,8.8 ,,,
2018,4.6 ,3.5 ,5.4 ,5.7 ,37.4 ,2.2 ,4.3 ,11.2 ,,,
,Percent Distribution,,,,,,,,,,
1970,100.0%,90.0%,9.5%,4.5%,—     ,3.4%,1.6%,0.4%,,,
1980,100.0 ,65.8 ,33.4 ,28.4 ,—     ,3.8 ,1.2 ,0.8 ,,,
1990,100.0 ,48.3 ,51.2 ,47.9 ,0.0 ,2.4 ,0.9 ,0.6 ,,,
2000,100.0 ,44.2 ,55.3 ,50.3 ,0.1 ,3.9 ,0.9 ,0.6 ,,,
2001,100.0 ,43.0 ,56.5 ,50.7 ,0.1 ,4.6 ,1.1 ,0.5 ,,,
2002,100.0 ,43.5 ,56.1 ,49.6 ,0.1 ,5.0 ,1.4 ,0.4 ,,,
2003,100.0 ,43.8 ,55.8 ,49.0 ,0.1 ,5.3 ,1.4 ,0.4 ,,,
2004,100.0 ,43.5 ,56.1 ,49.3 ,0.1 ,5.2 ,1.6 ,0.4 ,,,
2005,100.0 ,43.5 ,56.1 ,49.1 ,0.1 ,5.2 ,1.7 ,0.4 ,,,
2006,100.0 ,43.4 ,56.2 ,49.1 ,0.1 ,5.2 ,1.8 ,0.4 ,,,
2007,100.0 ,43.5 ,56.1 ,48.6 ,0.2 ,5.3 ,2.0 ,0.4 ,,,
2008,100.0 ,43.7 ,55.8 ,47.6 ,0.2 ,6.1 ,2.0 ,0.4 ,,,
2009,100.0 ,41.5 ,58.0 ,48.1 ,0.3 ,7.4 ,2.2 ,0.5 ,,,
2010,100.0 ,41.2 ,58.3 ,47.6 ,0.2 ,7.9 ,2.5 ,0.5 ,,,
2011,100.0 ,41.7 ,57.8 ,47.1 ,0.3 ,7.8 ,2.6 ,0.5 ,,,
2012,100.0 ,41.6 ,57.9 ,47.0 ,0.3 ,7.8 ,2.7 ,0.5 ,,,
2013,100.0 ,41.3 ,58.2 ,47.1 ,0.4 ,7.9 ,2.8 ,0.4 ,,,
2014,100.0 ,40.7 ,58.9 ,47.0 ,0.4 ,8.7 ,2.8 ,0.4 ,,,
2015,100.0 ,41.6 ,58.0 ,45.0 ,0.4 ,9.7 ,3.0 ,0.4 ,,,
2016,100.0 ,41.5 ,58.1 ,45.1 ,0.4 ,9.7 ,2.9 ,0.4 ,,,
2017,100.0 ,40.9 ,58.7 ,45.5 ,0.7 ,9.6 ,3.0 ,0.4 ,,,
2018,100.0 ,40.4 ,59.1 ,45.9 ,0.9 ,9.4 ,3.0 ,0.4 ,,,
"1 Total expenditures equals the sum of out of pocket, health insurance, and other third party payers. ",,,,,,,,,,,
"2 Includes Private Health Insurance, Medicare, Medicaid and other health insurance programs. ",,,,,,,,,,,
"3 Other health insurance programs may include Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,,,,
"4 Other third party payers may include worksite health care, other private revenues, Indian Health Service, workers’ compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health.",,,,,,,,,,,
5 Average annual growth from 1960-1970.,,,,,,,,,,,
"NOTE: Numbers and percents may not add to totals due to rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable; Medicare and Medicaid became effective July 1966.  The Children's Health Insurance Program became effective in 1998.",,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
