"Table 13 
Other Health, Residential, and Personal Care Services Expenditures; Levels, Percent Change, and Percent Distribution, by Source of Funds: Selected Calendar Years 1970-2018",,,,,,,,,,,,,,,,,,,,
 , , ,,Health Insurance2,,,,,,,,,,,,,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4,,,,,,,,,,,,
,Amount in Billions,,,,,,,,,,,,,,,,,,,
1970,$1.3 ,$0.1 ,$0.3 ,$0.2 ,$0.0 ,$0.1 ,$0.0 ,$0.8 ,,,,,,,,,,,,
1980,8.4 ,0.3 ,4.3 ,0.6 ,0.1 ,3.5 ,0.1 ,3.8 ,,,,,,,,,,,,
1990,23.8 ,0.9 ,13.2 ,1.7 ,0.8 ,10.6 ,0.2 ,9.7 ,,,,,,,,,,,,
2000,63.9 ,3.0 ,38.6 ,3.9 ,1.8 ,32.5 ,0.5 ,22.4 ,,,,,,,,,,,,
2001,70.0 ,3.3 ,42.6 ,4.0 ,2.0 ,36.0 ,0.5 ,24.0 ,,,,,,,,,,,,
2002,76.7 ,3.6 ,47.7 ,4.5 ,2.4 ,40.2 ,0.6 ,25.5 ,,,,,,,,,,,,
2003,82.5 ,3.9 ,51.6 ,5.0 ,2.7 ,43.3 ,0.7 ,27.0 ,,,,,,,,,,,,
2004,89.3 ,4.2 ,56.6 ,5.9 ,3.0 ,46.8 ,0.9 ,28.5 ,,,,,,,,,,,,
2005,95.0 ,4.5 ,60.5 ,6.3 ,3.5 ,49.9 ,0.9 ,30.0 ,,,,,,,,,,,,
2006,101.1 ,4.6 ,64.8 ,6.7 ,3.7 ,53.3 ,1.1 ,31.6 ,,,,,,,,,,,,
2007,108.3 ,4.7 ,69.6 ,7.2 ,3.9 ,57.4 ,1.1 ,34.0 ,,,,,,,,,,,,
2008,114.5 ,4.8 ,73.3 ,7.8 ,4.2 ,60.0 ,1.3 ,36.5 ,,,,,,,,,,,,
2009,123.4 ,5.1 ,80.3 ,8.4 ,4.6 ,65.7 ,1.6 ,38.0 ,,,,,,,,,,,,
2010,129.1 ,5.1 ,85.1 ,9.1 ,4.8 ,69.6 ,1.6 ,38.9 ,,,,,,,,,,,,
2011,131.7 ,5.1 ,87.4 ,10.3 ,4.9 ,70.6 ,1.6 ,39.3 ,,,,,,,,,,,,
2012,139.1 ,5.6 ,93.0 ,10.5 ,5.1 ,75.7 ,1.8 ,40.5 ,,,,,,,,,,,,
2013,144.3 ,5.9 ,97.0 ,10.4 ,5.1 ,79.6 ,1.9 ,41.4 ,,,,,,,,,,,,
2014,151.5 ,5.9 ,102.1 ,11.0 ,5.2 ,83.9 ,1.9 ,43.6 ,,,,,,,,,,,,
2015,164.5 ,5.7 ,113.0 ,12.7 ,5.0 ,93.1 ,2.2 ,45.8 ,,,,,,,,,,,,
2016,173.6 ,6.1 ,120.5 ,13.3 ,4.9 ,99.9 ,2.4 ,47.1 ,,,,,,,,,,,,
2017,183.2 ,6.4 ,127.1 ,13.8 ,4.9 ,105.9 ,2.5 ,49.7 ,,,,,,,,,,,,
2018,191.6 ,6.8 ,132.3 ,13.6 ,4.9 ,111.1 ,2.7 ,52.5 ,,,,,,,,,,,,
,Average Annual Percent Change from Previous Year Shown,,,,,,,,,,,,,,,,,,,
19705,11.5%,8.9%,15.1%,11.7%,—     ,—     ,1.1%,10.7%,,,,,,,,,,,,
1980,20.5 ,8.2 ,28.9 ,14.2 ,22.2 ,38.6 ,8.0 ,16.4 ,,,,,,,,,,,,
1990,11.0 ,13.0 ,11.8 ,11.8 ,19.2 ,11.6 ,6.6 ,9.8 ,,,,,,,,,,,,
2000,10.4 ,12.5 ,11.3 ,8.3 ,8.9 ,11.9 ,12.0 ,8.7 ,,,,,,,,,,,,
2001,9.4 ,11.2 ,10.4 ,4.4 ,14.6 ,10.9 ,7.3 ,7.5 ,,,,,,,,,,,,
2002,9.6 ,8.0 ,11.8 ,11.8 ,15.8 ,11.5 ,14.5 ,6.0 ,,,,,,,,,,,,
2003,7.6 ,10.4 ,8.3 ,10.5 ,13.2 ,7.6 ,16.2 ,5.8 ,,,,,,,,,,,,
2004,8.3 ,7.4 ,9.7 ,17.7 ,13.5 ,8.2 ,30.4 ,5.6 ,,,,,,,,,,,,
2005,6.4 ,7.3 ,6.9 ,6.7 ,15.4 ,6.5 ,0.7 ,5.3 ,,,,,,,,,,,,
2006,6.4 ,2.4 ,7.1 ,6.9 ,5.8 ,6.9 ,23.2 ,5.5 ,,,,,,,,,,,,
2007,7.2 ,0.5 ,7.5 ,8.0 ,5.9 ,7.7 ,-1.8 ,7.6 ,,,,,,,,,,,,
2008,5.7 ,2.9 ,5.2 ,7.1 ,7.5 ,4.5 ,19.5 ,7.2 ,,,,,,,,,,,,
2009,7.7 ,6.0 ,9.5 ,7.8 ,8.3 ,9.5 ,23.8 ,4.2 ,,,,,,,,,,,,
2010,4.6 ,0.4 ,6.0 ,9.3 ,4.4 ,5.9 ,-2.7 ,2.3 ,,,,,,,,,,,,
2011,2.0 ,-0.1 ,2.7 ,12.2 ,3.6 ,1.4 ,0.2 ,1.0 ,,,,,,,,,,,,
2012,5.6 ,10.2 ,6.5 ,2.2 ,2.8 ,7.2 ,12.8 ,3.2 ,,,,,,,,,,,,
2013,3.7 ,5.6 ,4.3 ,-0.4 ,1.0 ,5.2 ,5.4 ,2.1 ,,,,,,,,,,,,
2014,5.0 ,-0.9 ,5.2 ,5.9 ,0.8 ,5.4 ,3.9 ,5.4 ,,,,,,,,,,,,
2015,8.6 ,-3.2 ,10.8 ,14.7 ,-2.9 ,11.0 ,13.8 ,5.0 ,,,,,,,,,,,,
2016,5.5 ,6.9 ,6.6 ,4.7 ,-2.9 ,7.3 ,7.6 ,2.9 ,,,,,,,,,,,,
2017,5.5 ,5.6 ,5.5 ,3.8 ,0.9 ,6.0 ,6.4 ,5.5 ,,,,,,,,,,,,
2018,4.6 ,6.3 ,4.1 ,-1.1 ,-0.1 ,4.9 ,6.2 ,5.5 ,,,,,,,,,,,,
,Percent Distribution,,,,,,,,,,,,,,,,,,,
1970,100.0%,9.4%,26.3%,11.6%,1.4%,10.4%,2.9%,64.3%,,,,,,,,,,,,
1980,100.0 ,3.2 ,51.5 ,6.8 ,1.6 ,42.1 ,1.0 ,45.3 ,,,,,,,,,,,,
1990,100.0 ,3.8 ,55.5 ,7.3 ,3.2 ,44.3 ,0.7 ,40.7 ,,,,,,,,,,,,
2000,100.0 ,4.6 ,60.4 ,6.0 ,2.8 ,50.8 ,0.8 ,35.0 ,,,,,,,,,,,,
2001,100.0 ,4.7 ,60.9 ,5.8 ,2.9 ,51.5 ,0.7 ,34.3 ,,,,,,,,,,,,
2002,100.0 ,4.6 ,62.1 ,5.9 ,3.1 ,52.4 ,0.8 ,33.2 ,,,,,,,,,,,,
2003,100.0 ,4.8 ,62.6 ,6.1 ,3.2 ,52.4 ,0.8 ,32.7 ,,,,,,,,,,,,
