"Table 14 
Home Health Care Services Expenditures; Levels, Percent Change, and Percent Distribution, 
by Source of Funds: Selected Calendar Years 1970-2018",,,,,,,,,,,
 , , ,,Health Insurance2,,,,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4,,,
,Amount in Billions,,,,,,,,,,
1970,$0.2 ,$0.0 ,$0.1 ,$0.0 ,$0.1 ,$0.0 ,$0.0 ,$0.1 ,,,
1980,2.4 ,0.4 ,1.3 ,0.3 ,0.6 ,0.3 ,0.0 ,0.7 ,,,
1990,12.5 ,2.2 ,8.3 ,2.9 ,3.3 ,2.1 ,0.0 ,2.0 ,,,
2000,32.3 ,6.2 ,23.2 ,7.8 ,8.5 ,6.8 ,0.1 ,2.9 ,,,
2001,34.3 ,6.3 ,25.1 ,6.8 ,9.9 ,8.3 ,0.1 ,2.9 ,,,
2002,36.5 ,6.0 ,27.7 ,6.5 ,11.3 ,9.7 ,0.1 ,2.8 ,,,
2003,40.2 ,6.0 ,31.5 ,6.7 ,13.2 ,11.4 ,0.2 ,2.7 ,,,
2004,44.6 ,6.1 ,35.7 ,6.5 ,15.5 ,13.5 ,0.2 ,2.8 ,,,
2005,49.3 ,6.5 ,40.0 ,6.6 ,18.2 ,14.9 ,0.3 ,2.9 ,,,
2006,52.1 ,5.8 ,43.8 ,5.5 ,21.1 ,16.9 ,0.3 ,2.5 ,,,
2007,57.5 ,5.6 ,49.3 ,5.3 ,24.3 ,19.6 ,0.2 ,2.5 ,,,
2008,62.3 ,5.8 ,54.1 ,5.2 ,27.1 ,21.6 ,0.3 ,2.4 ,,,
2009,67.7 ,5.8 ,59.7 ,5.1 ,30.3 ,24.0 ,0.3 ,2.3 ,,,
2010,71.6 ,6.0 ,63.3 ,5.3 ,31.7 ,25.9 ,0.4 ,2.3 ,,,
2011,74.6 ,6.8 ,65.4 ,5.8 ,32.1 ,27.1 ,0.4 ,2.4 ,,,
2012,78.3 ,7.2 ,68.5 ,6.9 ,33.5 ,27.7 ,0.4 ,2.5 ,,,
2013,81.4 ,7.8 ,70.9 ,8.2 ,33.6 ,28.7 ,0.4 ,2.6 ,,,
2014,84.8 ,8.0 ,74.2 ,9.2 ,34.3 ,30.3 ,0.5 ,2.5 ,,,
2015,89.2 ,8.3 ,78.5 ,9.7 ,35.7 ,32.4 ,0.7 ,2.5 ,,,
2016,93.0 ,8.5 ,81.9 ,10.5 ,36.9 ,33.8 ,0.7 ,2.5 ,,,
2017,97.1 ,9.2 ,85.3 ,11.4 ,38.1 ,35.0 ,0.7 ,2.7 ,,,
2018,102.2 ,10.2 ,89.2 ,12.2 ,40.3 ,35.9 ,0.8 ,2.8 ,,,
,Average Annual Percent Change from Previous Year Shown,,,,,,,,,,
19705,14.5%,11.3%,38.7%,16.8%,—     ,—     ,5.9%,9.6%,,,
1980,26.9 ,33.2 ,31.4 ,48.5 ,27.0 ,34.1 ,14.6 ,20.4 ,,,
1990,18.1 ,20.0 ,20.6 ,23.4 ,17.7 ,22.7 ,10.0 ,10.5 ,,,
2000,9.9 ,10.7 ,10.8 ,10.5 ,10.1 ,12.2 ,13.4 ,3.8 ,,,
2001,6.1 ,1.8 ,8.2 ,-12.8 ,15.8 ,22.6 ,8.6 ,-0.9 ,,,
2002,6.4 ,-4.9 ,10.5 ,-3.5 ,14.5 ,17.2 ,9.8 ,-4.5 ,,,
2003,10.2 ,-0.7 ,13.6 ,2.0 ,16.7 ,17.5 ,29.4 ,-0.4 ,,,
2004,11.1 ,2.9 ,13.4 ,-2.4 ,17.4 ,18.1 ,5.0 ,2.5 ,,,
2005,10.5 ,5.5 ,12.1 ,2.1 ,17.2 ,10.7 ,44.1 ,1.4 ,,,
2006,5.5 ,-10.3 ,9.4 ,-16.7 ,15.7 ,13.4 ,6.0 ,-13.2 ,,,
2007,10.4 ,-2.8 ,12.7 ,-4.8 ,15.2 ,15.9 ,-16.3 ,0.4 ,,,
2008,8.5 ,3.0 ,9.7 ,-2.1 ,11.5 ,10.5 ,23.3 ,-3.8 ,,,
2009,8.6 ,-0.7 ,10.2 ,-1.0 ,11.9 ,10.8 ,10.9 ,-5.8 ,,,
2010,5.7 ,4.3 ,6.1 ,4.1 ,4.8 ,8.2 ,13.5 ,-0.2 ,,,
2011,4.2 ,13.6 ,3.3 ,9.1 ,1.4 ,4.4 ,9.0 ,5.0 ,,,
2012,4.9 ,6.0 ,4.7 ,18.4 ,4.1 ,2.4 ,3.0 ,7.8 ,,,
2013,3.9 ,7.8 ,3.6 ,19.7 ,0.4 ,3.3 ,6.9 ,3.2 ,,,
2014,4.2 ,3.0 ,4.7 ,12.0 ,2.0 ,5.6 ,8.9 ,-5.4 ,,,
2015,5.3 ,2.6 ,5.7 ,6.0 ,4.1 ,6.9 ,45.9 ,0.8 ,,,
2016,4.2 ,3.0 ,4.4 ,7.5 ,3.5 ,4.4 ,5.5 ,1.6 ,,,
2017,4.5 ,7.6 ,4.1 ,9.0 ,3.2 ,3.6 ,3.1 ,5.1 ,,,
2018,5.2 ,10.9 ,4.6 ,6.9 ,5.6 ,2.5 ,12.1 ,6.2 ,,,
,Percent Distribution,,,,,,,,,,
1970,100.0%,9.4%,37.9%,3.0%,26.7%,6.7%,1.4%,52.7%,,,
1980,100.0 ,15.2 ,53.7 ,14.7 ,26.8 ,11.7 ,0.5 ,31.1 ,,,
1990,100.0 ,17.8 ,66.2 ,22.8 ,26.0 ,17.1 ,0.3 ,16.0 ,,,
2000,100.0 ,19.2 ,71.8 ,24.0 ,26.5 ,20.9 ,0.3 ,9.0 ,,,
2001,100.0 ,18.4 ,73.2 ,19.8 ,28.9 ,24.2 ,0.4 ,8.4 ,,,
2002,100.0 ,16.5 ,76.0 ,17.9 ,31.1 ,26.6 ,0.4 ,7.6 ,,,
2003,100.0 ,14.8 ,78.3 ,16.6 ,32.9 ,28.4 ,0.4 ,6.8 ,,,
2004,100.0 ,13.7 ,79.9 ,14.6 ,34.8 ,30.2 ,0.4 ,6.3 ,,,
2005,100.0 ,13.1 ,81.1 ,13.5 ,36.9 ,30.2 ,0.5 ,5.8 ,,,
2006,100.0 ,11.2 ,84.1 ,10.6 ,40.5 ,32.5 ,0.5 ,4.8 ,,,
2007,100.0 ,9.8 ,85.9 ,9.2 ,42.2 ,34.1 ,0.4 ,4.3 ,,,
2008,100.0 ,9.3 ,86.8 ,8.3 ,43.4 ,34.7 ,0.5 ,3.8 ,,,
2009,100.0 ,8.5 ,88.1 ,7.5 ,44.7 ,35.4 ,0.5 ,3.3 ,,,
2010,100.0 ,8.4 ,88.4 ,7.4 ,44.3 ,36.2 ,0.5 ,3.1 ,,,
2011,100.0 ,9.2 ,87.7 ,7.8 ,43.1 ,36.3 ,0.5 ,3.2 ,,,
2012,100.0 ,9.3 ,87.5 ,8.8 ,42.8 ,35.4 ,0.5 ,3.3 ,,,
2013,100.0 ,9.6 ,87.2 ,10.1 ,41.3 ,35.2 ,0.5 ,3.2 ,,,
2014,100.0 ,9.5 ,87.6 ,10.9 ,40.5 ,35.7 ,0.6 ,2.9 ,,,
2015,100.0 ,9.3 ,87.9 ,10.9 ,40.0 ,36.3 ,0.8 ,2.8 ,,,
2016,100.0 ,9.1 ,88.1 ,11.3 ,39.7 ,36.3 ,0.8 ,2.7 ,,,
2017,100.0 ,9.4 ,87.8 ,11.8 ,39.3 ,36.0 ,0.8 ,2.8 ,,,
2018,100.0 ,9.9 ,87.3 ,11.9 ,39.4 ,35.1 ,0.8 ,2.8 ,,,
"1 Total expenditures equals the sum of out of pocket, health insurance, and other third party payers. ",,,,,,,,,,,
"2 Includes Private Health Insurance, Medicare, Medicaid and other health insurance programs. ",,,,,,,,,,,
"3 Other health insurance programs may include Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,,,,
"4 Other third party payers may include worksite health care, other private revenues, Indian Health Service, workers’ compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health.",,,,,,,,,,,
5 Average annual growth from 1960-1970.,,,,,,,,,,,
"NOTE: Numbers and percents may not add to totals due to rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable; Medicare and Medicaid became effective July 1966.  The Children's Health Insurance Program became effective in 1998.",,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
