"Table 15 
Nursing Care Facilities and Continuing Care Retirement Communities Expenditures; Levels, Percent Change, and Percent Distribution, by Source of Funds: Selected Calendar Years 1970-2018",,,,,,,,,,,
 , , ,,Health Insurance2,,,,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4,,,
,Amount in Billions,,,,,,,,,,
1970,$4.0 ,$2.0 ,$1.2 ,$0.0 ,$0.1 ,$0.9 ,$0.1 ,$0.9 ,,,
1980,15.3 ,6.2 ,7.9 ,0.2 ,0.3 ,7.1 ,0.4 ,1.2 ,,,
1990,44.7 ,18.0 ,21.9 ,2.8 ,1.7 ,16.4 ,1.0 ,4.8 ,,,
2000,85.0 ,27.1 ,52.0 ,7.5 ,10.8 ,31.9 ,1.9 ,5.9 ,,,
2001,90.8 ,27.6 ,57.7 ,7.7 ,13.3 ,34.6 ,2.1 ,5.5 ,,,
2002,94.5 ,27.9 ,60.9 ,8.2 ,15.0 ,35.6 ,2.2 ,5.7 ,,,
2003,100.1 ,30.3 ,63.6 ,7.4 ,15.8 ,37.9 ,2.5 ,6.2 ,,,
2004,105.1 ,31.2 ,67.4 ,6.7 ,18.3 ,39.8 ,2.7 ,6.5 ,,,
2005,111.4 ,32.5 ,71.8 ,7.1 ,20.5 ,41.3 ,2.8 ,7.1 ,,,
2006,115.9 ,33.6 ,74.7 ,8.0 ,22.4 ,41.6 ,2.8 ,7.6 ,,,
2007,124.9 ,36.5 ,79.2 ,8.7 ,24.8 ,42.3 ,3.3 ,9.3 ,,,
2008,130.5 ,37.5 ,84.6 ,9.3 ,27.6 ,44.0 ,3.6 ,8.4 ,,,
2009,135.2 ,37.0 ,89.4 ,9.9 ,30.1 ,45.5 ,3.9 ,8.8 ,,,
2010,140.5 ,37.5 ,93.4 ,10.7 ,32.3 ,46.3 ,4.1 ,9.6 ,,,
2011,145.4 ,37.2 ,98.7 ,11.0 ,35.7 ,47.6 ,4.3 ,9.5 ,,,
2012,147.4 ,39.2 ,97.6 ,11.6 ,33.9 ,47.7 ,4.4 ,10.5 ,,,
2013,149.0 ,39.4 ,98.9 ,11.7 ,34.6 ,48.1 ,4.5 ,10.7 ,,,
2014,152.4 ,39.6 ,101.6 ,12.2 ,35.6 ,49.1 ,4.7 ,11.2 ,,,
2015,158.1 ,41.5 ,105.5 ,14.0 ,37.1 ,49.4 ,5.0 ,11.1 ,,,
2016,163.0 ,44.1 ,107.3 ,15.3 ,37.1 ,49.8 ,5.1 ,11.6 ,,,
2017,166.2 ,44.6 ,109.5 ,16.6 ,37.5 ,50.0 ,5.4 ,12.2 ,,,
2018,168.5 ,44.8 ,110.8 ,17.1 ,38.1 ,49.9 ,5.7 ,12.9 ,,,
,Average Annual Percent Change from Previous Year Shown,,,,,,,,,,
19705,17.4%,12.6%,—     ,—     ,—     ,—     ,—     ,15.8%,,,
1980,14.2 ,12.0 ,21.3 ,35.6 ,7.9 ,22.3 ,20.0 ,2.6 ,,,
1990,11.4 ,11.3 ,10.7 ,30.6 ,18.7 ,8.8 ,10.6 ,15.3 ,,,
2000,6.6 ,4.2 ,9.0 ,10.4 ,20.3 ,6.9 ,6.6 ,2.0 ,,,
2001,6.7 ,1.7 ,10.8 ,3.7 ,23.2 ,8.4 ,8.9 ,-6.3 ,,,
2002,4.1 ,1.2 ,5.6 ,5.7 ,12.7 ,2.9 ,6.8 ,2.7 ,,,
2003,5.9 ,8.5 ,4.4 ,-8.8 ,5.0 ,6.5 ,15.7 ,9.8 ,,,
2004,5.0 ,3.0 ,6.0 ,-9.4 ,15.8 ,5.0 ,5.0 ,4.3 ,,,
2005,6.0 ,4.3 ,6.5 ,5.8 ,12.5 ,4.0 ,4.3 ,10.2 ,,,
2006,4.0 ,3.3 ,4.1 ,11.9 ,9.0 ,0.5 ,1.4 ,6.8 ,,,
2007,7.8 ,8.6 ,5.9 ,9.2 ,11.0 ,1.9 ,16.8 ,21.9 ,,,
2008,4.4 ,2.7 ,6.8 ,6.8 ,11.1 ,4.0 ,10.9 ,-9.5 ,,,
2009,3.6 ,-1.2 ,5.7 ,6.1 ,9.2 ,3.3 ,7.1 ,4.7 ,,,
2010,3.9 ,1.4 ,4.4 ,8.6 ,7.1 ,1.8 ,3.7 ,9.2 ,,,
2011,3.5 ,-0.9 ,5.7 ,2.3 ,10.7 ,2.8 ,6.5 ,-0.7 ,,,
2012,1.4 ,5.6 ,-1.1 ,5.8 ,-5.2 ,0.2 ,2.0 ,10.5 ,,,
2013,1.1 ,0.5 ,1.3 ,0.8 ,2.1 ,0.8 ,2.3 ,1.7 ,,,
2014,2.3 ,0.3 ,2.8 ,4.6 ,2.9 ,2.1 ,5.3 ,4.3 ,,,
2015,3.8 ,4.9 ,3.8 ,14.5 ,4.2 ,0.7 ,5.4 ,-0.5 ,,,
2016,3.1 ,6.2 ,1.8 ,9.4 ,0.2 ,0.9 ,1.2 ,4.3 ,,,
2017,2.0 ,1.1 ,2.0 ,8.4 ,1.0 ,0.3 ,6.3 ,5.0 ,,,
2018,1.4 ,0.6 ,1.2 ,2.8 ,1.6 ,-0.2 ,5.4 ,5.8 ,,,
,Percent Distribution,,,,,,,,,,
1970,100.0%,49.2%,28.5%,0.2%,3.5%,23.3%,1.5%,22.3%,,,
1980,100.0 ,40.5 ,51.9 ,1.3 ,2.0 ,46.2 ,2.4 ,7.6 ,,,
1990,100.0 ,40.2 ,49.0 ,6.2 ,3.8 ,36.7 ,2.2 ,10.8 ,,,
2000,100.0 ,31.9 ,61.2 ,8.8 ,12.7 ,37.5 ,2.2 ,6.9 ,,,
2001,100.0 ,30.4 ,63.6 ,8.5 ,14.7 ,38.1 ,2.3 ,6.1 ,,,
2002,100.0 ,29.5 ,64.5 ,8.6 ,15.9 ,37.6 ,2.3 ,6.0 ,,,
2003,100.0 ,30.2 ,63.6 ,7.4 ,15.8 ,37.8 ,2.5 ,6.2 ,,,
2004,100.0 ,29.7 ,64.2 ,6.4 ,17.4 ,37.8 ,2.5 ,6.2 ,,,
2005,100.0 ,29.2 ,64.4 ,6.4 ,18.4 ,37.1 ,2.5 ,6.4 ,,,
2006,100.0 ,29.0 ,64.5 ,6.9 ,19.3 ,35.9 ,2.4 ,6.6 ,,,
2007,100.0 ,29.2 ,63.4 ,7.0 ,19.9 ,33.9 ,2.6 ,7.4 ,,,
2008,100.0 ,28.7 ,64.9 ,7.1 ,21.2 ,33.8 ,2.8 ,6.4 ,,,
2009,100.0 ,27.4 ,66.1 ,7.3 ,22.3 ,33.6 ,2.9 ,6.5 ,,,
2010,100.0 ,26.7 ,66.5 ,7.6 ,23.0 ,33.0 ,2.9 ,6.8 ,,,
2011,100.0 ,25.6 ,67.9 ,7.5 ,24.6 ,32.8 ,3.0 ,6.6 ,,,
2012,100.0 ,26.6 ,66.2 ,7.9 ,23.0 ,32.4 ,3.0 ,7.2 ,,,
2013,100.0 ,26.5 ,66.3 ,7.8 ,23.2 ,32.3 ,3.0 ,7.2 ,,,
