"Table  16
Retail Prescription Drugs Expenditures; Levels, Percent Change, and Percent Distribution, 
by Source of Funds: Selected Calendar Years 1970-2018",,,,,,,,,,,
 , , ,,Health Insurance2,,,,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4,,,
,Amount in Billions,,,,,,,,,,
1970,$5.5 ,$4.5 ,$0.9 ,$0.5 ,$0.0 ,$0.4 ,$0.0 ,$0.1 ,,,
1980,12.0 ,8.6 ,3.2 ,1.8 ,0.0 ,1.4 ,0.0 ,0.2 ,,,
1990,40.3 ,22.9 ,16.2 ,10.9 ,0.2 ,5.1 ,0.1 ,1.2 ,,,
2000,121.0 ,33.6 ,85.1 ,61.1 ,2.1 ,19.8 ,2.1 ,2.3 ,,,
2001,139.0 ,36.4 ,99.9 ,71.2 ,2.4 ,23.4 ,2.9 ,2.7 ,,,
2002,157.9 ,40.8 ,114.0 ,79.8 ,2.5 ,27.5 ,4.3 ,3.1 ,,,
2003,176.7 ,45.5 ,127.6 ,87.0 ,2.5 ,32.2 ,5.9 ,3.6 ,,,
2004,192.8 ,48.1 ,140.9 ,95.0 ,3.4 ,35.8 ,6.7 ,3.7 ,,,
2005,205.2 ,51.3 ,149.9 ,102.0 ,3.9 ,36.5 ,7.4 ,4.0 ,,,
2006,224.1 ,51.6 ,168.5 ,101.6 ,39.6 ,19.1 ,8.2 ,4.0 ,,,
2007,234.9 ,52.5 ,178.5 ,105.7 ,46.0 ,18.3 ,8.6 ,3.8 ,,,
2008,239.6 ,50.0 ,186.0 ,107.5 ,50.6 ,19.2 ,8.7 ,3.6 ,,,
2009,249.5 ,49.5 ,196.5 ,112.4 ,54.5 ,20.3 ,9.1 ,3.5 ,,,
2010,248.4 ,45.6 ,199.4 ,110.9 ,58.9 ,20.4 ,9.1 ,3.3 ,,,
2011,251.9 ,45.7 ,203.4 ,109.8 ,63.3 ,21.0 ,9.4 ,2.8 ,,,
2012,253.0 ,45.5 ,204.9 ,106.4 ,67.5 ,21.4 ,9.5 ,2.5 ,,,
2013,258.2 ,44.3 ,211.5 ,106.2 ,74.0 ,22.1 ,9.2 ,2.4 ,,,
2014,292.4 ,45.6 ,244.9 ,122.6 ,84.8 ,27.3 ,10.2 ,2.0 ,,,
2015,317.1 ,46.3 ,268.9 ,134.8 ,92.4 ,30.5 ,11.1 ,1.9 ,,,
2016,322.3 ,47.8 ,272.7 ,133.8 ,96.6 ,32.0 ,10.3 ,1.8 ,,,
2017,326.8 ,46.8 ,278.2 ,133.2 ,101.3 ,32.9 ,10.8 ,1.8 ,,,
2018,335.0 ,47.1 ,286.2 ,134.3 ,107.2 ,33.4 ,11.3 ,1.8 ,,,
,Average Annual Percent Change from Previous Year Shown,,,,,,,,,,
19705,7.5%,5.8%,37.0%,30.0%,—     ,—     ,4.7%,-1.3%,,,
1980,8.2 ,6.6 ,13.6 ,14.1 ,—     ,12.9 ,14.2 ,13.8 ,,,
1990,12.8 ,10.3 ,17.5 ,19.6 ,—     ,13.7 ,14.8 ,18.8 ,,,
2000,11.6 ,3.9 ,18.0 ,18.9 ,27.4 ,14.6 ,36.5 ,6.6 ,,,
2001,14.8 ,8.0 ,17.4 ,16.4 ,16.8 ,18.2 ,38.9 ,19.2 ,,,
2002,13.6 ,12.3 ,14.1 ,12.1 ,1.0 ,17.7 ,44.6 ,14.0 ,,,
2003,11.9 ,11.4 ,11.9 ,9.1 ,-0.1 ,17.1 ,38.8 ,15.1 ,,,
2004,9.2 ,5.9 ,10.4 ,9.2 ,36.5 ,11.2 ,13.3 ,4.6 ,,,
2005,6.4 ,6.6 ,6.3 ,7.3 ,16.6 ,1.9 ,10.5 ,6.1 ,,,
2006,9.2 ,0.5 ,12.4 ,-0.4 ,908.4 ,-47.7 ,10.4 ,1.7 ,,,
2007,4.8 ,1.9 ,6.0 ,4.0 ,15.9 ,-4.1 ,5.4 ,-6.5 ,,,
2008,2.0 ,-4.8 ,4.2 ,1.7 ,10.2 ,4.9 ,0.7 ,-3.6 ,,,
2009,4.1 ,-1.1 ,5.6 ,4.6 ,7.7 ,5.8 ,5.6 ,-2.9 ,,,
2010,-0.4 ,-7.7 ,1.5 ,-1.3 ,8.1 ,0.4 ,-0.5 ,-5.7 ,,,
2011,1.4 ,0.1 ,2.0 ,-1.0 ,7.4 ,2.6 ,3.3 ,-16.0 ,,,
2012,0.4 ,-0.3 ,0.7 ,-3.1 ,6.7 ,2.3 ,1.1 ,-10.0 ,,,
2013,2.1 ,-2.7 ,3.2 ,-0.2 ,9.7 ,2.9 ,-3.4 ,-6.1 ,,,
2014,13.3 ,2.8 ,15.8 ,15.4 ,14.5 ,23.9 ,10.9 ,-16.3 ,,,
2015,8.4 ,1.6 ,9.8 ,10.0 ,9.0 ,11.6 ,9.3 ,-3.3 ,,,
2016,1.7 ,3.3 ,1.4 ,-0.8 ,4.5 ,5.0 ,-7.5 ,-5.8 ,,,
2017,1.4 ,-2.2 ,2.0 ,-0.4 ,4.8 ,2.7 ,5.3 ,-2.1 ,,,
2018,2.5 ,0.6 ,2.9 ,0.8 ,5.9 ,1.4 ,4.5 ,-0.8 ,,,
,Percent Distribution,,,,,,,,,,
1970,100.0%,82.4%,16.5%,8.8%,0.0%,7.6%,0.1%,1.1%,,,
1980,100.0 ,71.3 ,26.9 ,15.0 ,0.0 ,11.7 ,0.2 ,1.8 ,,,
1990,100.0 ,56.8 ,40.2 ,27.0 ,0.5 ,12.6 ,0.2 ,3.0 ,,,
2000,100.0 ,27.8 ,70.3 ,50.5 ,1.7 ,16.3 ,1.7 ,1.9 ,,,
2001,100.0 ,26.2 ,71.9 ,51.2 ,1.8 ,16.8 ,2.1 ,2.0 ,,,
2002,100.0 ,25.8 ,72.2 ,50.5 ,1.6 ,17.4 ,2.7 ,2.0 ,,,
2003,100.0 ,25.7 ,72.2 ,49.3 ,1.4 ,18.2 ,3.3 ,2.0 ,,,
2004,100.0 ,25.0 ,73.1 ,49.3 ,1.7 ,18.6 ,3.5 ,1.9 ,,,
2005,100.0 ,25.0 ,73.0 ,49.7 ,1.9 ,17.8 ,3.6 ,1.9 ,,,
2006,100.0 ,23.0 ,75.2 ,45.3 ,17.7 ,8.5 ,3.6 ,1.8 ,,,
2007,100.0 ,22.4 ,76.0 ,45.0 ,19.6 ,7.8 ,3.7 ,1.6 ,,,
2008,100.0 ,20.9 ,77.6 ,44.8 ,21.1 ,8.0 ,3.6 ,1.5 ,,,
2009,100.0 ,19.8 ,78.8 ,45.1 ,21.9 ,8.2 ,3.7 ,1.4 ,,,
2010,100.0 ,18.4 ,80.3 ,44.7 ,23.7 ,8.2 ,3.7 ,1.3 ,,,
2011,100.0 ,18.1 ,80.8 ,43.6 ,25.1 ,8.3 ,3.7 ,1.1 ,,,
2012,100.0 ,18.0 ,81.0 ,42.1 ,26.7 ,8.5 ,3.8 ,1.0 ,,,
2013,100.0 ,17.2 ,81.9 ,41.1 ,28.7 ,8.5 ,3.6 ,0.9 ,,,
2014,100.0 ,15.6 ,83.7 ,41.9 ,29.0 ,9.3 ,3.5 ,0.7 ,,,
2015,100.0 ,14.6 ,84.8 ,42.5 ,29.1 ,9.6 ,3.5 ,0.6 ,,,
2016,100.0 ,14.8 ,84.6 ,41.5 ,30.0 ,9.9 ,3.2 ,0.6 ,,,
2017,100.0 ,14.3 ,85.1 ,40.8 ,31.0 ,10.1 ,3.3 ,0.5 ,,,
2018,100.0 ,14.1 ,85.4 ,40.1 ,32.0 ,10.0 ,3.4 ,0.5 ,,,
"1 Total expenditures equals the sum of out of pocket, health insurance, and other third party payers. ",,,,,,,,,,,
"2 Includes Private Health Insurance, Medicare, Medicaid and other health insurance programs. ",,,,,,,,,,,
"3 Other health insurance programs may include Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,,,,
"4 Other third party payers may include worksite health care, other private revenues, Indian Health Service, workers’ compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health.",,,,,,,,,,,
5 Average annual growth from 1960-1970.,,,,,,,,,,,
"NOTE: Numbers and percents may not add to totals due to rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable; Medicare and Medicaid became effective July 1966.  The Children's Health Insurance Program became effective in 1998.",,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
