"Table 17
Durable Medical Equipment Expenditures; Levels, Percent Change, and Percent Distribution, 
by Source of Funds: Selected Calendar Years 1970-2018",,,,,,,,,,,,,,,,,,
 , , ,,Health Insurance2,,,,,,,,,,,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4,,,,,,,,,,
,Amount in Billions,,,,,,,,,,,,,,,,,
1970,$1.7 ,$1.5 ,$0.2 ,$0.1 ,$0.0 ,$0.0 ,—     ,$0.0 ,,,,,,,,,,
1980,4.1 ,3.0 ,1.0 ,0.6 ,0.3 ,0.1 ,—     ,0.1 ,,,,,,,,,,
1990,13.8 ,9.5 ,3.9 ,1.5 ,1.8 ,0.6 ,—     ,0.4 ,,,,,,,,,,
2000,25.2 ,15.1 ,9.6 ,3.6 ,4.1 ,1.8 ,0.0 ,0.5 ,,,,,,,,,,
2001,25.1 ,14.1 ,10.6 ,3.6 ,4.5 ,2.5 ,0.0 ,0.5 ,,,,,,,,,,
2002,27.1 ,14.6 ,12.0 ,3.9 ,5.3 ,2.7 ,0.1 ,0.5 ,,,,,,,,,,
2003,28.5 ,14.9 ,13.1 ,4.2 ,6.0 ,2.8 ,0.1 ,0.5 ,,,,,,,,,,
2004,30.4 ,15.9 ,13.9 ,4.7 ,6.2 ,2.9 ,0.1 ,0.5 ,,,,,,,,,,
2005,32.4 ,16.8 ,15.0 ,5.2 ,6.4 ,3.3 ,0.1 ,0.5 ,,,,,,,,,,
2006,34.4 ,17.5 ,16.4 ,5.7 ,6.9 ,3.8 ,0.1 ,0.5 ,,,,,,,,,,
2007,37.1 ,18.9 ,17.6 ,6.5 ,7.0 ,4.0 ,0.1 ,0.6 ,,,,,,,,,,
2008,37.7 ,18.2 ,18.7 ,6.5 ,7.9 ,4.2 ,0.1 ,0.8 ,,,,,,,,,,
2009,37.8 ,18.1 ,19.0 ,6.8 ,7.5 ,4.6 ,0.1 ,0.8 ,,,,,,,,,,
2010,39.9 ,19.5 ,19.6 ,7.1 ,7.5 ,4.9 ,0.1 ,0.8 ,,,,,,,,,,
2011,42.3 ,21.3 ,20.1 ,7.4 ,7.5 ,5.1 ,0.1 ,0.9 ,,,,,,,,,,
2012,43.7 ,22.0 ,20.9 ,7.3 ,8.1 ,5.3 ,0.1 ,0.8 ,,,,,,,,,,
2013,45.1 ,23.0 ,21.2 ,7.6 ,7.8 ,5.7 ,0.1 ,0.9 ,,,,,,,,,,
2014,46.7 ,22.9 ,22.9 ,8.5 ,7.8 ,6.6 ,0.1 ,0.9 ,,,,,,,,,,
2015,48.6 ,22.9 ,24.8 ,9.4 ,7.9 ,7.3 ,0.1 ,0.9 ,,,,,,,,,,
2016,51.0 ,24.3 ,25.8 ,10.3 ,7.6 ,7.7 ,0.2 ,0.9 ,,,,,,,,,,
2017,52.4 ,24.5 ,27.0 ,10.8 ,8.1 ,7.9 ,0.2 ,0.9 ,,,,,,,,,,
2018,54.9 ,25.5 ,28.4 ,11.3 ,8.9 ,8.1 ,0.2 ,1.0 ,,,,,,,,,,
,Average Annual Percent Change from Previous Year Shown,,,,,,,,,,,,,,,,,
19705,9.0%,8.2%,17.4%,12.9%,—     ,—     ,—     ,12.2%,,,,,,,,,,
1980,8.8 ,7.0 ,17.5 ,15.6 ,27.6 ,10.0 ,—     ,8.2 ,,,,,,,,,,
1990,13.0 ,12.3 ,14.8 ,10.4 ,18.6 ,20.5 ,—     ,13.3 ,,,,,,,,,,
2000,6.2 ,4.7 ,9.4 ,9.0 ,8.5 ,12.2 ,—     ,3.3 ,,,,,,,,,,
2001,-0.1 ,-6.8 ,10.4 ,-1.6 ,10.2 ,34.5 ,3.3 ,1.3 ,,,,,,,,,,
2002,7.9 ,4.1 ,13.4 ,9.7 ,17.7 ,9.8 ,65.3 ,2.3 ,,,,,,,,,,
2003,5.1 ,2.0 ,9.1 ,7.4 ,14.2 ,2.2 ,-12.4 ,-0.3 ,,,,,,,,,,
2004,6.5 ,6.7 ,6.5 ,12.2 ,3.5 ,4.6 ,-9.5 ,2.4 ,,,,,,,,,,
2005,6.6 ,5.5 ,8.1 ,10.8 ,3.3 ,13.8 ,13.5 ,-1.1 ,,,,,,,,,,
2006,6.3 ,4.0 ,9.2 ,9.1 ,7.0 ,14.1 ,-6.0 ,-2.5 ,,,,,,,,,,
2007,7.7 ,8.3 ,7.2 ,13.4 ,1.9 ,6.8 ,40.4 ,7.4 ,,,,,,,,,,
2008,1.6 ,-3.9 ,6.2 ,0.6 ,12.5 ,4.7 ,-1.7 ,44.6 ,,,,,,,,,,
2009,0.4 ,-0.8 ,1.5 ,4.9 ,-5.1 ,9.0 ,-10.1 ,-0.5 ,,,,,,,,,,
2010,5.6 ,8.1 ,3.3 ,3.7 ,0.3 ,7.4 ,14.9 ,3.4 ,,,,,,,,,,
2011,5.8 ,9.0 ,2.8 ,4.5 ,0.3 ,3.7 ,18.6 ,3.8 ,,,,,,,,,,
2012,3.4 ,3.3 ,3.7 ,-1.0 ,7.3 ,4.9 ,14.7 ,-2.4 ,,,,,,,,,,
2013,3.2 ,4.5 ,1.7 ,3.5 ,-3.5 ,6.9 ,11.3 ,3.6 ,,,,,,,,,,
2014,3.6 ,-0.4 ,8.0 ,11.7 ,-0.3 ,14.8 ,-6.7 ,2.2 ,,,,,,,,,,
2015,4.1 ,0.2 ,8.1 ,10.7 ,2.3 ,11.6 ,9.1 ,-0.4 ,,,,,,,,,,
2016,4.9 ,5.8 ,4.2 ,10.5 ,-4.0 ,4.5 ,27.6 ,1.7 ,,,,,,,,,,
2017,2.9 ,0.9 ,4.7 ,4.7 ,6.2 ,3.0 ,7.6 ,4.5 ,,,,,,,,,,
2018,4.7 ,4.2 ,5.2 ,4.2 ,9.3 ,2.5 ,1.6 ,1.4 ,,,,,,,,,,
,Percent Distribution,,,,,,,,,,,,,,,,,
1970,100.0%,86.0%,11.2%,7.6%,1.6%,2.0%,—     ,2.8%,,,,,,,,,,
1980,100.0 ,73.1 ,24.3 ,14.0 ,8.0 ,2.2 ,—     ,2.6 ,,,,,,,,,,
1990,100.0 ,69.0 ,28.4 ,11.1 ,13.1 ,4.2 ,—     ,2.7 ,,,,,,,,,,
2000,100.0 ,60.0 ,38.0 ,14.4 ,16.2 ,7.3 ,0.2 ,2.0 ,,,,,,,,,,
2001,100.0 ,56.0 ,42.0 ,14.2 ,17.8 ,9.8 ,0.2 ,2.1 ,,,,,,,,,,
2002,100.0 ,54.0 ,44.1 ,14.4 ,19.4 ,10.0 ,0.3 ,1.9 ,,,,,,,,,,
2003,100.0 ,52.4 ,45.8 ,14.7 ,21.1 ,9.7 ,0.2 ,1.8 ,,,,,,,,,,
2004,100.0 ,52.5 ,45.8 ,15.5 ,20.5 ,9.5 ,0.2 ,1.8 ,,,,,,,,,,
2005,100.0 ,52.0 ,46.4 ,16.1 ,19.9 ,10.2 ,0.2 ,1.6 ,,,,,,,,,,
2006,100.0 ,50.8 ,47.7 ,16.5 ,20.0 ,10.9 ,0.2 ,1.5 ,,,,,,,,,,
2007,100.0 ,51.1 ,47.4 ,17.4 ,18.9 ,10.8 ,0.2 ,1.5 ,,,,,,,,,,
2008,100.0 ,48.3 ,49.6 ,17.2 ,20.9 ,11.2 ,0.2 ,2.1 ,,,,,,,,,,
2009,100.0 ,47.7 ,50.1 ,18.0 ,19.8 ,12.1 ,0.2 ,2.1 ,,,,,,,,,,
2010,100.0 ,48.9 ,49.0 ,17.7 ,18.8 ,12.3 ,0.2 ,2.1 ,,,,,,,,,,
2011,100.0 ,50.4 ,47.6 ,17.5 ,17.8 ,12.1 ,0.2 ,2.0 ,,,,,,,,,,
2012,100.0 ,50.3 ,47.8 ,16.7 ,18.5 ,12.2 ,0.3 ,1.9 ,,,,,,,,,,
2013,100.0 ,51.0 ,47.1 ,16.8 ,17.3 ,12.7 ,0.3 ,1.9 ,,,,,,,,,,
2014,100.0 ,49.0 ,49.1 ,18.1 ,16.7 ,14.1 ,0.3 ,1.9 ,,,,,,,,,,
2015,100.0 ,47.2 ,51.0 ,19.3 ,16.4 ,15.1 ,0.3 ,1.8 ,,,,,,,,,,
2016,100.0 ,47.6 ,50.6 ,20.3 ,15.0 ,15.0 ,0.3 ,1.8 ,,,,,,,,,,
2017,100.0 ,46.7 ,51.5 ,20.7 ,15.5 ,15.0 ,0.4 ,1.8 ,,,,,,,,,,
2018,100.0 ,46.5 ,51.8 ,20.6 ,16.1 ,14.7 ,0.3 ,1.7 ,,,,,,,,,,
"1 Total expenditures equals the sum of out of pocket, health insurance, and other third party payers. ",,,,,,,,,,,,,,,,,,
"2 Includes Private Health Insurance, Medicare, Medicaid and other health insurance programs. ",,,,,,,,,,,,,,,,,,
"3 Other health insurance programs may include Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,,,,,,,,,,,
"4 Other third party payers may include worksite health care, other private revenues, Indian Health Service, workers’ compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health.",,,,,,,,,,,,,,,,,,
5 Average annual growth from 1960-1970.,,,,,,,,,,,,,,,,,,
"NOTE: Numbers and percents may not add to totals due to rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable; Medicare and Medicaid became effective July 1966.  The Children's Health Insurance Program became effective in 1998.",,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
