"Table 18
Other Non-Durable Medical Products Expenditures; Levels, Percent Change, and Percent Distribution, 
by Source of Funds: Selected Calendar Years 1970-2018",,,,,,,,,,,,,,,,,,,
 , , ,,Health Insurance2,,,,,,,,,,,,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4,,,,,,,,,,,
,Amount in Billions,,,,,,,,,,,,,,,,,,
1970,$3.3 ,$3.3 ,$0.0 ,—     ,$0.0 ,—     ,—     ,—     ,,,,,,,,,,,
1980,9.8 ,9.7 ,0.1 ,—     ,0.1 ,—     ,—     ,—     ,,,,,,,,,,,
1990,22.4 ,21.9 ,0.6 ,—     ,0.6 ,—     ,—     ,—     ,,,,,,,,,,,
2000,31.6 ,30.1 ,1.4 ,—     ,1.4 ,—     ,—     ,—     ,,,,,,,,,,,
2001,32.2 ,30.7 ,1.6 ,—     ,1.6 ,—     ,—     ,0.0 ,,,,,,,,,,,
2002,33.3 ,31.6 ,1.7 ,—     ,1.7 ,—     ,—     ,0.0 ,,,,,,,,,,,
2003,36.2 ,34.3 ,1.9 ,—     ,1.9 ,—     ,—     ,0.0 ,,,,,,,,,,,
2004,38.1 ,36.1 ,2.0 ,—     ,2.0 ,—     ,—     ,0.0 ,,,,,,,,,,,
2005,40.8 ,38.7 ,2.1 ,—     ,2.1 ,—     ,—     ,0.0 ,,,,,,,,,,,
2006,43.7 ,41.4 ,2.3 ,—     ,2.3 ,—     ,—     ,0.0 ,,,,,,,,,,,
2007,47.8 ,45.2 ,2.5 ,—     ,2.5 ,—     ,—     ,0.0 ,,,,,,,,,,,
2008,49.5 ,46.8 ,2.7 ,—     ,2.7 ,—     ,—     ,0.0 ,,,,,,,,,,,
2009,50.4 ,47.6 ,2.8 ,—     ,2.8 ,—     ,—     ,0.0 ,,,,,,,,,,,
2010,51.3 ,48.3 ,3.0 ,—     ,3.0 ,—     ,—     ,0.0 ,,,,,,,,,,,
2011,52.9 ,49.8 ,3.1 ,—     ,3.1 ,—     ,—     ,0.0 ,,,,,,,,,,,
2012,53.9 ,50.6 ,3.3 ,—     ,3.3 ,—     ,—     ,0.0 ,,,,,,,,,,,
2013,56.0 ,53.3 ,2.7 ,—     ,2.7 ,—     ,—     ,0.0 ,,,,,,,,,,,
2014,57.5 ,55.2 ,2.3 ,—     ,2.3 ,—     ,—     ,0.0 ,,,,,,,,,,,
2015,60.2 ,57.9 ,2.3 ,—     ,2.3 ,—     ,—     ,0.0 ,,,,,,,,,,,
2016,62.7 ,60.6 ,2.1 ,—     ,2.1 ,—     ,—     ,0.0 ,,,,,,,,,,,
2017,64.1 ,62.1 ,2.0 ,—     ,2.0 ,—     ,—     ,0.0 ,,,,,,,,,,,
2018,66.4 ,64.2 ,2.1 ,—     ,2.1 ,—     ,—     ,0.0 ,,,,,,,,,,,
,Average Annual Percent Change from Previous Year Shown,,,,,,,,,,,,,,,,,,
19705,7.4%,7.4%,—     ,—     ,—,—     ,—     ,—     ,,,,,,,,,,,
1980,11.4 ,11.3 ,27.6 ,—     ,27.6 ,—     ,—     ,—     ,,,,,,,,,,,
1990,8.6 ,8.5 ,19.0 ,—     ,19.0 ,—     ,—     ,—     ,,,,,,,,,,,
2000,3.5 ,3.2 ,9.9 ,—     ,9.9 ,—     ,—     ,—     ,,,,,,,,,,,
2001,2.2 ,1.8 ,10.3 ,—     ,10.3 ,—     ,—     ,—     ,,,,,,,,,,,
2002,3.2 ,3.1 ,6.2 ,—     ,6.2 ,—     ,—     ,-83.3 ,,,,,,,,,,,
2003,8.7 ,8.6 ,10.9 ,—     ,10.9 ,—     ,—     ,116.8 ,,,,,,,,,,,
2004,5.2 ,5.0 ,8.8 ,—     ,8.8 ,—     ,—     ,55.6 ,,,,,,,,,,,
2005,7.1 ,7.2 ,5.8 ,—     ,5.8 ,—     ,—     ,52.5 ,,,,,,,,,,,
2006,7.2 ,7.2 ,7.3 ,—     ,7.3 ,—     ,—     ,130.8 ,,,,,,,,,,,
2007,9.2 ,9.1 ,10.6 ,—     ,10.6 ,—     ,—     ,7.7 ,,,,,,,,,,,
2008,3.6 ,3.4 ,7.0 ,—     ,7.0 ,—     ,—     ,3.5 ,,,,,,,,,,,
2009,1.8 ,1.8 ,2.9 ,—     ,2.9 ,—     ,—     ,-3.0 ,,,,,,,,,,,
2010,1.8 ,1.5 ,7.7 ,—     ,7.7 ,—     ,—     ,74.2 ,,,,,,,,,,,
2011,3.1 ,3.0 ,3.9 ,—     ,3.9 ,—     ,—     ,338.4 ,,,,,,,,,,,
2012,2.0 ,1.8 ,4.6 ,—     ,4.6 ,—     ,—     ,118.8 ,,,,,,,,,,,
2013,3.9 ,5.2 ,-17.0 ,—     ,-17.0 ,—     ,—     ,-3.3 ,,,,,,,,,,,
2014,2.7 ,3.7 ,-16.0 ,—     ,-16.0 ,—     ,—     ,-87.1 ,,,,,,,,,,,
2015,4.7 ,4.9 ,-0.4 ,—     ,-0.4 ,—     ,—     ,-100.0 ,,,,,,,,,,,
2016,4.1 ,4.5 ,-7.1 ,—     ,-7.1 ,—     ,—     ,—     ,,,,,,,,,,,
2017,2.2 ,2.5 ,-6.5 ,—     ,-6.5 ,—     ,—     ,—     ,,,,,,,,,,,
2018,3.6 ,3.5 ,6.5 ,—     ,6.5 ,—     ,—     ,—     ,,,,,,,,,,,
,Percent Distribution,,,,,,,,,,,,,,,,,,
1970,100.0%,99.7%,0.3%,—     ,0.3%,—     ,—     ,—     ,,,,,,,,,,,
1980,100.0 ,99.0 ,1.0 ,—     ,1.0 ,—     ,—     ,—     ,,,,,,,,,,,
1990,100.0 ,97.5 ,2.5 ,—     ,2.5 ,—     ,—     ,—     ,,,,,,,,,,,
2000,100.0 ,95.5 ,4.5 ,—     ,4.5 ,—     ,—     ,—     ,,,,,,,,,,,
2001,100.0 ,95.1 ,4.9 ,—     ,4.9 ,—     ,—     ,0.0 ,,,,,,,,,,,
2002,100.0 ,95.0 ,5.0 ,—     ,5.0 ,—     ,—     ,0.0 ,,,,,,,,,,,
2003,100.0 ,94.9 ,5.1 ,—     ,5.1 ,—     ,—     ,0.0 ,,,,,,,,,,,
2004,100.0 ,94.7 ,5.3 ,—     ,5.3 ,—     ,—     ,0.0 ,,,,,,,,,,,
2005,100.0 ,94.8 ,5.2 ,—     ,5.2 ,—     ,—     ,0.0 ,,,,,,,,,,,
2006,100.0 ,94.7 ,5.3 ,—     ,5.3 ,—     ,—     ,0.0 ,,,,,,,,,,,
2007,100.0 ,94.7 ,5.3 ,—     ,5.3 ,—     ,—     ,0.0 ,,,,,,,,,,,
2008,100.0 ,94.5 ,5.5 ,—     ,5.5 ,—     ,—     ,0.0 ,,,,,,,,,,,
2009,100.0 ,94.5 ,5.5 ,—     ,5.5 ,—     ,—     ,0.0 ,,,,,,,,,,,
2010,100.0 ,94.1 ,5.9 ,—     ,5.9 ,—     ,—     ,0.0 ,,,,,,,,,,,
2011,100.0 ,94.1 ,5.9 ,—     ,5.9 ,—     ,—     ,0.0 ,,,,,,,,,,,
2012,100.0 ,93.9 ,6.1 ,—     ,6.1 ,—     ,—     ,0.0 ,,,,,,,,,,,
2013,100.0 ,95.1 ,4.9 ,—     ,4.9 ,—     ,—     ,0.0 ,,,,,,,,,,,
2014,100.0 ,96.0 ,4.0 ,—     ,4.0 ,—     ,—     ,0.0 ,,,,,,,,,,,
2015,100.0 ,96.2 ,3.8 ,—     ,3.8 ,—     ,—     ,0.0 ,,,,,,,,,,,
2016,100.0 ,96.6 ,3.4 ,—     ,3.4 ,—     ,—     ,0.0 ,,,,,,,,,,,
2017,100.0 ,96.9 ,3.1 ,—     ,3.1 ,—     ,—     ,0.0 ,,,,,,,,,,,
2018,100.0 ,96.8 ,3.2 ,—     ,3.2 ,—     ,—     ,0.0 ,,,,,,,,,,,
"1 Total expenditures equals the sum of out of pocket, health insurance, and other third party payers. ",,,,,,,,,,,,,,,,,,,
"2 Includes Private Health Insurance, Medicare, Medicaid and other health insurance programs. ",,,,,,,,,,,,,,,,,,,
"3 Other health insurance programs may include Children's Health Insurance Program (Titles XIX and XXI), Department of Defense, and Department of Veterans Affairs.",,,,,,,,,,,,,,,,,,,
"4 Other third party payers may include worksite health care, other private revenues, Indian Health Service, workers’ compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health.",,,,,,,,,,,,,,,,,,,
5 Average annual growth from 1960-1970.,,,,,,,,,,,,,,,,,,,
"NOTE: Numbers and percents may not add to totals due to rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ""—"" Not applicable; Medicare and Medicaid became effective July 1966.  The Children's Health Insurance Program became effective in 1998.",,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
