"Table 5 
National Health Expenditures by Type of Sponsor:
Calendar Years 1987-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Sponsor,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Billions of Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures,$516.5,$579.3,$644.8,$721.4,$788.1,$854.1,$916.6,$967.2,"$1,021.6","$1,074.4","$1,135.2","$1,201.5","$1,277.7","$1,369.2","$1,486.2","$1,628.7","$1,767.6","$1,895.8","$2,023.8","$2,156.2","$2,294.4","$2,397.1","$2,491.8","$2,593.2","$2,682.6","$2,791.1","$2,875.0","$3,025.4","$3,199.6","$3,347.4","$3,487.3","$3,649.4"
"    Business, Households and Other Private",353.8,401.8,444.4,488.1,521.7,553.3,581.7,606.0,640.3,672.2,711.2,771.1,824.6,882.8,931.5," 1,005.1 "," 1,083.7 "," 1,151.5 "," 1,225.3 "," 1,289.5 "," 1,369.0 "," 1,406.0 "," 1,406.9 "," 1,441.2 "," 1,493.5 "," 1,572.2 "," 1,615.3 "," 1,666.1 "," 1,742.6 "," 1,828.0 "," 1,921.0 "," 2,013.1 "
                Private Business1,115.9,132.3,151.7,170.4,183.8,198.6,210.1,220.2,233.6,250.4,258.9,278.8,304.3,335.3,361.0, 387.7 , 418.6 , 442.4 , 469.4 , 482.8 , 505.9 , 511.0 , 512.0 , 516.1 , 540.6 , 564.9 , 573.6 , 599.0 , 622.7 , 652.8 , 684.2 , 726.8 
                Household2,196.8,221.2,240.8,261.1,277.5,288.4,301.3,312.0,328.0,337.7,360.9,391.0,414.1,443.3,467.4, 507.5 , 546.2 , 582.1 , 618.7 , 656.5 , 693.0 , 722.9 , 727.9 , 750.1 , 773.9 , 807.7 , 834.4 , 862.5 , 908.1 , 950.5 , 992.5 ," 1,035.7 "
                Other Private Revenues3,41.1,48.4,51.8,56.5,60.4,66.2,70.3,73.8,78.6,84.1,91.5,101.2,106.2,104.2,103.1, 109.9 , 118.9 , 127.1 , 137.1 , 150.1 , 170.1 , 172.1 , 167.1 , 175.1 , 179.0 , 199.5 , 207.3 , 204.6 , 211.7 , 224.7 , 244.3 , 250.7 
    Government,162.7,177.4,200.4,233.3,266.4,300.8,334.9,361.2,381.3,402.2,424.0,430.4,453.1,486.4,554.7, 623.5 , 683.9 , 744.3 , 798.6 , 866.7 , 925.4 , 991.1 ," 1,084.8 "," 1,151.9 "," 1,189.1 "," 1,218.9 "," 1,259.8 "," 1,359.2 "," 1,457.0 "," 1,519.4 "," 1,566.3 "," 1,636.3 "
