"Table 5-1
Private Business Sponsor Expenditures: Calendar Years 1987-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,
,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Business,$115.9,$132.3,$151.7,$170.4,$183.8,$198.6,$210.1,$220.2,$233.6,$250.4,$258.9,$278.8,$304.3,$335.3,$361.0,$387.7,$418.6,$442.4,$469.4,$482.8,$505.9,$511.0,$512.0,$516.1,$540.6,$564.9,$573.6,$599.0,$622.7,$652.8,$684.2,$726.8,,,,,,,,,,,,,
"     Private Business Contribution to Employer-Sponsored 
        Private Health Insurance Premiums1",78.1,90.8,106.5,121.8,130.4,141.1,149.6,155.4,166.3,180.3,184.7,199.4,220.0,243.8,264.4,287.6,312.5,330.7,352.0,360.3,379.6,385.0,395.0,397.2,414.6,431.4,434.3,452.1,469.8,496.2,523.3,560.7,,,,,,,,,,,,,
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes2,24.5,26.2,28.0,29.3,32.6,34.5,35.9,40.4,43.1,45.6,49.4,53.6,57.4,62.1,63.2,62.9,64.3,68.4,72.3,77.0,81.2,82.2,77.2,78.8,82.6,87.2,89.9,95.0,100.0,102.8,107.5,113.0,,,,,,,,,,,,,
     Workers' Compensation and Temporary Disability Insurance ,11.7,13.5,15.1,17.1,18.5,20.6,22.1,21.6,21.4,21.6,21.7,22.6,23.6,25.9,29.9,33.5,37.9,39.2,40.8,41.0,40.5,39.2,35.2,35.4,38.5,41.2,44.0,46.2,46.8,47.1,46.5,45.9,,,,,,,,,,,,,
     Worksite Health Care,1.7,1.9,2.0,2.2,2.3,2.5,2.6,2.7,2.9,3.0,3.1,3.2,3.3,3.5,3.7,3.8,3.9,4.1,4.3,4.4,4.5,4.5,4.6,4.7,4.9,5.2,5.4,5.7,6.2,6.7,6.9,7.2,,,,,,,,,,,,,
,Annual Percent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Business,,14.1%,14.7%,12.3%,7.8%,8.1%,5.8%,4.8%,6.1%,7.2%,3.4%,7.7%,9.1%,10.2%,7.7%,7.4%,8.0%,5.7%,6.1%,2.9%,4.8%,1.0%,0.2%,0.8%,4.7%,4.5%,1.5%,4.4%,4.0%,4.8%,4.8%,6.2%,,,,,,,,,,,,,
"     Private Business Contribution to Employer-Sponsored 
        Private Health Insurance Premiums1",,16.2 ,17.4 ,14.4 ,7.0 ,8.2 ,6.0 ,3.9 ,7.0 ,8.4 ,2.5 ,8.0 ,10.3 ,10.8 ,8.4 ,8.8 ,8.7 ,5.8 ,6.4 ,2.4 ,5.3 ,1.4 ,2.6 ,0.6 ,4.4 ,4.0 ,0.7 ,4.1 ,3.9 ,5.6 ,5.5 ,7.2 ,,,,,,,,,,,,,
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes2,,6.9 ,7.0 ,4.4 ,11.4 ,5.7 ,4.2 ,12.5 ,6.6 ,5.9 ,8.3 ,8.6 ,7.0 ,8.2 ,1.7 ,-0.5 ,2.3 ,6.3 ,5.8 ,6.5 ,5.4 ,1.3 ,-6.1 ,2.0 ,4.8 ,5.6 ,3.1 ,5.6 ,5.3 ,2.7 ,4.6 ,5.1 ,,,,,,,,,,,,,
