"Table 5-3
Federal Government Sponsor Expenditures: Calendar Years 1987-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,
,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Government,$85.0,$91.4,$104.4,$124.1,$145.0,$170.5,$191.7,$203.1,$215.6,$229.9,$239.5,$235.2,$244.2,$260.8,$306.1,$346.8,$387.7,$424.2,$450.6,$496.9,$528.3,$581.3,$680.4,$731.2,$729.5,$731.3,$751.9,$835.1,$908.1,$951.9,$978.5,"$1,033.8",,,,,,,,,,,
"     Federal Government Contribution to Employer-Sponsored Private Health
        Insurance Premiums",4.9,6.4,8.1,9.9,9.8,10.7,11.5,11.9,11.4,11.3,11.4,11.4,13.2,14.3,15.8,17.7,19.7,21.6,23.1,24.3,24.6,25.1,26.8,28.5,30.8,31.5,32.4,33.2,33.9,36.2,37.5,38.3,,,,,,,,,,,
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,1.8,1.8,2.0,2.1,2.3,2.4,2.3,2.4,2.3,2.4,2.4,2.5,2.5,2.7,2.7,2.9,3.1,3.3,3.3,3.4,3.6,3.8,3.9,4.1,4.1,4.1,4.1,4.1,4.2,4.2,4.3,4.4,,,,,,,,,,,
     Federal General Revenue and Medicare Net Trust Fund Expenditures1,17.4,16.5,21.5,27.7,29.5,39.5,47.8,51.6,57.7,66.8,70.1,58.1,50.7,49.4,68.0,81.6,92.6,107.2,120.2,157.4,170.2,194.8,231.6,246.8,256.7,264.7,270.4,280.8,294.4,304.5,308.5,328.5,,,,,,,,,,,
     Federal Portion of Medicaid Payments,27.9,31.0,35.1,42.6,56.8,68.6,77.0,81.1,85.9,91.1,95.0,98.6,107.2,116.8,132.2,145.3,160.8,172.3,177.5,173.9,185.6,203.2,247.5,266.5,247.3,243.4,256.9,305.7,342.6,358.1,359.3,370.9,,,,,,,,,,,
     Federal Portion of Medicare Buy-in Premiums,0.3,0.4,0.6,0.7,0.9,1.1,1.3,1.7,1.9,2.1,2.2,2.2,2.4,2.5,2.7,3.0,3.5,4.0,4.9,5.7,6.1,6.7,7.7,9.3,8.9,7.8,8.3,8.4,8.5,9.9,11.0,11.4,,,,,,,,,,,
"     Retiree Drug Subsidy Payments to Employer-Sponsored Health
         Insurance Plans",— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,3.8,3.9,3.8,3.9,3.9,3.6,3.0,1.7,1.4,1.2,1.0,0.9,0.8,,,,,,,,,,,
     Other Federal Health Insurance and Programs2,32.7,35.2,37.2,41.3,45.6,48.2,51.8,54.6,56.2,56.2,58.4,62.4,68.2,75.1,84.7,96.3,108.0,115.8,121.4,128.3,134.4,143.9,159.0,172.2,178.2,176.6,178.2,183.9,195.0,204.6,216.3,228.5,,,,,,,,,,,
     Marketplace Tax Credits and Subsidies3,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,17.6,28.3,33.4,40.7,51.1,,,,,,,,,,,
,Annual Percent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Government,,7.6%,14.2%,18.9%,16.8%,17.6%,12.5%,6.0%,6.1%,6.6%,4.2%,-1.8%,3.8%,6.8%,17.4%,13.3%,11.8%,9.4%,6.2%,10.3%,6.3%,10.0%,17.0%,7.5%,-0.2%,0.2%,2.8%,11.1%,8.7%,4.8%,2.8%,5.6%,,,,,,,,,,,
"     Federal Government Contribution to Employer-Sponsored Private Health
        Insurance Premiums",,32.1 ,26.0 ,22.1 ,-0.8 ,9.0 ,7.8 ,3.5 ,-4.4 ,-0.3 ,0.5 ,0.2 ,15.7 ,8.2 ,10.2 ,12.1 ,11.6 ,9.4 ,7.3 ,5.0 ,1.5 ,2.0 ,6.5 ,6.3 ,8.0 ,2.5 ,2.6 ,2.6 ,2.1 ,6.6 ,3.6 ,2.3 ,,,,,,,,,,,
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,,5.1 ,6.1 ,5.4 ,12.3 ,1.8 ,-2.0 ,1.7 ,-0.1 ,1.6 ,1.7 ,1.1 ,3.1 ,5.0 ,2.8 ,6.8 ,6.0 ,5.9 ,2.3 ,2.9 ,3.0 ,5.8 ,3.9 ,5.4 ,0.6 ,-0.2 ,-1.4 ,0.8 ,2.7 ,0.1 ,2.1 ,1.6 ,,,,,,,,,,,
