" Table 5-4
State and Local Government Sponsor Expenditures: Calendar Years 1987-2018 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State and Local Government,$77.7,$86.0,$96.0,$109.2,$121.4,$130.3,$143.2,$158.1,$165.7,$172.3,$184.5,$195.2,$208.9,$225.6,$248.6,$276.8,$296.2,$320.0,$348.0,$369.8,$397.1,$409.8,$404.4,$420.7,$459.5,$487.6,$507.9,$524.2,$548.9,$567.5,$587.8,$602.5
"     State and Local Government Contribution to Employer-Sponsored
         Private Health Insurance Premiums1",14.8,18.0,21.0,24.8,28.4,30.9,33.8,36.0,36.7,39.2,42.3,44.4,48.7,54.3,61.6,71.6,80.3,88.5,96.7,105.6,113.4,115.4,122.6,137.3,141.1,146.0,152.4,162.0,173.6,181.6,181.9,184.8
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,3.2,3.4,3.7,4.2,4.5,4.7,4.9,5.3,5.6,5.9,6.2,6.7,7.1,7.6,8.1,8.6,9.0,9.3,9.8,10.3,10.9,11.6,11.8,11.9,11.9,12.1,12.4,12.8,13.3,13.7,14.1,14.6
     State Portion of Medicaid Payments,22.5,24.1,26.9,31.1,36.4,39.6,45.4,53.4,58.9,61.1,65.9,70.4,76.3,83.5,91.9,102.8,108.2,118.4,131.8,132.7,140.3,141.2,127.2,130.9,159.5,179.5,188.4,192.1,200.1,207.2,220.8,226.5
     State Portion of Medicare Buy-in Premiums,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.2,1.4,1.5,1.6,1.6,1.8,1.8,2.0,2.2,2.2,2.7,3.5,4.0,4.4,4.3,3.5,4.0,5.3,5.4,5.7,5.8,5.9,6.8,7.5,7.7
     Other Programs2,37.0,40.2,44.0,48.6,51.5,54.5,58.1,62.1,63.1,64.7,68.4,72.1,75.1,78.4,84.9,91.5,96.5,101.0,106.2,117.1,128.1,137.3,139.3,136.7,141.7,144.6,149.1,151.5,156.1,158.2,163.4,168.9
,Annual Percent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State and Local Government,,10.7%,11.6%,13.7%,11.2%,7.3%,9.9%,10.4%,4.9%,4.0%,7.1%,5.8%,7.1%,8.0%,10.2%,11.3%,7.0%,8.0%,8.7%,6.3%,7.4%,3.2%,-1.3%,4.0%,9.2%,6.1%,4.2%,3.2%,4.7%,3.4%,3.6%,2.5%
"     State and Local Government Contribution to Employer-Sponsored
         Private Health Insurance Premiums1",,21.4 ,17.0 ,17.8 ,14.6 ,8.6 ,9.5 ,6.6 ,1.9 ,6.7 ,8.0 ,4.8 ,9.7 ,11.6 ,13.4 ,16.2 ,12.1 ,10.2 ,9.3 ,9.2 ,7.3 ,1.7 ,6.3 ,12.0 ,2.8 ,3.5 ,4.3 ,6.3 ,7.2 ,4.6 ,0.2 ,1.6 
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,,8.1 ,7.3 ,14.4 ,5.8 ,4.8 ,4.7 ,8.8 ,5.4 ,5.6 ,5.2 ,6.9 ,6.0 ,7.5 ,7.0 ,5.6 ,4.3 ,4.2 ,4.4 ,5.6 ,6.2 ,5.6 ,2.1 ,0.5 ,0.5 ,1.5 ,2.4 ,3.2 ,3.9 ,3.1 ,3.4 ,2.9 
     State Portion of Medicaid Payments,,7.2 ,11.6 ,15.5 ,17.1 ,8.9 ,14.7 ,17.5 ,10.4 ,3.7 ,7.9 ,6.8 ,8.5 ,9.5 ,10.0 ,11.9 ,5.2 ,9.5 ,11.3 ,0.7 ,5.7 ,0.6 ,-9.9 ,2.9 ,21.8 ,12.6 ,4.9 ,2.0 ,4.2 ,3.6 ,6.5 ,2.6 
     State Portion of Medicare Buy-in Premiums,,26.1 ,41.3 ,14.9 ,42.2 ,13.8 ,26.4 ,25.6 ,17.2 ,7.1 ,8.8 ,2.6 ,6.8 ,1.5 ,10.7 ,11.0 ,2.3 ,21.8 ,29.7 ,14.1 ,8.3 ,-1.1 ,-18.7 ,14.7 ,31.7 ,2.5 ,5.1 ,0.8 ,1.9 ,16.2 ,9.7 ,2.5 
     Other Programs2,,8.7 ,9.4 ,10.5 ,5.9 ,5.7 ,6.8 ,6.9 ,1.5 ,2.5 ,5.8 ,5.4 ,4.2 ,4.3 ,8.4 ,7.8 ,5.5 ,4.7 ,5.1 ,10.3 ,9.4 ,7.2 ,1.5 ,-1.9 ,3.7 ,2.0 ,3.1 ,1.6 ,3.0 ,1.4 ,3.3 ,3.4 
,Percent Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State and Local Government,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
"     State and Local Government Contribution to Employer-Sponsored
         Private Health Insurance Premiums1",19.1 ,20.9 ,21.9 ,22.7 ,23.4 ,23.7 ,23.6 ,22.8 ,22.2 ,22.7 ,22.9 ,22.7 ,23.3 ,24.1 ,24.8 ,25.9 ,27.1 ,27.7 ,27.8 ,28.6 ,28.6 ,28.2 ,30.3 ,32.6 ,30.7 ,29.9 ,30.0 ,30.9 ,31.6 ,32.0 ,31.0 ,30.7 
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,4.1 ,4.0 ,3.8 ,3.9 ,3.7 ,3.6 ,3.4 ,3.4 ,3.4 ,3.4 ,3.4 ,3.4 ,3.4 ,3.4 ,3.3 ,3.1 ,3.0 ,2.9 ,2.8 ,2.8 ,2.8 ,2.8 ,2.9 ,2.8 ,2.6 ,2.5 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 
     State Portion of Medicaid Payments,28.9 ,28.0 ,28.0 ,28.4 ,30.0 ,30.4 ,31.7 ,33.8 ,35.5 ,35.4 ,35.7 ,36.1 ,36.5 ,37.0 ,37.0 ,37.2 ,36.5 ,37.0 ,37.9 ,35.9 ,35.3 ,34.5 ,31.4 ,31.1 ,34.7 ,36.8 ,37.1 ,36.6 ,36.4 ,36.5 ,37.6 ,37.6 
     State Portion of Medicare Buy-in Premiums,0.3 ,0.3 ,0.4 ,0.4 ,0.5 ,0.6 ,0.7 ,0.7 ,0.8 ,0.9 ,0.9 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.9 ,1.0 ,1.1 ,1.1 ,1.1 ,0.9 ,1.0 ,1.2 ,1.1 ,1.1 ,1.1 ,1.1 ,1.2 ,1.3 ,1.3 
     Other Programs2,47.6 ,46.8 ,45.8 ,44.6 ,42.4 ,41.8 ,40.6 ,39.3 ,38.1 ,37.5 ,37.1 ,36.9 ,35.9 ,34.7 ,34.2 ,33.1 ,32.6 ,31.6 ,30.5 ,31.7 ,32.3 ,33.5 ,34.5 ,32.5 ,30.8 ,29.6 ,29.4 ,28.9 ,28.4 ,27.9 ,27.8 ,28.0 
1Excludes Medicare Retiree Drug Subsidy (RDS) payments to state and local government employer plans beginning in 2006 and Early Retirement Reinsurance Program (ERRP) payments for 2010-2011.  Includes payments for the Basic Health Program beginning in 2015.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2Includes maternal and child health, public and general assistance, school health, Children's Health Insurance Program Titles XIX and XXI (CHIP), vocational rehabilitation, other state and local programs, public health activities, and investment (research, structures and equipment).  Also includes Part D state phase-down payments to Medicare beginning in 2006.  Excludes state & local workers' compensation and temporary disability insurance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:  Numbers and percents may not add to totals because of rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare and Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
