"Table 5-5
Medicare Spending by Sponsor: Calendar Years 1987-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 ,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare,$83.1,$89.0,$101.1,$110.2,$120.6,$136.0,$150.0,$167.7,$184.4,$198.7,$210.4,$209.4,$213.2,$224.8,$247.7,$265.4,$282.7,$311.1,$339.8,$403.7,$432.8,$467.0,$498.9,$519.8,$544.8,$568.5,$588.9,$618.5,$648.8,$676.8,$705.1,$750.2
Private Business,24.5,26.2,28.0,29.3,32.6,34.5,35.9,40.4,43.1,45.6,49.4,53.6,57.4,62.1,63.2,62.9,64.3,68.4,72.3,77.0,81.2,82.2,77.2,78.8,82.6,87.2,89.9,95.0,100.0,102.8,107.5,113.0
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes1,24.5,26.2,28.0,29.3,32.6,34.5,35.9,40.4,43.1,45.6,49.4,53.6,57.4,62.1,63.2,62.9,64.3,68.4,72.3,77.0,81.2,82.2,77.2,78.8,82.6,87.2,89.9,95.0,100.0,102.8,107.5,113.0
Households  ,35.7,40.3,45.0,45.9,50.2,53.2,56.8,65.2,72.3,74.5,78.4,84.7,91.3,98.9,101.0,104.2,108.0,116.1,125.7,140.3,149.4,156.4,155.5,160.9,168.0,178.6,189.3,203.1,213.5,224.8,240.7,259.1
     Employee and Self-Employment Payroll Taxes and Voluntary Premiums Paid to Medicare Hospital Insurance Trust Fund 2,29.5,31.5,33.7,35.7,39.8,42.0,43.8,50.6,55.9,59.2,62.9,69.1,75.0,82.5,82.9,84.3,86.3,91.5,96.6,103.7,109.1,112.2,108.2,111.8,117.1,125.5,130.4,140.2,148.7,154.7,162.2,169.0
"     Premiums Paid by Individuals to Medicare Supplementary Medical Insurance
         Trust Fund 3",6.2,8.8,11.3,10.2,10.4,11.2,13.0,14.5,16.4,15.2,15.5,15.5,16.3,16.3,18.1,19.9,21.7,24.7,29.1,36.6,40.3,44.2,47.3,49.0,51.0,53.1,59.0,62.9,64.8,70.1,78.6,90.1
Federal Government            ,19.5,18.8,24.0,30.4,32.7,42.9,51.4,55.6,62.0,71.3,74.7,62.8,55.6,54.5,73.4,87.6,99.2,114.5,128.5,166.5,179.9,205.3,243.2,260.2,269.8,276.7,282.8,293.3,307.2,318.6,323.8,344.2
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,1.8,1.8,2.0,2.1,2.3,2.4,2.3,2.4,2.3,2.4,2.4,2.5,2.5,2.7,2.7,2.9,3.1,3.3,3.3,3.4,3.6,3.8,3.9,4.1,4.1,4.1,4.1,4.1,4.2,4.2,4.3,4.4
     Federal General Revenue and  Medicare Net Trust Fund Expenditures 4,17.4,16.5,21.5,27.7,29.5,39.5,47.8,51.6,57.7,66.8,70.1,58.1,50.7,49.4,68.0,81.6,92.6,107.2,120.2,157.4,170.2,194.8,231.6,246.8,256.7,264.7,270.4,280.8,294.4,304.5,308.5,328.5
     Federal Portion of Medicare Buy-in Premiums,0.3,0.4,0.6,0.7,0.9,1.1,1.3,1.7,1.9,2.1,2.2,2.2,2.4,2.5,2.7,3.0,3.5,4.0,4.9,5.7,6.1,6.7,7.7,9.3,8.9,7.8,8.3,8.4,8.5,9.9,11.0,11.4
State and Local Government,3.4,3.7,4.1,4.7,5.1,5.4,5.8,6.5,7.0,7.4,7.8,8.3,8.8,9.4,10.1,10.8,11.2,12.1,13.3,19.8,22.2,23.0,22.9,19.9,24.4,26.0,26.9,27.2,28.1,30.6,33.0,33.9
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,3.2,3.4,3.7,4.2,4.5,4.7,4.9,5.3,5.6,5.9,6.2,6.7,7.1,7.6,8.1,8.6,9.0,9.3,9.8,10.3,10.9,11.6,11.8,11.9,11.9,12.1,12.4,12.8,13.3,13.7,14.1,14.6
     State Phase Down Payments (Part D),— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,5.5,6.9,7.1,7.6,4.0,7.1,8.4,8.8,8.7,8.9,10.0,11.4,11.7
     State Portion of Medicare Buy-in Premiums,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.2,1.4,1.5,1.6,1.6,1.8,1.8,2.0,2.2,2.2,2.7,3.5,4.0,4.4,4.3,3.5,4.0,5.3,5.4,5.7,5.8,5.9,6.8,7.5,7.7
 ,Annual Percent Change ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare,,7.1%,13.7%,8.9%,9.5%,12.8%,10.3%,11.8%,10.0%,7.8%,5.8%,-0.5%,1.8%,5.5%,10.2%,7.1%,6.5%,10.1%,9.2%,18.8%,7.2%,7.9%,6.8%,4.2%,4.8%,4.3%,3.6%,5.0%,4.9%,4.3%,4.2%,6.4%
Private Business,,6.9 ,7.0 ,4.4 ,11.4 ,5.7 ,4.2 ,12.5 ,6.6 ,5.9 ,8.3 ,8.6 ,7.0 ,8.2 ,1.7 ,-0.5 ,2.3 ,6.3 ,5.8 ,6.5 ,5.4 ,1.3 ,-6.1 ,2.0 ,4.8 ,5.6 ,3.1 ,5.6 ,5.3 ,2.7 ,4.6 ,5.1 
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes1,,6.9 ,7.0 ,4.4 ,11.4 ,5.7 ,4.2 ,12.5 ,6.6 ,5.9 ,8.3 ,8.6 ,7.0 ,8.2 ,1.7 ,-0.5 ,2.3 ,6.3 ,5.8 ,6.5 ,5.4 ,1.3 ,-6.1 ,2.0 ,4.8 ,5.6 ,3.1 ,5.6 ,5.3 ,2.7 ,4.6 ,5.1 
Households  ,,12.9 ,11.8 ,1.9 ,9.3 ,6.0 ,6.8 ,14.7 ,11.0 ,3.0 ,5.4 ,8.0 ,7.9 ,8.2 ,2.2 ,3.1 ,3.7 ,7.5 ,8.2 ,11.7 ,6.5 ,4.7 ,-0.6 ,3.4 ,4.5 ,6.3 ,6.0 ,7.3 ,5.1 ,5.3 ,7.1 ,7.6 
     Employee and Self-Employment Payroll Taxes and Voluntary Premiums Paid to Medicare Hospital Insurance Trust Fund 2,,6.8 ,7.0 ,5.7 ,11.6 ,5.6 ,4.2 ,15.6 ,10.4 ,5.9 ,6.3 ,9.8 ,8.5 ,10.0 ,0.5 ,1.7 ,2.3 ,6.0 ,5.6 ,7.4 ,5.2 ,2.9 ,-3.6 ,3.3 ,4.7 ,7.2 ,3.8 ,7.6 ,6.0 ,4.0 ,4.8 ,4.2 
"     Premiums Paid by Individuals to Medicare Supplementary Medical Insurance
         Trust Fund 3",,42.0 ,28.8 ,-9.6 ,1.4 ,7.8 ,16.5 ,11.8 ,12.8 ,-7.1 ,1.7 ,0.3 ,5.0 ,0.0 ,10.8 ,9.8 ,9.3 ,13.6 ,17.9 ,26.0 ,10.1 ,9.6 ,7.1 ,3.6 ,4.0 ,4.1 ,11.1 ,6.6 ,3.1 ,8.2 ,12.0 ,14.7 
Federal Government            ,,-3.7 ,27.8 ,26.5 ,7.8 ,31.1 ,19.8 ,8.1 ,11.5 ,14.9 ,4.8 ,-15.9 ,-11.4 ,-2.0 ,34.7 ,19.3 ,13.2 ,15.5 ,12.2 ,29.6 ,8.0 ,14.1 ,18.5 ,7.0 ,3.7 ,2.6 ,2.2 ,3.7 ,4.7 ,3.7 ,1.6 ,6.3 
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,,5.1 ,6.1 ,5.4 ,12.3 ,1.8 ,-2.0 ,1.7 ,-0.1 ,1.6 ,1.7 ,1.1 ,3.1 ,5.0 ,2.8 ,6.8 ,6.0 ,5.9 ,2.3 ,2.9 ,3.0 ,5.8 ,3.9 ,5.4 ,0.6 ,-0.2 ,-1.4 ,0.8 ,2.7 ,0.1 ,2.1 ,1.6 
     Federal General Revenue and  Medicare Net Trust Fund Expenditures 4,,-5.1 ,29.9 ,28.8 ,6.7 ,33.9 ,21.0 ,8.0 ,11.9 ,15.7 ,4.9 ,-17.1 ,-12.8 ,-2.5 ,37.6 ,20.1 ,13.5 ,15.8 ,12.1 ,30.9 ,8.1 ,14.5 ,18.9 ,6.6 ,4.0 ,3.1 ,2.1 ,3.8 ,4.9 ,3.4 ,1.3 ,6.5 
     Federal Portion of Medicare Buy-in Premiums,,26.3 ,40.8 ,14.8 ,43.1 ,16.4 ,23.9 ,24.3 ,16.2 ,5.9 ,6.7 ,2.4 ,7.2 ,2.0 ,10.5 ,11.4 ,14.3 ,17.2 ,21.8 ,15.2 ,8.2 ,9.6 ,14.7 ,19.9 ,-3.5 ,-12.3 ,5.9 ,1.1 ,1.9 ,16.4 ,10.3 ,3.5 
State and Local Government,,9.3 ,9.9 ,14.5 ,9.4 ,6.0 ,7.7 ,11.5 ,7.6 ,5.9 ,5.9 ,6.0 ,6.2 ,6.3 ,7.7 ,6.7 ,3.9 ,7.7 ,10.1 ,49.1 ,12.1 ,3.5 ,-0.4 ,-12.9 ,22.2 ,6.7 ,3.5 ,1.2 ,3.1 ,8.9 ,8.2 ,2.7 
     Employer Medicare Hospital Insurance Trust Fund Payroll Taxes,,8.1 ,7.3 ,14.4 ,5.8 ,4.8 ,4.7 ,8.8 ,5.4 ,5.6 ,5.2 ,6.9 ,6.0 ,7.5 ,7.0 ,5.6 ,4.3 ,4.2 ,4.4 ,5.6 ,6.2 ,5.6 ,2.1 ,0.5 ,0.5 ,1.5 ,2.4 ,3.2 ,3.9 ,3.1 ,3.4 ,2.9 
     State Phase Down Payments (Part D),,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,—     ,26.2 ,2.9 ,6.6 ,-46.7 ,76.2 ,18.5 ,4.1 ,-1.2 ,2.7 ,12.8 ,13.6 ,2.5 
     State Portion of Medicare Buy-in Premiums,,26.1 ,41.3 ,14.9 ,42.2 ,13.8 ,26.4 ,25.6 ,17.2 ,7.1 ,8.8 ,2.6 ,6.8 ,1.5 ,10.7 ,11.0 ,2.3 ,21.8 ,29.7 ,14.1 ,8.3 ,-1.1 ,-18.7 ,14.7 ,31.7 ,2.5 ,5.1 ,0.8 ,1.9 ,16.2 ,9.7 ,2.5 
,Percent Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Private Business,29.5 ,29.4 ,27.7 ,26.6 ,27.0 ,25.3 ,23.9 ,24.1 ,23.4 ,23.0 ,23.5 ,25.6 ,26.9 ,27.6 ,25.5 ,23.7 ,22.7 ,22.0 ,21.3 ,19.1 ,18.8 ,17.6 ,15.5 ,15.2 ,15.2 ,15.3 ,15.3 ,15.4 ,15.4 ,15.2 ,15.2 ,15.1 
