"Table 5-6
 Private Health Insurance by Sponsor:  Calendar Years 1987-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Health Insurance ,$149.2,$175.8,$204.8,$233.9,$255.1,$274.7,$295.3,$308.2,$325.3,$343.7,$359.6,$384.7,$417.1,$458.0,$501.9,$561.0,$615.1,$658.2,$701.1,$736.7,$774.7,$800.2,$828.5,$858.5,$890.5,$922.0,$939.1,$994.1,"$1,060.9","$1,119.9","$1,175.0","$1,243.0"
Private Business ,78.1,90.8,106.5,121.8,130.4,141.1,149.6,155.4,166.3,180.3,184.7,199.4,220.0,243.8,264.4,287.6,312.5,330.7,352.0,360.3,379.6,385.0,395.0,397.2,414.6,431.4,434.3,452.1,469.8,496.2,523.3,560.7
"Private Business Contribution to Employer-Sponsored Private 
   Health Insurance Premiums1",78.1,90.8,106.5,121.8,130.4,141.1,149.6,155.4,166.3,180.3,184.7,199.4,220.0,243.8,264.4,287.6,312.5,330.7,352.0,360.3,379.6,385.0,395.0,397.2,414.6,431.4,434.3,452.1,469.8,496.2,523.3,560.7
Households  ,51.4,60.7,69.1,77.4,86.5,92.1,100.4,104.9,110.9,112.9,121.1,129.5,135.2,145.5,160.2,184.0,202.6,217.5,229.3,242.6,253.2,270.9,278.2,289.0,295.3,309.6,317.8,327.7,352.9,368.4,386.5,401.0
"Household Contribution to Employer-Sponsored Private Health
   Insurance Premiums2",29.4,36.4,43.2,48.9,55.6,58.9,63.3,66.3,74.1,77.4,85.4,91.4,94.2,102.2,113.8,130.6,142.5,154.1,165.0,178.3,191.2,209.6,212.0,218.2,221.7,232.8,234.9,230.9,247.0,257.6,275.2,284.6
Household Contribution to Direct Purchase Insurance3,11.5,13.1,14.0,15.7,17.0,18.3,20.1,20.7,20.8,20.7,21.7,22.4,24.1,25.8,27.3,30.5,33.4,35.4,35.8,35.0,34.2,35.1,38.5,42.4,45.3,47.9,52.7,64.5,72.4,73.7,72.0,74.1
Medical Portion of Property and Casualty Insurance4,10.5,11.1,11.9,12.8,13.9,14.9,17.0,17.8,16.1,14.8,14.0,15.7,16.9,17.6,19.1,23.0,26.7,27.9,28.5,29.3,27.8,26.2,27.6,28.3,28.2,28.9,30.3,32.3,33.5,37.1,39.4,42.3
Federal Government            ,4.9,6.4,8.1,9.9,9.8,10.7,11.5,11.9,11.4,11.3,11.4,11.4,13.2,14.3,15.8,17.7,19.7,21.6,23.1,28.1,28.5,28.9,32.7,35.0,39.5,35.1,34.6,52.3,64.7,73.7,83.2,96.5
"Federal  Government Contribution to Employer-Sponsored
   Private Health Insurance Premiums",4.9,6.4,8.1,9.9,9.8,10.7,11.5,11.9,11.4,11.3,11.4,11.4,13.2,14.3,15.8,17.7,19.7,21.6,23.1,24.3,24.6,25.1,26.8,28.5,30.8,31.5,32.4,33.2,33.9,36.2,37.5,38.3
Marketplace Tax Credits and Subsidies5,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,17.6,28.3,33.4,40.7,51.1
Other Federal6,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,3.8,3.9,3.8,6.0,6.6,8.7,3.6,2.2,1.5,2.5,4.1,5.1,7.1
State and Local Government ,14.8,18.0,21.0,24.8,28.4,30.9,33.8,36.0,36.7,39.2,42.3,44.4,48.7,54.3,61.6,71.6,80.3,88.5,96.7,105.6,113.4,115.4,122.6,137.3,141.1,146.0,152.4,162.0,173.6,181.6,181.9,184.8
"State and Local Government Contribution to 
   Employer-Sponsored Private Health Insurance Premiums7",14.8,18.0,21.0,24.8,28.4,30.9,33.8,36.0,36.7,39.2,42.3,44.4,48.7,54.3,61.6,71.6,80.3,88.5,96.7,105.6,113.4,115.4,122.6,137.3,141.1,146.0,152.4,162.0,173.6,181.6,181.9,184.8
,Annual Percent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Health Insurance , ,17.9%,16.5%,14.2%,9.1%,7.7%,7.5%,4.4%,5.6%,5.6%,4.6%,7.0%,8.4%,9.8%,9.6%,11.8%,9.7%,7.0%,6.5%,5.1%,5.2%,3.3%,3.5%,3.6%,3.7%,3.5%,1.9%,5.9%,6.7%,5.6%,4.9%,5.8%
