"Table 21
Expenditures, Enrollment and Per Enrollee Estimates of Health Insurance: United States, Calendar Years 1987-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Expenditures, Amount in Billions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Private Health Insurance,$149.2,$175.8,$204.8,$233.9,$255.1,$274.7,$295.3,$308.2,$325.3,$343.7,$359.6,$384.7,$417.1,$458.0,$501.9,$561.0,$615.1,$658.2,$701.1,$736.7,$774.7,$800.2,$828.5,$858.5,$890.5,$922.0,$939.1,$994.1,"$1,060.9","$1,119.9","$1,175.0","$1,243.0"
   Employer Sponsored Private Health Insurance  Expenditures,127.2,151.6,178.8,205.4,224.2,241.5,258.2,269.7,288.5,308.2,323.9,346.7,376.1,414.6,455.5,507.5,555.0,594.9,636.8,672.4,712.8,738.9,762.3,787.7,816.9,845.2,856.2,879.8,925.1,972.2,1018.7,1069.2
   Direct Purchase,11.5,13.1,14.0,15.7,17.0,18.3,20.1,20.7,20.8,20.7,21.7,22.4,24.1,25.8,27.3,30.5,33.4,35.4,35.8,35.0,34.2,35.1,38.5,42.4,45.3,47.9,52.7,82.1,102.3,110.6,116.9,131.5
      Marketplace,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,23.8,39.9,47.2,55.1,70.5
      Medigap,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,16.2,17.7,18.8,19.6,20.5,20.5,19.9,20.6,21.4,23.1,24.3,24.8,26.2,27.4,29.8,30.4,31.8,32.4
     Other direct purchase,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,11.1,12.8,14.6,15.8,15.3,14.5,14.3,14.6,17.2,19.3,21.1,23.1,26.4,30.9,32.7,33.1,30.0,28.6
Medicare,83.1,89.0,101.1,110.2,120.6,136.0,150.0,167.7,184.4,198.7,210.4,209.4,213.2,224.8,247.7,265.4,282.7,311.1,339.8,403.7,432.8,467.0,498.9,519.8,544.8,568.5,588.9,618.5,648.8,676.8,705.1,750.2
Medicaid,50.3,55.1,62.0,73.7,93.2,108.2,122.4,134.4,144.9,152.2,160.8,169.0,183.5,200.4,224.1,248.1,269.0,290.7,309.4,306.7,325.9,344.4,374.7,397.4,406.7,422.9,445.2,497.8,542.6,565.4,580.1,597.4
CHIP,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,1.7,3.0,4.2,5.5,6.3,7.2,7.6,8.4,9.1,10.2,11.1,11.5,12.0,12.6,13.5,13.2,14.7,16.8,18.1,18.6
Enrollment, Amount in Millions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Private Health Insurance,179.1,179.1,181.6,180.4,179.8,179.0,179.9,182.2,185.1,188.2,189.6,192.4,194.6,198.9,199.1,199.7,197.7,196.7,197.3,198.3,198.5,196.9,191.4,188.5,188.0,191.1,191.0,194.7,200.3,201.8,202.1,200.5
   Employer Sponsored Private Health Insurance  Expenditures,149.0,155.1,158.2,158.1,158.6,154.5,156.1,158.7,163.0,165.4,168.1,171.9,178.2,182.0,180.2,180.1,177.7,177.9,178.2,178.8,179.3,177.3,170.8,167.4,167.3,169.5,169.2,169.8,172.2,173.1,175.6,175.2
   Direct Purchase,24.4,24.5,24.5,24.2,24.3,24.8,24.5,24.8,23.2,22.8,21.4,20.1,19.2,19.1,21.0,21.8,22.0,20.5,21.0,21.2,20.4,20.9,22.1,22.0,21.6,22.5,23.1,26.2,29.6,30.1,28.0,26.7
      Marketplace,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,5.5,9.0,10.0,9.8,9.9
      Medigap,10.7,10.9,10.7,10.8,10.6,11.2,11.3,12.6,10.9,10.3,9.6,9.2,9.1,8.7,9.8,10.3,10.1,10.0,9.9,9.8,9.2,9.1,9.1,9.3,9.6,9.8,10.3,10.6,11.6,12.1,11.9,11.8
     Other direct purchase,13.7,13.6,13.8,13.5,13.7,13.5,13.2,12.3,12.3,12.5,11.9,10.9,10.1,10.3,11.2,11.5,11.8,10.6,11.1,11.4,11.2,11.7,13.0,12.7,12.1,12.7,12.8,10.1,9.0,8.0,6.4,5.0
Medicare,31.7,32.3,32.9,33.5,34.2,34.9,35.6,36.2,36.8,37.3,37.6,38.0,38.3,38.8,39.1,39.6,40.2,40.8,41.5,42.4,43.3,44.4,45.5,46.6,47.7,49.7,51.3,52.8,54.3,55.8,57.2,58.7
Medicaid,20.0,20.0,20.8,22.8,25.9,28.5,30.5,31.7,32.3,32.2,31.8,31.4,32.2,34.1,36.8,40.4,43.0,44.5,45.8,45.6,45.6,47.2,50.9,54.0,56.2,58.1,59.1,65.6,69.3,71.1,72.1,72.8
CHIP,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,1.7,2.3,3.2,3.9,4.2,4.3,4.4,4.6,4.9,5.0,5.3,5.5,5.6,5.8,6.0,5.9,6.0,6.5,6.9,7.1
Per Enrollee Estimates of Health Insurance, Amount in Dollars ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Private Health Insurance,$833,$982,"$1,127","$1,296","$1,419","$1,535","$1,642","$1,692","$1,758","$1,826","$1,896","$2,000","$2,143","$2,302","$2,521","$2,809","$3,112","$3,346","$3,553","$3,715","$3,903","$4,063","$4,330","$4,553","$4,737","$4,825","$4,916","$5,106","$5,296","$5,550","$5,813","$6,199"
   Employer Sponsored Private Health Insurance  Expenditures, 854 , 977 ," 1,131 "," 1,299 "," 1,414 "," 1,564 "," 1,654 "," 1,700 "," 1,770 "," 1,863 "," 1,927 "," 2,016 "," 2,111 "," 2,278 "," 2,527 "," 2,818 "," 3,123 "," 3,344 "," 3,573 "," 3,761 "," 3,975 "," 4,168 "," 4,464 "," 4,706 "," 4,883 "," 4,985 "," 5,061 "," 5,182 "," 5,372 "," 5,617 "," 5,802 "," 6,103 "
   Direct Purchase, 471 , 536 , 572 , 646 , 701 , 739 , 822 , 833 , 894 , 909 ," 1,011 "," 1,113 "," 1,259 "," 1,351 "," 1,299 "," 1,396 "," 1,520 "," 1,725 "," 1,701 "," 1,650 "," 1,678 "," 1,684 "," 1,748 "," 1,925 "," 2,094 "," 2,129 "," 2,284 "," 3,138 "," 3,455 "," 3,671 "," 4,177 "," 4,920 "
      Marketplace,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ," 4,371 "," 4,425 "," 4,704 "," 5,648 "," 7,129 "
      Medigap,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ," 1,650 "," 1,714 "," 1,852 "," 1,966 "," 2,074 "," 2,094 "," 2,156 "," 2,248 "," 2,345 "," 2,474 "," 2,535 "," 2,526 "," 2,559 "," 2,588 "," 2,558 "," 2,515 "," 2,678 "," 2,740 "
     Other direct purchase,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— , 982 ," 1,103 "," 1,224 "," 1,481 "," 1,354 "," 1,254 "," 1,265 "," 1,229 "," 1,316 "," 1,513 "," 1,745 "," 1,825 "," 2,064 "," 3,049 "," 3,644 "," 4,117 "," 4,718 "," 5,700 "
Medicare," 2,618 "," 2,755 "," 3,075 "," 3,289 "," 3,532 "," 3,902 "," 4,218 "," 4,636 "," 5,016 "," 5,333 "," 5,590 "," 5,511 "," 5,567 "," 5,801 "," 6,328 "," 6,704 "," 7,038 "," 7,628 "," 8,179 "," 9,530 "," 10,003 "," 10,520 "," 10,971 "," 11,157 "," 11,410 "," 11,441 "," 11,485 "," 11,704 "," 11,951 "," 12,137 "," 12,334 "," 12,784 "
Medicaid," 2,523 "," 2,761 "," 2,984 "," 3,233 "," 3,593 "," 3,801 "," 4,009 "," 4,245 "," 4,480 "," 4,728 "," 5,050 "," 5,384 "," 5,706 "," 5,868 "," 6,095 "," 6,144 "," 6,262 "," 6,529 "," 6,752 "," 6,732 "," 7,145 "," 7,291 "," 7,360 "," 7,365 "," 7,233 "," 7,278 "," 7,536 "," 7,592 "," 7,835 "," 7,948 "," 8,041 "," 8,201 "
CHIP,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ,— ," 1,024 "," 1,321 "," 1,307 "," 1,421 "," 1,501 "," 1,658 "," 1,722 "," 1,831 "," 1,871 "," 2,023 "," 2,086 "," 2,117 "," 2,131 "," 2,186 "," 2,259 "," 2,239 "," 2,448 "," 2,581 "," 2,640 "," 2,636 "
Growth rates:,Percent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Private Health Insurance,,17.9%,16.5%,14.2%,9.1%,7.7%,7.5%,4.4%,5.6%,5.6%,4.6%,7.0%,8.4%,9.8%,9.6%,11.8%,9.7%,7.0%,6.5%,5.1%,5.2%,3.3%,3.5%,3.6%,3.7%,3.5%,1.9%,5.9%,6.7%,5.6%,4.9%,5.8%
   Employer Sponsored Private Health Insurance  Expenditures,,19.2 ,18.0 ,14.9 ,9.2 ,7.7 ,6.9 ,4.5 ,7.0 ,6.8 ,5.1 ,7.0 ,8.5 ,10.3 ,9.9 ,11.4 ,9.4 ,7.2 ,7.0 ,5.6 ,6.0 ,3.7 ,3.2 ,3.3 ,3.7 ,3.5 ,1.3 ,2.8 ,5.2 ,5.1 ,4.8 ,5.0 
   Direct Purchase,,13.9 ,6.8 ,11.7 ,8.6 ,7.6 ,9.9 ,2.8 ,0.4 ,-0.3 ,4.7 ,3.4 ,7.8 ,6.8 ,5.9 ,11.8 ,9.6 ,6.0 ,1.0 ,-2.2 ,-2.3 ,2.7 ,9.7 ,10.0 ,7.0 ,5.7 ,9.9 ,55.9 ,24.6 ,8.1 ,5.7 ,12.5 
      Marketplace,,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,67.2 ,18.4 ,16.8 ,28.0 
      Medigap,,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,—   ,9.3 ,6.4 ,4.5 ,4.5 ,-0.1 ,-3.0 ,3.3 ,3.9 ,8.3 ,4.8 ,2.2 ,5.9 ,4.4 ,8.7 ,2.0 ,4.6 ,2.0 
