" Table 22 
Health Insurance Enrollment and Uninsured; Number of Enrollees and Annual Percent Change,
Calendar Years 1987- 2018 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Private Health Insurance (PHI),,,,,, , , , , ,,,,,,,,,,,,,,,,,,,,
 , ,Direct Purchase,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,
Year,Total,Total Direct Purchase,Other Direct Purchase1,Marketplace,Medigap,Employer Sponsored Insurance,Medicare,Medicaid,Children's Health Insurance Program,Other Public2,Uninsured,,,,,,,,,,,,,,,,,,,,
,Enrollees in Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,179.1,24.4,13.7,—,10.7,149.0,31.7,20.0,—,10.4,27.3,,,,,,,,,,,,,,,,,,,,
1988,179.1,24.5,13.6,—,10.9,155.1,32.3,20.0,—,9.9,28.7,,,,,,,,,,,,,,,,,,,,
1989,181.6,24.5,13.8,—,10.7,158.2,32.9,20.8,—,9.8,30.5,,,,,,,,,,,,,,,,,,,,
1990,180.4,24.2,13.5,—,10.8,158.1,33.5,22.8,—,9.7,31.2,,,,,,,,,,,,,,,,,,,,
1991,179.8,24.3,13.7,—,10.6,158.6,34.2,25.9,—,9.7,32.2,,,,,,,,,,,,,,,,,,,,
1992,179.0,24.8,13.5,—,11.2,154.5,34.9,28.5,—,9.4,34.1,,,,,,,,,,,,,,,,,,,,
1993,179.9,24.5,13.2,—,11.3,156.1,35.6,30.5,—,9.5,35.0,,,,,,,,,,,,,,,,,,,,
1994,182.2,24.8,12.3,—,12.6,158.7,36.2,31.7,—,10.2,34.4,,,,,,,,,,,,,,,,,,,,
1995,185.1,23.2,12.3,—,10.9,163.0,36.8,32.3,—,9.0,34.9,,,,,,,,,,,,,,,,,,,,
1996,188.2,22.8,12.5,—,10.3,165.4,37.3,32.2,—,8.5,35.4,,,,,,,,,,,,,,,,,,,,
1997,189.6,21.4,11.9,—,9.6,168.1,37.6,31.8,—,8.4,36.7,,,,,,,,,,,,,,,,,,,,
1998,192.4,20.1,10.9,—,9.2,171.9,38.0,31.4,—,8.4,37.1,,,,,,,,,,,,,,,,,,,,
1999,194.6,19.2,10.1,—,9.1,178.2,38.3,32.2,1.7,8.1,35.2,,,,,,,,,,,,,,,,,,,,
2000,198.9,19.1,10.3,—,8.7,182.0,38.8,34.1,2.3,8.7,34.2,,,,,,,,,,,,,,,,,,,,
2001,199.1,21.0,11.2,—,9.8,180.2,39.1,36.8,3.2,9.3,35.7,,,,,,,,,,,,,,,,,,,,
2002,199.7,21.8,11.5,—,10.3,180.1,39.6,40.4,3.9,9.5,37.1,,,,,,,,,,,,,,,,,,,,
2003,197.7,22.0,11.8,—,10.1,177.7,40.2,43.0,4.2,9.7,39.0,,,,,,,,,,,,,,,,,,,,
2004,196.7,20.5,10.6,—,10.0,177.9,40.8,44.5,4.3,10.3,39.0,,,,,,,,,,,,,,,,,,,,
2005,197.3,21.0,11.1,—,9.9,178.2,41.5,45.8,4.4,10.8,40.3,,,,,,,,,,,,,,,,,,,,
2006,198.3,21.2,11.4,—,9.8,178.8,42.4,45.6,4.6,10.2,42.4,,,,,,,,,,,,,,,,,,,,
2007,198.5,20.4,11.2,—,9.2,179.3,43.3,45.6,4.9,10.7,41.1,,,,,,,,,,,,,,,,,,,,
2008,196.9,20.9,11.7,—,9.1,177.3,44.4,47.2,5.0,11.3,42.2,,,,,,,,,,,,,,,,,,,,
2009,191.4,22.1,13.0,—,9.1,170.8,45.5,50.9,5.3,12.1,45.9,,,,,,,,,,,,,,,,,,,,
2010,188.5,22.0,12.7,—,9.3,167.4,46.6,54.0,5.5,12.5,48.1,,,,,,,,,,,,,,,,,,,,
2011,188.0,21.6,12.1,—,9.6,167.3,47.7,56.2,5.6,13.2,45.6,,,,,,,,,,,,,,,,,,,,
2012,191.1,22.5,12.7,—,9.8,169.5,49.7,58.1,5.8,13.2,44.7,,,,,,,,,,,,,,,,,,,,
2013,191.0,23.1,12.8,—,10.3,169.2,51.3,59.1,6.0,13.2,44.1,,,,,,,,,,,,,,,,,,,,
2014,194.7,26.2,10.1,5.5,10.6,169.8,52.8,65.6,5.9,13.3,35.5,,,,,,,,,,,,,,,,,,,,
2015,200.3,29.6,9.0,9.0,11.6,172.2,54.3,69.3,6.0,13.9,29.5,,,,,,,,,,,,,,,,,,,,
2016,201.8,30.1,8.0,10.0,12.1,173.1,55.8,71.1,6.5,13.7,28.7,,,,,,,,,,,,,,,,,,,,
2017,202.1,28.0,6.4,9.8,11.9,175.6,57.2,72.1,6.9,13.8,29.7,,,,,,,,,,,,,,,,,,,,
2018,200.5,26.7,5.0,9.9,11.8,175.2,58.7,72.8,7.1,13.9,30.7,,,,,,,,,,,,,,,,,,,,
