"Table 24 
Employer-Sponsored Private Health Insurance: Calendar Years 1987-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,                         Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Employer-Sponsored Private Health
    Insurance",$127.2,$151.6,$178.8,$205.4,$224.2,$241.5,$258.2,$269.7,$288.5,$308.2,$323.9,$346.7,$376.1,$414.6,$455.5,$507.5,$555.0,$594.9,$636.8,$672.4,$712.8,$738.9,$762.3,$787.7,$816.9,$845.2,$856.2,$879.8,$925.1,$972.2,"$1,018.7","$1,069.2"
"  Employer Contribution to Private
     Health Insurance Premiums ",97.8,115.2,135.7,156.5,168.6,182.6,194.9,203.4,214.4,230.8,238.5,255.2,281.9,312.5,341.8,376.9,412.5,440.7,471.8,494.1,521.5,529.3,548.2,567.9,595.1,612.5,621.3,648.8,678.2,714.6,743.6,784.6
     Private Employers,78.1,90.8,106.5,121.8,130.4,141.1,149.6,155.4,166.3,180.3,184.7,199.4,220.0,243.8,264.4,287.6,312.5,330.7,352.0,362.8,382.1,387.5,397.5,400.5,419.4,433.9,436.0,453.2,470.6,496.9,523.9,561.3
     Federal Employers,4.9,6.4,8.1,9.9,9.8,10.7,11.5,11.9,11.4,11.3,11.4,11.4,13.2,14.3,15.8,17.7,19.7,21.6,23.1,24.3,24.6,25.1,26.8,28.5,30.8,31.5,32.4,33.2,33.9,36.2,37.5,38.3
     State and Local Employers,14.8,18.0,21.0,24.8,28.4,30.9,33.8,36.0,36.7,39.2,42.3,44.4,48.7,54.3,61.6,71.6,80.3,88.5,96.7,107.0,114.8,116.7,124.0,138.9,144.9,147.1,153.0,162.5,173.7,181.5,182.1,185.0
"  Employee Contribution to Private
    Health Insurance Premiums ",29.4,36.4,43.2,48.9,55.6,58.9,63.3,66.3,74.1,77.4,85.4,91.4,94.2,102.2,113.8,130.6,142.5,154.1,165.0,178.3,191.2,209.6,214.1,219.9,221.9,232.8,234.9,230.9,247.0,257.6,275.2,284.6
     Private Employees,23.1,28.6,33.9,39.4,44.5,47.2,50.8,53.3,59.8,62.7,69.3,73.6,76.1,82.7,91.9,105.8,115.7,125.4,132.9,144.3,155.3,171.7,173.9,174.1,172.7,180.5,181.7,176.4,186.3,196.2,208.2,216.2
     Federal Employees,2.4,2.9,3.3,2.6,3.3,3.5,3.8,3.9,3.9,4.0,4.1,5.2,4.9,5.3,5.9,6.6,7.3,8.0,8.4,9.2,9.3,9.8,10.7,11.7,12.8,13.0,13.2,13.5,14.0,15.0,15.7,16.3
     State and Local Employees,3.9,5.0,6.0,6.9,7.8,8.1,8.7,9.1,10.4,10.7,12.0,12.6,13.1,14.2,16.0,18.2,19.4,20.7,23.7,24.8,26.6,28.1,29.5,34.0,36.4,39.3,39.9,41.0,46.6,46.5,51.2,52.0
,Annual Percent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Employer-Sponsored Private Health
    Insurance", ,19.2%,18.0%,14.9%,9.2%,7.7%,6.9%,4.5%,7.0%,6.8%,5.1%,7.0%,8.5%,10.3%,9.9%,11.4%,9.4%,7.2%,7.0%,5.6%,6.0%,3.7%,3.2%,3.3%,3.7%,3.5%,1.3%,2.8%,5.2%,5.1%,4.8%,5.0%
"  Employer Contribution to Private
     Health Insurance Premiums ",,17.8 ,17.8 ,15.4 ,7.7 ,8.3 ,6.7 ,4.4 ,5.4 ,7.6 ,3.3 ,7.0 ,10.4 ,10.9 ,9.4 ,10.3 ,9.5 ,6.8 ,7.0 ,4.7 ,5.6 ,1.5 ,3.6 ,3.6 ,4.8 ,2.9 ,1.4 ,4.4 ,4.5 ,5.4 ,4.1 ,5.5 
     Private Employers,,16.2 ,17.4 ,14.4 ,7.0 ,8.2 ,6.0 ,3.9 ,7.0 ,8.4 ,2.5 ,8.0 ,10.3 ,10.8 ,8.4 ,8.8 ,8.7 ,5.8 ,6.4 ,3.1 ,5.3 ,1.4 ,2.6 ,0.7 ,4.7 ,3.4 ,0.5 ,3.9 ,3.8 ,5.6 ,5.4 ,7.1 
     Federal Employers,,32.1 ,26.0 ,22.1 ,-0.8 ,9.0 ,7.8 ,3.5 ,-4.4 ,-0.3 ,0.5 ,0.2 ,15.7 ,8.2 ,10.2 ,12.1 ,11.6 ,9.4 ,7.3 ,5.0 ,1.5 ,2.0 ,6.5 ,6.3 ,8.0 ,2.5 ,2.6 ,2.6 ,2.1 ,6.6 ,3.6 ,2.3 
     State and Local Employers,,21.4 ,17.0 ,17.8 ,14.6 ,8.6 ,9.5 ,6.6 ,1.9 ,6.7 ,8.0 ,4.8 ,9.7 ,11.6 ,13.4 ,16.2 ,12.1 ,10.2 ,9.3 ,10.6 ,7.3 ,1.7 ,6.2 ,12.1 ,4.3 ,1.5 ,4.0 ,6.2 ,6.9 ,4.5 ,0.3 ,1.6 
"  Employee Contribution to Private
    Health Insurance Premiums ",,23.8 ,18.6 ,13.3 ,13.8 ,5.9 ,7.5 ,4.8 ,11.7 ,4.5 ,10.3 ,7.0 ,3.0 ,8.5 ,11.3 ,14.8 ,9.1 ,8.2 ,7.0 ,8.1 ,7.3 ,9.6 ,2.2 ,2.7 ,0.9 ,4.9 ,0.9 ,-1.7 ,6.9 ,4.3 ,6.8 ,3.4 
     Private Employees,,23.8 ,18.6 ,16.3 ,13.0 ,6.1 ,7.6 ,4.9 ,12.2 ,4.8 ,10.5 ,6.3 ,3.4 ,8.6 ,11.1 ,15.2 ,9.3 ,8.4 ,5.9 ,8.6 ,7.6 ,10.6 ,1.3 ,0.1 ,-0.8 ,4.5 ,0.7 ,-2.9 ,5.6 ,5.3 ,6.1 ,3.9 
     Federal Employees,,19.7 ,15.2 ,-21.4 ,27.2 ,6.7 ,7.4 ,3.3 ,-0.9 ,3.9 ,1.7 ,25.5 ,-4.4 ,7.2 ,12.3 ,11.4 ,11.2 ,8.3 ,5.6 ,9.0 ,2.1 ,4.4 ,9.3 ,10.2 ,8.8 ,1.5 ,2.1 ,2.3 ,3.4 ,6.9 ,5.1 ,3.7 
     State and Local Employees,,26.4 ,20.6 ,15.3 ,12.8 ,4.6 ,7.2 ,4.6 ,14.0 ,2.7 ,12.5 ,5.2 ,4.1 ,8.3 ,12.3 ,13.8 ,6.7 ,6.8 ,14.2 ,4.9 ,7.3 ,5.6 ,4.7 ,15.6 ,6.9 ,8.0 ,1.6 ,2.6 ,13.7 ,-0.3 ,10.3 ,1.6 
,Percent Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Employer-Sponsored Private Health
    Insurance",100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
"  Employer Contribution to Private
     Health Insurance Premiums ",76.9 ,76.0 ,75.9 ,76.2 ,75.2 ,75.6 ,75.5 ,75.4 ,74.3 ,74.9 ,73.6 ,73.6 ,75.0 ,75.4 ,75.0 ,74.3 ,74.3 ,74.1 ,74.1 ,73.5 ,73.2 ,71.6 ,71.9 ,72.1 ,72.8 ,72.5 ,72.6 ,73.8 ,73.3 ,73.5 ,73.0 ,73.4 
     Private Employers,61.4 ,59.9 ,59.6 ,59.3 ,58.1 ,58.4 ,57.9 ,57.6 ,57.6 ,58.5 ,57.0 ,57.5 ,58.5 ,58.8 ,58.0 ,56.7 ,56.3 ,55.6 ,55.3 ,54.0 ,53.6 ,52.4 ,52.1 ,50.8 ,51.3 ,51.3 ,50.9 ,51.5 ,50.9 ,51.1 ,51.4 ,52.5 
     Federal Employers,3.8 ,4.2 ,4.5 ,4.8 ,4.4 ,4.4 ,4.5 ,4.4 ,3.9 ,3.7 ,3.5 ,3.3 ,3.5 ,3.5 ,3.5 ,3.5 ,3.6 ,3.6 ,3.6 ,3.6 ,3.5 ,3.4 ,3.5 ,3.6 ,3.8 ,3.7 ,3.8 ,3.8 ,3.7 ,3.7 ,3.7 ,3.6 
     State and Local Employers,11.6 ,11.9 ,11.8 ,12.1 ,12.7 ,12.8 ,13.1 ,13.4 ,12.7 ,12.7 ,13.1 ,12.8 ,12.9 ,13.1 ,13.5 ,14.1 ,14.5 ,14.9 ,15.2 ,15.9 ,16.1 ,15.8 ,16.3 ,17.6 ,17.7 ,17.4 ,17.9 ,18.5 ,18.8 ,18.7 ,17.9 ,17.3 
"  Employee Contribution to Private
    Health Insurance Premiums ",23.1 ,24.0 ,24.1 ,23.8 ,24.8 ,24.4 ,24.5 ,24.6 ,25.7 ,25.1 ,26.4 ,26.4 ,25.0 ,24.6 ,25.0 ,25.7 ,25.7 ,25.9 ,25.9 ,26.5 ,26.8 ,28.4 ,28.1 ,27.9 ,27.2 ,27.5 ,27.4 ,26.2 ,26.7 ,26.5 ,27.0 ,26.6 
     Private Employees,18.1 ,18.8 ,18.9 ,19.2 ,19.9 ,19.6 ,19.7 ,19.8 ,20.7 ,20.3 ,21.4 ,21.2 ,20.2 ,19.9 ,20.2 ,20.9 ,20.8 ,21.1 ,20.9 ,21.5 ,21.8 ,23.2 ,22.8 ,22.1 ,21.1 ,21.4 ,21.2 ,20.0 ,20.1 ,20.2 ,20.4 ,20.2 
     Federal Employees,1.9 ,1.9 ,1.9 ,1.3 ,1.5 ,1.5 ,1.5 ,1.5 ,1.3 ,1.3 ,1.3 ,1.5 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.4 ,1.3 ,1.3 ,1.4 ,1.5 ,1.6 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 
     State and Local Employees,3.1 ,3.3 ,3.3 ,3.4 ,3.5 ,3.4 ,3.4 ,3.4 ,3.6 ,3.5 ,3.7 ,3.6 ,3.5 ,3.4 ,3.5 ,3.6 ,3.5 ,3.5 ,3.7 ,3.7 ,3.7 ,3.8 ,3.9 ,4.3 ,4.5 ,4.7 ,4.7 ,4.7 ,5.0 ,4.8 ,5.0 ,4.9 
,Employer Share of Employer-Sponsored Private Health Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employer Share of Employer- Sponsored Private Health Insurance,76.9%,76.0%,75.9%,76.2%,75.2%,75.6%,75.5%,75.4%,74.3%,74.9%,73.6%,73.6%,75.0%,75.4%,75.0%,74.3%,74.3%,74.1%,74.1%,73.5%,73.2%,71.6%,71.9%,72.1%,72.8%,72.5%,72.6%,73.8%,73.3%,73.5%,73.0%,73.4%
     Private1,77.2 ,76.1 ,75.9 ,75.6 ,74.5 ,74.9 ,74.6 ,74.5 ,73.5 ,74.2 ,72.7 ,73.0 ,74.3 ,74.7 ,74.2 ,73.1 ,73.0 ,72.5 ,72.6 ,71.5 ,71.1 ,69.3 ,69.6 ,69.7 ,70.8 ,70.6 ,70.6 ,72.0 ,71.6 ,71.7 ,71.6 ,72.2 
     Federal1,66.9 ,69.0 ,70.9 ,79.1 ,74.7 ,75.1 ,75.2 ,75.2 ,74.5 ,73.7 ,73.5 ,68.9 ,72.9 ,73.0 ,72.7 ,72.8 ,72.9 ,73.1 ,73.4 ,72.6 ,72.5 ,72.0 ,71.5 ,70.8 ,70.6 ,70.9 ,71.0 ,71.0 ,70.8 ,70.7 ,70.4 ,70.1 
     State and Local1,79.1 ,78.4 ,77.9 ,78.2 ,78.5 ,79.1 ,79.5 ,79.8 ,77.9 ,78.6 ,77.9 ,77.8 ,78.7 ,79.2 ,79.4 ,79.7 ,80.5 ,81.0 ,80.3 ,81.2 ,81.2 ,80.6 ,80.8 ,80.3 ,79.9 ,78.9 ,79.3 ,79.9 ,78.8 ,79.6 ,78.0 ,78.0 
1 The employer shares of employer-sponsored private health insurance are calculated as employer contributions divided by total premiums (employer plus employee).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES:  Numbers and percents may not add to totals because of rounding. Dollar amounts shown are in current dollars. Percent changes and percent distributions are calculated from unrounded data.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
