"Table 9
Physician Services Expenditures; Levels, Percent Change and Percent Distribution, 
by Source of Funds: Calendar Years 1998-2018",,,,,,,,,,,
 , , ,,,Health Insurance2,,,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4,,,
,Amount in Billions,,,,,,,,,,
1998,$203.8 ,$24.5 ,$161.0 ,$103.1 ,$46.3 ,$9.6 ,$2.0 ,$18.3 ,,,
1999,215.6 ,25.4 ,171.1 ,108.8 ,49.6 ,9.8 ,2.8 ,19.1 ,,,
2000,233.5 ,27.7 ,186.7 ,118.2 ,54.2 ,10.7 ,3.6 ,19.2 ,,,
2001,256.0 ,29.1 ,206.0 ,130.7 ,58.8 ,12.3 ,4.2 ,21.0 ,,,
2002,277.7 ,30.9 ,225.0 ,143.9 ,62.1 ,13.8 ,5.2 ,21.8 ,,,
2003,300.7 ,32.7 ,243.9 ,156.1 ,67.4 ,14.3 ,6.1 ,24.1 ,,,
2004,321.8 ,34.1 ,260.5 ,163.8 ,74.2 ,16.0 ,6.4 ,27.2 ,,,
2005,341.1 ,36.5 ,276.4 ,174.0 ,78.9 ,17.0 ,6.4 ,28.2 ,,,
2006,358.1 ,37.8 ,291.6 ,182.1 ,84.2 ,17.9 ,7.4 ,28.8 ,,,
2007,375.5 ,39.4 ,305.1 ,189.2 ,88.6 ,19.0 ,8.3 ,31.0 ,,,
2008,394.4 ,40.5 ,321.8 ,195.4 ,96.2 ,20.3 ,9.8 ,32.0 ,,,
2009,404.7 ,39.2 ,335.1 ,197.9 ,103.6 ,22.6 ,11.0 ,30.5 ,,,
2010,415.1 ,42.0 ,341.8 ,198.7 ,107.1 ,24.5 ,11.5 ,31.2 ,,,
2011,432.5 ,44.6 ,357.5 ,207.8 ,113.1 ,24.9 ,11.7 ,30.4 ,,,
2012,446.8 ,44.3 ,369.1 ,213.0 ,118.4 ,25.8 ,11.8 ,33.4 ,,,
2013,454.0 ,45.4 ,375.2 ,212.0 ,122.0 ,29.2 ,11.9 ,33.5 ,,,
2014,473.3 ,46.2 ,394.1 ,217.8 ,127.7 ,36.4 ,12.3 ,33.0 ,,,
2015,498.7 ,47.5 ,416.2 ,229.4 ,133.9 ,38.9 ,14.0 ,35.0 ,,,
2016,523.0 ,49.1 ,432.5 ,239.4 ,138.3 ,39.8 ,15.0 ,41.4 ,,,
2017,544.9 ,50.0 ,452.7 ,249.1 ,146.9 ,41.0 ,15.8 ,42.2 ,,,
2018,564.4 ,50.1 ,475.4 ,257.5 ,158.0 ,42.1 ,17.8 ,39.0 ,,,
,Average Annual Percent Change from Previous Year Shown,,,,,,,,,,
1999,5.8%,3.8%,6.3%,5.5%,7.2%,2.3%,42.6%,4.4%,,,
2000,8.3 ,8.8 ,9.1 ,8.6 ,9.2 ,9.5 ,26.1 ,0.3 ,,,
2001,9.7 ,5.2 ,10.4 ,10.6 ,8.5 ,14.4 ,17.6 ,9.4 ,,,
2002,8.5 ,6.2 ,9.2 ,10.0 ,5.7 ,12.2 ,24.9 ,4.2 ,,,
2003,8.3 ,5.9 ,8.4 ,8.5 ,8.5 ,3.7 ,16.9 ,10.3 ,,,
2004,7.0 ,4.3 ,6.8 ,5.0 ,10.0 ,12.4 ,5.0 ,13.0 ,,,
2005,6.0 ,6.9 ,6.1 ,6.2 ,6.4 ,6.2 ,-0.1 ,3.8 ,,,
2006,5.0 ,3.7 ,5.5 ,4.6 ,6.7 ,4.9 ,15.8 ,1.8 ,,,
