"Table 10
Clinical Services Expenditures; Levels, Percent Change and Percent Distribution, 
by Source of Funds: Calendar Years 1998-2018",,,,,,,,,,,
 , , ,,,Health Insurance2,,,,,,
Year,Total1,Out of Pocket,Health Insurance2,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs3,Other Third Party Payers4,,,
,Amount in Billions,,,,,,,,,,
1998,$52.7 ,$4.8 ,$29.7 ,$15.9 ,$3.9 ,$7.2 ,$2.7 ,$18.1 ,,,
1999,53.9 ,4.8 ,31.0 ,16.3 ,4.2 ,7.7 ,2.9 ,18.1 ,,,
2000,54.7 ,4.2 ,33.5 ,17.3 ,4.5 ,8.6 ,3.1 ,17.0 ,,,
2001,56.6 ,4.3 ,35.4 ,17.6 ,4.9 ,9.2 ,3.7 ,16.9 ,,,
2002,60.0 ,4.2 ,38.9 ,18.3 ,5.9 ,10.3 ,4.4 ,16.9 ,,,
2003,63.6 ,4.5 ,41.8 ,20.1 ,6.1 ,10.9 ,4.7 ,17.3 ,,,
2004,67.6 ,4.8 ,45.6 ,22.0 ,6.4 ,11.9 ,5.3 ,17.2 ,,,
2005,72.0 ,5.2 ,49.2 ,23.9 ,6.7 ,13.0 ,5.6 ,17.5 ,,,
2006,76.6 ,5.6 ,51.9 ,24.1 ,7.1 ,13.9 ,6.7 ,19.2 ,,,
2007,82.0 ,6.0 ,56.1 ,26.5 ,7.4 ,14.5 ,7.7 ,19.9 ,,,
2008,87.5 ,6.3 ,60.4 ,28.9 ,7.6 ,15.6 ,8.4 ,20.8 ,,,
2009,93.0 ,6.3 ,65.8 ,30.7 ,8.5 ,17.6 ,9.1 ,20.9 ,,,
2010,97.5 ,6.7 ,69.3 ,32.4 ,8.7 ,18.7 ,9.5 ,21.5 ,,,
2011,103.3 ,7.0 ,74.0 ,33.9 ,9.1 ,20.3 ,10.7 ,22.3 ,,,
2012,110.4 ,7.7 ,78.7 ,36.1 ,9.8 ,21.2 ,11.7 ,24.0 ,,,
2013,115.6 ,8.0 ,82.5 ,37.7 ,10.0 ,22.3 ,12.6 ,25.0 ,,,
2014,122.5 ,8.3 ,90.1 ,39.7 ,10.3 ,27.0 ,13.2 ,24.1 ,,,
2015,132.4 ,8.9 ,97.2 ,42.2 ,10.5 ,30.2 ,14.3 ,26.3 ,,,
2016,142.6 ,9.7 ,106.0 ,47.7 ,10.9 ,32.4 ,15.1 ,26.8 ,,,
2017,152.0 ,10.1 ,112.6 ,51.1 ,11.1 ,34.2 ,16.1 ,29.4 ,,,
2018,161.1 ,11.1 ,118.7 ,54.3 ,12.3 ,35.3 ,16.8 ,31.4 ,,,
,Average Annual Percent Change from Previous Year Shown,,,,,,,,,,
1999,2.3%,-0.6%,4.1%,2.3%,6.6%,6.9%,4.0%,0.1%,,,
2000,1.5 ,-11.5 ,8.1 ,6.2 ,8.0 ,11.6 ,10.0 ,-6.4 ,,,
2001,3.6 ,1.5 ,5.8 ,1.9 ,9.0 ,6.9 ,18.8 ,-0.2 ,,,
2002,5.9 ,-3.0 ,9.7 ,4.3 ,19.7 ,12.0 ,16.6 ,0.0 ,,,
2003,6.1 ,7.4 ,7.5 ,9.4 ,3.4 ,6.4 ,7.8 ,2.3 ,,,
2004,6.2 ,6.8 ,9.0 ,9.5 ,4.2 ,9.5 ,12.5 ,-0.6 ,,,
2005,6.5 ,9.0 ,8.1 ,8.8 ,4.9 ,9.2 ,6.2 ,1.7 ,,,
2006,6.4 ,6.4 ,5.4 ,0.7 ,6.9 ,6.7 ,20.5 ,9.5 ,,,
