" Table 4 
National Health Expenditures by Source of Funds and Type of Expenditure: Calendar Years 2011-2018        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,Health Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year and Type of Expenditure,Total,Out of Pocket,Health Insurance,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs1,Other Third Party Payers2,Government Public Health Activities,Investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year 2011,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures,"$2,682.6",$310.4,"$1,942.1",$890.5,$544.8,$406.7,$100.1,$206.5,$74.4,$149.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Health Consumption Expenditures,"2,533.4",310.4,"1,942.1",890.5,544.8,406.7,100.1,206.5,74.4,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Personal Health Care,"2,267.3",310.4,"1,760.4",780.0,512.0,373.7,94.6,196.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Hospital Care,851.9,29.3,740.8,316.7,227.1,143.7,53.3,81.7,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Professional Services,716.6,115.3,541.4,319.1,138.2,58.6,25.5,59.9,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Physician and Clinical Services,535.9,51.6,431.5,241.6,122.2,45.2,22.5,52.7,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Other Professional Services,72.8,18.6,47.4,26.6,15.7,5.0,0.2,6.7,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Dental Services,108.0,45.0,62.4,50.9,0.3,8.5,2.8,0.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                    Other Health, Residential, and Personal Care3",131.7,5.1,87.4,10.3,4.9,70.6,1.6,39.3,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Home Health Care4,74.6,6.8,65.4,5.8,32.1,27.1,0.4,2.4,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                     Nursing Care Facilities and Continuing Care Retirement Communities4, 5",145.4,37.2,98.7,11.0,35.7,47.6,4.3,9.5,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Retail Outlet Sales of Medical Products,347.1,116.7,226.7,117.2,73.9,26.0,9.5,3.7,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Prescription Drugs,251.9,45.7,203.4,109.8,63.3,21.0,9.4,2.8,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Durable Medical Equipment,42.3,21.3,20.1,7.4,7.5,5.1,0.1,0.9,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            Other Non-Durable Medical Products,52.9,49.8,3.1,-  ,3.1,-  ,-  ,0.0,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Government Administration6 ,32.9,-  ,31.3,-  ,8.2,18.6,4.2,1.6,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Net Cost of Health Insurance7,158.8,-  ,150.4,110.4,24.5,14.4,1.0,8.4,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Government Public Health Activities,74.4,-  ,-  ,-  ,-  ,-  ,-  ,-  ,74.4,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Investment,149.2,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,149.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Research8,49.6,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Structures and Equipment,99.6,-  ,-  ,-  ,-  ,-  ,-  ,-  ,-  ,99.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year 2012,Amount in Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Health Expenditures,"$2,791.1",$319.2,"$2,015.8",$922.0,$568.5,$422.9,$102.4,$225.5,$77.2,$153.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Health Consumption Expenditures,"2,637.7",319.2,"2,015.8",922.0,568.5,422.9,102.4,225.5,77.2,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Personal Health Care,"2,361.1",319.2,"1,829.3",809.8,533.8,388.4,97.3,212.6,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Hospital Care,902.5,31.9,779.9,338.5,237.0,150.0,54.4,90.7,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Professional Services,743.2,117.1,561.3,328.6,145.4,60.5,26.7,64.9,-  ,-  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
