Table 21: US Population Estimates by State - 1991 - 2014 (in Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(1991-2014)",,
United States,"252,981","256,514","259,919","263,126","266,278","269,394","272,647","275,854","279,040","282,162","284,969","287,625","290,108","292,805","295,517","298,380","301,231","304,094","306,772","309,348","311,663","313,998","316,205","318,563",1.0%,,
New England,"13,248","13,271","13,334","13,396","13,473","13,555","13,642","13,734","13,838","13,950","14,041","14,122","14,182","14,207","14,217","14,246","14,279","14,340","14,404","14,469","14,528","14,581","14,635","14,683",0.4%,,
Connecticut,"3,303","3,301","3,309","3,316","3,324","3,337","3,349","3,365","3,386","3,412","3,433","3,459","3,484","3,496","3,507","3,517","3,527","3,546","3,562","3,580","3,590","3,594","3,596","3,592",0.4%,,
Maine,"1,237","1,239","1,242","1,243","1,243","1,249","1,255","1,259","1,267","1,277","1,286","1,296","1,307","1,314","1,319","1,324","1,327","1,331","1,330","1,328","1,328","1,329","1,329","1,331",0.3%,,
Massachusetts,"6,018","6,029","6,061","6,095","6,141","6,180","6,226","6,272","6,317","6,361","6,398","6,417","6,423","6,412","6,403","6,410","6,432","6,469","6,518","6,566","6,612","6,658","6,707","6,750",0.5%,,
New Hampshire,"1,110","1,118","1,129","1,143","1,158","1,175","1,189","1,206","1,222","1,240","1,256","1,269","1,280","1,290","1,298","1,308","1,313","1,316","1,316","1,317","1,318","1,321","1,323","1,329",0.8%,,
Rhode Island,"1,011","1,013","1,015","1,016","1,017","1,021","1,025","1,031","1,040","1,050","1,057","1,066","1,071","1,075","1,068","1,063","1,057","1,055","1,054","1,053","1,052","1,053","1,053","1,054",0.2%,,
Vermont,569,573,578,584,589,594,597,600,605,610,612,615,618,620,621,623,623,624,625,626,627,626,627,627,0.4%,,
Mideast,"44,071","44,392","44,717","44,970","45,186","45,384","45,580","45,822","46,106","46,386","46,619","46,841","47,035","47,162","47,239","47,334","47,474","47,685","47,944","48,212","48,477","48,690","48,860","48,995",0.5%,,
Delaware,683,695,706,718,730,741,751,763,775,786,796,806,818,831,845,859,872,884,892,900,908,917,925,935,1.4%,,
District of Columbia,601,598,595,589,581,572,568,565,570,572,575,573,569,568,567,571,574,580,592,605,620,635,649,659,0.4%,,
Maryland,"4,868","4,923","4,972","5,023","5,070","5,112","5,157","5,204","5,255","5,311","5,375","5,440","5,496","5,547","5,592","5,627","5,653","5,685","5,730","5,789","5,844","5,890","5,931","5,967",0.9%,,
New Jersey,"7,815","7,881","7,949","8,014","8,083","8,150","8,219","8,287","8,360","8,431","8,493","8,553","8,601","8,635","8,652","8,662","8,678","8,711","8,756","8,804","8,841","8,873","8,899","8,925",0.6%,,
New York,"18,123","18,247","18,375","18,459","18,524","18,588","18,657","18,756","18,883","19,002","19,083","19,138","19,176","19,172","19,133","19,105","19,132","19,212","19,307","19,403","19,520","19,603","19,674","19,719",0.4%,,
Pennsylvania,"11,982","12,049","12,120","12,166","12,198","12,220","12,228","12,246","12,264","12,284","12,299","12,331","12,375","12,411","12,450","12,511","12,564","12,612","12,667","12,712","12,744","12,772","12,781","12,791",0.3%,,
Great Lakes,"42,496","42,903","43,275","43,590","43,924","44,239","44,494","44,728","44,969","45,216","45,402","45,550","45,708","45,844","45,949","46,072","46,188","46,275","46,356","46,441","46,507","46,573","46,660","46,731",0.4%,,
Illinois,"11,569","11,694","11,810","11,913","12,008","12,102","12,186","12,272","12,359","12,434","12,488","12,526","12,556","12,590","12,610","12,644","12,696","12,747","12,797","12,842","12,860","12,871","12,880","12,868",0.5%,,
Indiana,"5,616","5,675","5,739","5,794","5,851","5,906","5,955","5,999","6,045","6,092","6,128","6,156","6,197","6,233","6,279","6,333","6,380","6,425","6,459","6,491","6,516","6,538","6,569","6,595",0.7%,,
Michigan,"9,400","9,479","9,540","9,598","9,676","9,759","9,809","9,848","9,897","9,952","9,991","10,016","10,041","10,055","10,051","10,036","10,001","9,947","9,902","9,877","9,876","9,887","9,899","9,916",0.2%,,
Ohio,"10,946","11,029","11,101","11,152","11,203","11,243","11,277","11,312","11,335","11,364","11,387","11,408","11,435","11,452","11,463","11,481","11,500","11,515","11,529","11,541","11,545","11,551","11,570","11,594",0.3%,,
Wisconsin,"4,964","5,025","5,085","5,134","5,185","5,230","5,266","5,298","5,333","5,374","5,407","5,445","5,479","5,514","5,546","5,578","5,611","5,641","5,669","5,690","5,710","5,726","5,743","5,758",0.6%,,
Plains,"17,843","18,026","18,210","18,381","18,550","18,705","18,851","18,988","19,131","19,275","19,375","19,468","19,569","19,688","19,803","19,957","20,106","20,249","20,393","20,538","20,646","20,760","20,883","20,995",0.7%,,
Iowa,"2,798","2,818","2,837","2,851","2,867","2,880","2,891","2,903","2,918","2,929","2,932","2,934","2,942","2,954","2,964","2,983","2,999","3,017","3,033","3,051","3,065","3,076","3,092","3,108",0.5%,,
Kansas,"2,499","2,532","2,557","2,581","2,601","2,615","2,635","2,661","2,678","2,694","2,702","2,714","2,723","2,734","2,745","2,763","2,784","2,808","2,833","2,859","2,870","2,885","2,893","2,899",0.6%,,
Minnesota,"4,441","4,496","4,556","4,610","4,660","4,713","4,763","4,813","4,873","4,934","4,983","5,019","5,054","5,088","5,120","5,164","5,207","5,247","5,281","5,311","5,349","5,380","5,419","5,453",0.9%,,
Missouri,"5,171","5,217","5,271","5,324","5,378","5,432","5,481","5,522","5,562","5,607","5,641","5,675","5,709","5,748","5,790","5,843","5,888","5,924","5,961","5,996","6,011","6,025","6,043","6,061",0.7%,,
Nebraska,"1,596","1,612","1,626","1,639","1,657","1,674","1,686","1,696","1,705","1,714","1,720","1,728","1,739","1,749","1,761","1,773","1,783","1,796","1,813","1,830","1,842","1,856","1,869","1,881",0.7%,,
North Dakota,636,638,641,645,648,650,650,648,644,642,639,638,639,645,646,649,653,658,665,675,685,702,724,740,0.7%,,
South Dakota,704,713,722,731,738,742,744,746,750,756,758,760,764,770,775,783,792,799,807,816,824,834,845,853,0.8%,,
Southeast,"60,501","61,508","62,531","63,574","64,602","65,611","66,655","67,627","68,569","69,497","70,318","71,152","71,962","73,019","74,148","75,066","76,123","77,058","77,815","78,566","79,257","79,968","80,593","81,313",1.3%,,
Alabama,"4,099","4,154","4,214","4,260","4,297","4,331","4,368","4,405","4,430","4,452","4,468","4,480","4,503","4,531","4,570","4,629","4,673","4,718","4,758","4,785","4,800","4,816","4,829","4,843",0.7%,,
