Table 28: Private Health Insurance State Estimates by State of Residence (2001-2014) - Personal Health Care (Millions of Dollars),,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(2001-2014)",,,,,,,,,
United States,"$445,321","$488,146","$527,140","$565,066","$604,865","$636,230","$671,795","$700,983","$734,424","$754,768","$784,092","$812,489","$829,293","$875,154",5.3%,,,,,,,,,
New England,"26,763","28,596","29,925","32,920","34,875","36,531","38,773","41,848","44,046","45,908","47,824","48,867","48,512","49,458",4.8%,,,,,,,,,
Connecticut,"7,015","6,965","7,887","8,540","9,161","9,509","9,999","10,594","11,196","11,358","11,803","11,799","11,521","11,920",4.2%,,,,,,,,,
Maine,"2,063","2,253","2,392","2,689","2,796","3,230","3,311","3,308","3,365","3,516","3,696","3,851","3,905","4,147",5.5%,,,,,,,,,
Massachusetts,"12,554","13,754","13,618","14,944","15,391","16,287","17,332","19,379","20,317","21,753","22,493","23,722","23,604","23,606",5.0%,,,,,,,,,
New Hampshire,"2,266","2,519","2,739","3,172","3,487","3,524","3,807","4,064","4,471","4,354","4,768","4,390","4,431","4,661",5.7%,,,,,,,,,
Rhode Island,"1,842","1,976","2,104","2,307","2,630","2,603","2,775","2,924","2,935","3,280","3,167","3,225","3,158","3,021",3.9%,,,,,,,,,
Vermont,"1,024","1,129","1,186","1,269","1,409","1,378","1,548","1,580","1,763","1,646","1,898","1,880","1,894","2,103",5.7%,,,,,,,,,
Mideast,"81,624","86,760","93,151","100,004","106,996","113,680","118,949","122,866","130,971","134,621","143,006","146,257","151,146","155,150",5.1%,,,,,,,,,
Delaware,"1,650","1,787","1,891","2,040","2,169","2,314","2,438","2,422","2,474","2,514","2,929","2,787","2,643","2,933",4.5%,,,,,,,,,
District of Columbia,"1,886","1,989","2,162","2,300","2,189","2,501","2,598","2,811","2,993","3,247","3,602","3,606","3,610","3,688",5.3%,,,,,,,,,
Maryland,"8,809","9,783","10,296","11,297","11,989","12,874","13,281","14,127","15,213","15,543","16,634","16,776","16,470","17,297",5.3%,,,,,,,,,
New Jersey,"15,684","17,165","17,949","19,875","20,284","21,580","22,100","21,640","23,717","23,994","26,027","27,153","28,865","29,959",5.1%,,,,,,,,,
New York,"31,875","33,327","36,957","38,609","41,060","44,546","47,226","50,165","54,101","56,151","57,636","59,165","61,151","61,730",5.2%,,,,,,,,,
Pennsylvania,"21,719","22,709","23,896","25,883","29,307","29,864","31,308","31,701","32,473","33,171","36,178","36,769","38,407","39,542",4.7%,,,,,,,,,
Great Lakes,"80,495","89,953","95,867","99,983","106,420","113,259","118,683","120,165","122,214","124,803","124,730","127,205","129,226","134,881",4.1%,,,,,,,,,
Illinois,"21,250","25,556","26,613","27,560","28,161","30,377","32,324","33,100","35,565","34,716","35,193","36,371","38,145","40,358",5.1%,,,,,,,,,
Indiana,"11,539","12,321","13,321","13,193","14,495","15,146","16,322","16,486","15,483","15,240","15,725","16,569","16,523","16,948",3.0%,,,,,,,,,
Michigan,"18,471","19,765","21,844","22,432","23,743","26,101","26,259","25,425","25,535","26,839","25,121","25,453","24,841","25,935",2.6%,,,,,,,,,
Ohio,"19,049","20,306","22,166","24,138","25,654","26,565","27,680","28,682","27,612","30,115","30,045","29,962","30,888","31,892",4.0%,,,,,,,,,
Wisconsin,"10,186","12,006","11,923","12,660","14,368","15,070","16,097","16,471","18,018","17,892","18,647","18,849","18,830","19,747",5.2%,,,,,,,,,
Plains,"31,759","35,650","37,868","41,748","42,353","45,691","47,614","49,463","51,685","52,206","55,803","58,751","58,656","62,623",5.4%,,,,,,,,,
Iowa,"4,801","5,410","5,701","6,576","6,455","7,406","7,595","7,822","8,200","8,466","8,250","8,779","8,590","9,004",5.0%,,,,,,,,,
Kansas,"4,357","4,607","4,816","5,377","5,444","5,497","5,919","6,351","6,403","6,773","6,911","7,132","7,817","8,951",5.7%,,,,,,,,,
Minnesota,"8,928","10,349","11,251","12,219","12,221","12,482","13,545","14,070","14,344","14,610","16,381","16,432","15,948","17,433",5.3%,,,,,,,,,
